Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4e-06,21.337107,[78  3] ; [8 6],[73.32631579  7.67368421] ; [12.67368421  1.32631579],1
p9,1,0.000414,12.468009,[78  2] ; [11  4],[74.94736842  5.05263158] ; [14.05263158  0.94736842],1
a3,1,0.002278,9.310838,[67 14] ; [7 8],[62.4375 18.5625] ; [11.5625  3.4375],0
a6,1,0.002919,8.85737,[54 26] ; [ 4 11],[48.84210526 31.15789474] ; [9.15789474 5.84210526],0
p7,1,0.003131,8.72945,[68 11] ; [8 7],[63.87234043 15.12765957] ; [12.12765957  2.87234043],0
a5,1,0.003711,8.42025,[66 15] ; [7 8],[61.59375 19.40625] ; [11.40625  3.59375],0
v2,1,0.007126,7.240806,[50 28] ; [ 4 11],[45.29032258 32.70967742] ; [8.70967742 6.29032258],0
s5,1,0.059982,3.537893,[55 21] ; [6 7],[52.08988764 23.91011236] ; [8.91011236 4.08988764],0
n3,1,0.092987,2.821892,[10  4] ; [1 3],[8.55555556 5.44444444] ; [2.44444444 1.55555556],0
b5,1,0.094475,2.796417,[35 46] ; [10  5],[37.96875 43.03125] ; [7.03125 7.96875],0
n6,1,0.127178,2.32662,[77  3] ; [13  2],[75.78947368  4.21052632] ; [14.21052632  0.78947368],0
b3,1,0.150433,2.067857,[30 29] ; [3 8],[27.81428571 31.18571429] ; [5.18571429 5.81428571],0
b2,1,0.150433,2.067857,[30 29] ; [3 8],[27.81428571 31.18571429] ; [5.18571429 5.81428571],0
p8,1,0.159478,1.979167,[66 14] ; [10  5],[64. 16.] ; [12.  3.],0
v4,1,0.176041,1.830733,[80  1] ; [14  1],[79.3125  1.6875] ; [14.6875  0.3125],0
p6,1,0.179231,1.803986,[52 28] ; [7 8],[49.68421053 30.31578947] ; [9.31578947 5.68421053],0
p12,1,0.192029,1.701978,[24 57] ; [ 2 13],[21.9375 59.0625] ; [ 4.0625 10.9375],0
p3,1,0.203606,1.616319,[65 15] ; [10  5],[63.15789474 16.84210526] ; [11.84210526  3.15789474],0
a8,1,0.211055,1.564176,[11 63] ; [ 4 10],[12.61363636 61.38636364] ; [ 2.38636364 11.61363636],0
d1,1,0.235814,1.405445,[51 30] ; [7 8],[48.9375 32.0625] ; [9.0625 5.9375],0
v3,1,0.241752,1.370348,[49 29] ; [7 8],[46.96774194 31.03225806] ; [9.03225806 5.96774194],0
n2,1,0.260531,1.265934,[11  3] ; [2 2],[10.11111111  3.88888889] ; [2.88888889 1.11111111],0
s7,1,0.298311,1.081731,[55 20] ; [9 6],[53.33333333 21.66666667] ; [10.66666667  4.33333333],0
d5,1,0.308657,1.036413,[63 17] ; [10  5],[61.47368421 18.52631579] ; [11.52631579  3.47368421],0
p1,1,0.314927,1.009897,[22 59] ; [6 9],[23.625 57.375] ; [ 4.375 10.625],0
s1,1,0.327201,0.959943,[ 5 76] ; [ 2 13],[ 5.90625 75.09375] ; [ 1.09375 13.90625],0
s3,1,0.328659,0.954175,[48 32] ; [11  4],[49.68421053 30.31578947] ; [9.31578947 5.68421053],0
r3,1,0.390753,0.736599,[79  2] ; [14  1],[78.46875  2.53125] ; [14.53125  0.46875],0
u1,1,0.392439,0.731371,[14 67] ; [ 4 11],[15.1875 65.8125] ; [ 2.8125 12.1875],0
a1,1,0.396899,0.717702,[12 69] ; [ 1 14],[10.96875 70.03125] ; [ 2.03125 12.96875],0
s4,1,0.450183,0.57019,[10 69] ; [ 3 12],[10.92553191 68.07446809] ; [ 2.07446809 12.92553191],0
a4,1,0.476033,0.507937,[35 46] ; [ 5 10],[33.75 47.25] ; [6.25 8.75],0
d3,1,0.530888,0.392692,[52 28] ; [11  4],[53.05263158 26.94736842] ; [9.94736842 5.05263158],0
p4,1,0.56511,0.330934,[70 10] ; [13  1],[70.63829787  9.36170213] ; [12.36170213  1.63829787],0
n5,1,0.604739,0.267907,[72  9] ; [14  1],[72.5625  8.4375] ; [13.4375  1.5625],0
r1,1,0.611424,0.258107,[69 12] ; [12  3],[68.34375 12.65625] ; [12.65625  2.34375],0
b1,1,0.668929,0.182857,[33 48] ; [7 8],[33.75 47.25] ; [6.25 8.75],0
a7,1,0.699116,0.149393,[58 23] ; [10  5],[57.375 23.625] ; [10.625  4.375],0
a2,1,0.706082,0.142222,[14 67] ; [ 2 13],[13.5 67.5] ; [ 2.5 12.5],0
p2,1,0.803978,0.061604,[72  9] ; [13  2],[71.71875  9.28125] ; [13.28125  1.71875],0
u3,1,0.805803,0.06044,[8 6] ; [5 3],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
d2,1,0.812694,0.056147,[40 40] ; [8 7],[40.42105263 39.57894737] ; [7.57894737 7.42105263],0
d4,1,0.81669,0.053733,[66 14] ; [12  3],[65.68421053 14.31578947] ; [12.31578947  2.68421053],0
s8,1,0.882399,0.021883,[49 30] ; [9 6],[48.74468085 30.25531915] ; [9.25531915 5.74468085],0
b4,1,0.886654,0.020317,[47 34] ; [9 6],[47.25 33.75] ; [8.75 6.25],0
v1,1,0.897711,0.016526,[54 25] ; [10  5],[53.78723404 25.21276596] ; [10.21276596  4.78723404],0
r2,1,0.919269,0.010273,[75  6] ; [14  1],[75.09375  5.90625] ; [13.90625  1.09375],0
u2,1,0.933249,0.007015,[9 5] ; [5 3],[8.90909091 5.09090909] ; [5.09090909 2.90909091],0
s2,1,0.957209,0.002879,[48 33] ; [9 6],[48.09375 32.90625] ; [8.90625 6.09375],0
