Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5e-06,20.730289,[45 31] ; [52  3],[56.27480916 19.72519084] ; [40.72519084 14.27480916],1
s6,1,0.000169,14.142859,[21 54] ; [33 21],[31.39534884 43.60465116] ; [22.60465116 31.39534884],1
p10,1,0.000183,13.994696,[25 50] ; [36 18],[35.46511628 39.53488372] ; [25.53488372 28.46511628],1
s2,1,0.000381,12.622484,[15 61] ; [27 28],[24.36641221 51.63358779] ; [17.63358779 37.36641221],1
p7,1,0.000949,10.924159,[11 63] ; [22 32],[19.078125 54.921875] ; [13.921875 40.078125],1
s3,1,0.003188,8.696494,[21 52] ; [30 25],[29.0859375 43.9140625] ; [21.9140625 33.0859375],0
v4,1,0.003306,8.630385,[49 27] ; [48  7],[56.27480916 19.72519084] ; [40.72519084 14.27480916],0
v3,1,0.005512,7.703154,[17 57] ; [25 29],[24.28125 49.71875] ; [17.71875 36.28125],0
r1,1,0.005597,7.675531,[40 36] ; [42 13],[47.57251908 28.42748092] ; [34.42748092 20.57251908],0
v1,1,0.006926,7.291959,[18 58] ; [25 29],[25.13846154 50.86153846] ; [17.86153846 36.13846154],0
p9,1,0.008335,6.959951,[29 43] ; [34 19],[36.288 35.712] ; [26.712 26.288],0
p11,1,0.00873,6.877298,[28 48] ; [33 22],[35.38931298 40.61068702] ; [25.61068702 29.38931298],0
s8,1,0.013773,6.066987,[13 62] ; [20 35],[19.03846154 55.96153846] ; [13.96153846 41.03846154],0
r4,1,0.019215,5.481877,[43 33] ; [42 13],[49.3129771 26.6870229] ; [35.6870229 19.3129771],0
d4,1,0.020104,5.402834,[49 26] ; [46  9],[54.80769231 20.19230769] ; [40.19230769 14.80769231],0
s7,1,0.020748,5.347826,[17 52] ; [24 30],[23. 46.] ; [18. 36.],0
d5,1,0.024242,5.077235,[43 32] ; [42 13],[49.03846154 25.96153846] ; [35.96153846 19.03846154],0
s4,1,0.026597,4.91681,[ 9 66] ; [15 40],[13.84615385 61.15384615] ; [10.15384615 44.84615385],0
s5,1,0.034712,4.459304,[ 9 65] ; [14 38],[13.50793651 60.49206349] ; [ 9.49206349 42.50793651],0
p3,1,0.061654,3.492325,[11 65] ; [15 39],[15.2 60.8] ; [10.8 43.2],0
d3,1,0.063004,3.4565,[34 41] ; [34 21],[39.23076923 35.76923077] ; [28.76923077 26.23076923],0
a7,1,0.06887,3.309752,[42 34] ; [39 16],[46.99236641 29.00763359] ; [34.00763359 20.99236641],0
n6,1,0.080667,3.051415,[44 32] ; [40 15],[48.73282443 27.26717557] ; [35.26717557 19.73282443],0
u3,1,0.099865,2.707692,[11 19] ; [11  7],[13.75 16.25] ; [8.25 9.75],0
n1,1,0.119523,2.423562,[18 18] ; [ 5 13],[15.33333333 20.66666667] ; [ 7.66666667 10.33333333],0
p1,1,0.145551,2.11827,[10 66] ; [ 3 52],[ 7.54198473 68.45801527] ; [ 5.45801527 49.54198473],0
n5,1,0.157487,1.99819,[52 24] ; [31 24],[48.15267176 27.84732824] ; [34.84732824 20.15267176],0
d1,1,0.175911,1.831836,[31 45] ; [29 26],[34.80916031 41.19083969] ; [25.19083969 29.80916031],0
a8,1,0.191332,1.707331,[ 6 69] ; [ 8 44],[ 8.26771654 66.73228346] ; [ 5.73228346 46.26771654],0
s1,1,0.211,1.56455,[ 9 67] ; [ 3 52],[ 6.96183206 69.03816794] ; [ 5.03816794 49.96183206],0
b4,1,0.2119,1.558397,[47 29] ; [28 27],[43.51145038 32.48854962] ; [31.48854962 23.51145038],0
b5,1,0.336608,0.923308,[42 34] ; [35 20],[44.67175573 31.32824427] ; [32.32824427 22.67175573],0
