Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.737115,[117   4] ; [21 10],[109.85526316  11.14473684] ; [28.14473684  2.85526316],1
d5,1,0.000283,13.177251,[105  16] ; [18 13],[97.91447368 23.08552632] ; [25.08552632  5.91447368],1
s6,1,0.004116,8.231955,[104  16] ; [20 11],[98.54304636 21.45695364] ; [25.45695364  5.54304636],0
u1,1,0.005143,7.828381,[32 89] ; [ 1 30],[26.26973684 94.73026316] ; [ 6.73026316 24.26973684],0
d3,1,0.00666,7.362507,[86 35] ; [14 17],[79.60526316 41.39473684] ; [20.39473684 10.60526316],0
r2,1,0.006755,7.336957,[114   6] ; [24  6],[110.4   9.6] ; [27.6  2.4],0
v2,1,0.010883,6.484325,[59 58] ; [ 7 22],[52.89041096 64.10958904] ; [13.10958904 15.89041096],0
d1,1,0.011798,6.341025,[84 37] ; [14 17],[78.01315789 42.98684211] ; [19.98684211 11.01315789],0
d2,1,0.01305,6.162262,[73 48] ; [11 20],[66.86842105 54.13157895] ; [17.13157895 13.86842105],0
d4,1,0.025918,4.961489,[103  18] ; [21 10],[98.71052632 22.28947368] ; [25.28947368  5.71052632],0
n4,1,0.027421,4.864101,[97 24] ; [19 12],[92.34210526 28.65789474] ; [23.65789474  7.34210526],0
n1,1,0.039502,4.239132,[11 26] ; [6 3],[13.67391304 23.32608696] ; [3.32608696 5.67391304],0
a7,1,0.042997,4.095501,[89 32] ; [17 14],[84.38157895 36.61842105] ; [21.61842105  9.38157895],0
p1,1,0.056706,3.631204,[  7 114] ; [ 5 26],[  9.55263158 111.44736842] ; [ 2.44736842 28.55263158],0
p6,1,0.101878,2.675903,[41 80] ; [15 15],[44.87417219 76.12582781] ; [11.12582781 18.87417219],0
u3,1,0.110448,2.547797,[21  8] ; [5 6],[18.85 10.15] ; [7.15 3.85],0
r3,1,0.111403,2.534199,[115   6] ; [27  4],[113.03947368   7.96052632] ; [28.96052632  2.03947368],0
n6,1,0.112947,2.5125,[107  14] ; [24  7],[104.28289474  16.71710526] ; [26.71710526  4.28289474],0
a5,1,0.122115,2.389987,[91 30] ; [19 12],[87.56578947 33.43421053] ; [22.43421053  8.56578947],0
p11,1,0.133482,2.251538,[90 31] ; [27  4],[93.13815789 27.86184211] ; [23.86184211  7.13815789],0
a2,1,0.148848,2.084016,[35 86] ; [ 5 26],[31.84210526 89.15789474] ; [ 8.15789474 22.84210526],0
a3,1,0.193858,1.688053,[92 29] ; [20 11],[89.15789474 31.84210526] ; [22.84210526  8.15789474],0
b1,1,0.213273,1.549066,[54 67] ; [10 21],[50.94736842 70.05263158] ; [13.05263158 17.94736842],0
v4,1,0.21734,1.521846,[116   5] ; [28  3],[114.63157895   6.36842105] ; [29.36842105  1.63157895],0
a4,1,0.244405,1.355008,[53 68] ; [10 21],[50.15131579 70.84868421] ; [12.84868421 18.15131579],0
a1,1,0.268577,1.224001,[  3 118] ; [ 2 29],[  3.98026316 117.01973684] ; [ 1.01973684 29.98026316],0
n5,1,0.285074,1.142739,[89 31] ; [20 11],[86.62251656 33.37748344] ; [22.37748344  8.62251656],0
s5,1,0.285887,1.138888,[42 76] ; [ 7 21],[39.60273973 78.39726027] ; [ 9.39726027 18.60273973],0
u4,1,0.295563,1.094108,[  1 120] ; [ 1 30],[  1.59210526 119.40789474] ; [ 0.40789474 30.59210526],0
p10,1,0.301856,1.065979,[103  18] ; [24  7],[101.09868421  19.90131579] ; [25.90131579  5.09868421],0
p7,1,0.328072,0.956493,[73 48] ; [21  9],[75.32450331 45.67549669] ; [18.67549669 11.32450331],0
n3,1,0.336209,0.924833,[24 12] ; [9 2],[25.27659574 10.72340426] ; [7.72340426 3.27659574],0
p4,1,0.356942,0.848624,[71 50] ; [21 10],[73.23684211 47.76315789] ; [18.76315789 12.23684211],0
s4,1,0.386286,0.750601,[26 94] ; [ 9 22],[27.81456954 92.18543046] ; [ 7.18543046 23.81456954],0
n2,1,0.424852,0.636855,[22 15] ; [8 3],[23.125 13.875] ; [6.875 4.125],0
