Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9e-06,19.690445,[ 1 10] ; [55 17],[7.42168675 3.57831325] ; [48.57831325 23.42168675],1
v4,1,7.2e-05,15.749437,[4 7] ; [62  9],[8.85365854 2.14634146] ; [57.14634146 13.85365854],1
r2,1,0.001079,10.686385,[4 6] ; [61 11],[7.92682927 2.07317073] ; [57.07317073 14.92682927],0
v2,1,0.012411,6.251177,[ 1 10] ; [35 36],[4.82926829 6.17073171] ; [31.17073171 39.82926829],0
p2,1,0.043732,4.066864,[3 8] ; [43 29],[6.09638554 4.90361446] ; [39.90361446 32.09638554],0
p11,1,0.058611,3.576246,[2 9] ; [35 37],[4.90361446 6.09638554] ; [32.09638554 39.90361446],0
r1,1,0.094251,2.800227,[5 6] ; [51 21],[7.42168675 3.57831325] ; [48.57831325 23.42168675],0
p4,1,0.116414,2.464912,[2 9] ; [31 41],[4.37349398 6.62650602] ; [28.62650602 43.37349398],0
a7,1,0.121616,2.39638,[4 7] ; [44 28],[6.36144578 4.63855422] ; [41.63855422 30.36144578],0
n2,1,0.130663,2.284615,[2 4] ; [18  9],[3.63636364 2.36363636] ; [16.36363636 10.63636364],0
s3,1,0.215286,1.535519,[2 8] ; [29 43],[3.7804878 6.2195122] ; [27.2195122 44.7804878],0
b1,1,0.247316,1.338404,[8 3] ; [39 33],[6.22891566 4.77108434] ; [40.77108434 31.22891566],0
s7,1,0.265494,1.239879,[1 9] ; [17 48],[2.4 7.6] ; [15.6 49.4],0
p8,1,0.312927,1.01828,[2 9] ; [24 48],[3.44578313 7.55421687] ; [22.55421687 49.44578313],0
s4,1,0.322423,0.979091,[3 8] ; [11 61],[1.85542169 9.14457831] ; [12.14457831 59.85542169],0
p10,1,0.394523,0.724955,[3 8] ; [12 60],[1.98795181 9.01204819] ; [13.01204819 58.98795181],0
a4,1,0.432261,0.616742,[5 6] ; [24 48],[3.84337349 7.15662651] ; [25.15662651 46.84337349],0
n6,1,0.44843,0.574618,[4 7] ; [35 37],[5.1686747 5.8313253] ; [33.8313253 38.1686747],0
b2,1,0.516339,0.4212,[2 4] ; [ 9 33],[1.375 4.625] ; [ 9.625 32.375],0
b3,1,0.516339,0.4212,[2 4] ; [ 9 33],[1.375 4.625] ; [ 9.625 32.375],0
a5,1,0.531131,0.392226,[5 6] ; [40 32],[5.96385542 5.03614458] ; [39.03614458 32.96385542],0
s6,1,0.546278,0.364028,[3 8] ; [26 45],[3.8902439 7.1097561] ; [25.1097561 45.8902439],0
a6,1,0.589734,0.290759,[5 6] ; [39 33],[5.8313253 5.1686747] ; [38.1686747 33.8313253],0
p7,1,0.614485,0.253695,[4 7] ; [32 40],[4.77108434 6.22891566] ; [31.22891566 40.77108434],0
d3,1,0.614485,0.253695,[7 4] ; [40 32],[6.22891566 4.77108434] ; [40.77108434 31.22891566],0
d4,1,0.622383,0.242532,[9 2] ; [54 18],[8.34939759 2.65060241] ; [54.65060241 17.34939759],0
p3,1,0.668045,0.183898,[3 8] ; [24 47],[3.62195122 7.37804878] ; [23.37804878 47.62195122],0
d2,1,0.67551,0.175225,[4 7] ; [31 41],[4.63855422 6.36144578] ; [30.36144578 41.63855422],0
u2,1,0.677372,0.173099,[3 2] ; [16 16],[2.56756757 2.43243243] ; [16.43243243 15.56756757],0
a2,1,0.706113,0.142191,[2 9] ; [10 62],[1.59036145 9.40963855] ; [10.40963855 61.59036145],0
v1,1,0.770756,0.084906,[4 7] ; [23 49],[3.57831325 7.42168675] ; [23.42168675 48.57831325],0
n4,1,0.804865,0.061037,[4 7] ; [29 43],[4.37349398 6.62650602] ; [28.62650602 43.37349398],0
d1,1,0.812701,0.056142,[5 6] ; [30 42],[4.63855422 6.36144578] ; [30.36144578 41.63855422],0
n1,1,0.816297,0.053968,[2 4] ; [ 8 20],[1.76470588 4.23529412] ; [ 8.23529412 19.76470588],0
b4,1,0.87267,0.025686,[7 4] ; [44 28],[6.75903614 4.24096386] ; [44.24096386 27.75903614],0
u3,1,0.874925,0.024777,[3 2] ; [18 14],[2.83783784 2.16216216] ; [18.16216216 13.83783784],0
s2,1,0.897323,0.016652,[3 8] ; [21 51],[3.18072289 7.81927711] ; [20.81927711 51.18072289],0
d5,1,0.897323,0.016652,[8 3] ; [51 21],[7.81927711 3.18072289] ; [51.18072289 20.81927711],0
s1,1,0.932888,0.007092,[ 1 10] ; [ 6 66],[ 0.92771084 10.07228916] ; [ 6.07228916 65.92771084],0
a3,1,0.949946,0.003941,[6 5] ; [40 32],[6.09638554 4.90361446] ; [39.90361446 32.09638554],0
n3,1,0.952475,0.003552,[4 2] ; [17  9],[3.9375 2.0625] ; [17.0625  8.9375],0
v3,1,0.955444,0.003122,[3 8] ; [18 50],[2.92405063 8.07594937] ; [18.07594937 49.92405063],0
b5,1,0.981263,0.000552,[6 5] ; [39 33],[5.96385542 5.03614458] ; [39.03614458 32.96385542],0
