Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,25.044796,[25 37] ; [122  39],[40.86995516 21.13004484] ; [106.13004484  54.86995516],1
a6,1,2e-06,22.507162,[24 38] ; [118  44],[39.30357143 22.69642857] ; [102.69642857  59.30357143],1
p2,1,1.6e-05,18.63089,[32 30] ; [128  31],[44.88687783 17.11312217] ; [115.11312217  43.88687783],1
a1,1,0.002316,9.280883,[ 6 56] ; [  2 160],[ 2.21428571 59.78571429] ; [  5.78571429 156.21428571],0
d5,1,0.003174,8.704924,[36 26] ; [126  36],[44.83928571 17.16071429] ; [117.16071429  44.83928571],0
p10,1,0.004382,8.118493,[33 28] ; [117  41],[41.78082192 19.21917808] ; [108.21917808  49.78082192],0
p9,1,0.005378,7.747726,[38 23] ; [127  31],[45.95890411 15.04109589] ; [119.04109589  38.95890411],0
d1,1,0.009996,6.635693,[21 41] ; [86 76],[29.61607143 32.38392857] ; [77.38392857 84.61607143],0
u1,1,0.013676,6.079439,[ 1 61] ; [ 20 142],[ 5.8125 56.1875] ; [ 15.1875 146.8125],0
v2,1,0.021281,5.303626,[22 37] ; [83 68],[29.5 29.5] ; [75.5 75.5],0
d4,1,0.022762,5.186593,[41 20] ; [132  30],[47.32286996 13.67713004] ; [125.67713004  36.32286996],0
b1,1,0.028047,4.825199,[28 34] ; [ 48 114],[21.03571429 40.96428571] ; [ 54.96428571 107.03571429],0
r1,1,0.037757,4.315946,[37 25] ; [119  42],[43.37219731 18.62780269] ; [112.62780269  48.37219731],0
v3,1,0.039554,4.236924,[ 9 50] ; [ 44 108],[14.81990521 44.18009479] ; [ 38.18009479 113.81990521],0
a2,1,0.059152,3.561003,[ 4 58] ; [ 26 136],[ 8.30357143 53.69642857] ; [ 21.69642857 140.30357143],0
b5,1,0.069705,3.289944,[32 30] ; [105  57],[37.91964286 24.08035714] ; [99.08035714 62.91964286],0
n2,1,0.073607,3.200687,[23  5] ; [34 20],[19.46341463  8.53658537] ; [37.53658537 16.46341463],0
p8,1,0.07932,3.078782,[21 41] ; [75 85],[26.81081081 35.18918919] ; [69.18918919 90.81081081],0
n1,1,0.096698,2.759175,[10 17] ; [11 44],[ 6.91463415 20.08536585] ; [14.08536585 40.91463415],0
s7,1,0.164554,1.931866,[14 45] ; [ 52 103],[18.19626168 40.80373832] ; [ 47.80373832 107.19626168],0
p5,1,0.202549,1.6239,[ 1 60] ; [  9 151],[ 2.760181 58.239819] ; [  7.239819 152.760181],0
a8,1,0.207182,1.591008,[ 5 55] ; [  6 143],[ 3.15789474 56.84210526] ; [  7.84210526 141.15789474],0
