Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,37.975,[29  2] ; [16 46],[15. 16.] ; [30. 32.],1
s7,1,0.000104,15.068841,[18 11] ; [12 47],[ 9.88636364 19.11363636] ; [20.11363636 38.88636364],1
s6,1,0.001345,10.27943,[22  9] ; [23 41],[14.68421053 16.31578947] ; [30.31578947 33.68421053],0
r3,1,0.004446,8.092238,[30  1] ; [46 18],[24.8  6.2] ; [51.2 12.8],0
v4,1,0.004775,7.962924,[29  1] ; [45 18],[23.87096774  6.12903226] ; [50.12903226 12.87096774],0
d4,1,0.006018,7.544942,[27  3] ; [40 24],[21.38297872  8.61702128] ; [45.61702128 18.38297872],0
u3,1,0.009908,6.651312,[8 1] ; [ 7 12],[4.82142857 4.17857143] ; [10.17857143  8.82142857],0
v3,1,0.017723,5.623349,[13 15] ; [13 47],[ 8.27272727 19.72727273] ; [17.72727273 42.27272727],0
s8,1,0.021671,5.272024,[12 19] ; [11 53],[ 7.50526316 23.49473684] ; [15.49473684 48.50526316],0
d3,1,0.029423,4.742714,[23  7] ; [34 30],[18.19148936 11.80851064] ; [38.80851064 25.19148936],0
s4,1,0.034144,4.487496,[ 8 23] ; [ 6 58],[ 4.56842105 26.43157895] ; [ 9.43157895 54.56842105],0
b2,1,0.046523,3.962573,[ 2 16] ; [14 24],[ 5.14285714 12.85714286] ; [10.85714286 27.14285714],0
b3,1,0.046523,3.962573,[ 2 16] ; [14 24],[ 5.14285714 12.85714286] ; [10.85714286 27.14285714],0
p10,1,0.047193,3.938509,[21 10] ; [28 33],[16.51086957 14.48913043] ; [32.48913043 28.51086957],0
a6,1,0.05606,3.650276,[15 15] ; [45 19],[19.14893617 10.85106383] ; [40.85106383 23.14893617],0
d1,1,0.058452,3.580776,[18 13] ; [24 40],[13.70526316 17.29473684] ; [28.29473684 35.70526316],0
u2,1,0.061487,3.496816,[8 1] ; [10  9],[5.78571429 3.21428571] ; [12.21428571  6.78571429],0
s1,1,0.061579,3.494342,[ 3 27] ; [ 1 62],[ 1.29032258 28.70967742] ; [ 2.70967742 60.29032258],0
r2,1,0.063727,3.437621,[28  1] ; [52 11],[25.2173913  3.7826087] ; [54.7826087  8.2173913],0
p9,1,0.095946,2.771675,[23  8] ; [35 27],[19.33333333 11.66666667] ; [38.66666667 23.33333333],0
v2,1,0.098943,2.7225,[17 13] ; [23 37],[13.33333333 16.66666667] ; [26.66666667 33.33333333],0
p8,1,0.145992,2.113636,[ 6 25] ; [21 41],[ 9. 22.] ; [18. 44.],0
s5,1,0.164266,1.934511,[ 7 21] ; [ 8 53],[ 4.71910112 23.28089888] ; [10.28089888 50.71910112],0
b1,1,0.182615,1.776213,[20 11] ; [32 32],[16.96842105 14.03157895] ; [35.03157895 28.96842105],0
r4,1,0.189127,1.724404,[24  7] ; [41 23],[21.21052632  9.78947368] ; [43.78947368 20.21052632],0
p3,1,0.203153,1.619564,[14 17] ; [20 43],[11.21276596 19.78723404] ; [22.78723404 40.21276596],0
a1,1,0.204424,1.610481,[ 1 30] ; [ 7 57],[ 2.61052632 28.38947368] ; [ 5.38947368 58.61052632],0
v1,1,0.21907,1.510454,[15 14] ; [24 39],[12.29347826 16.70652174] ; [26.70652174 36.29347826],0
p12,1,0.219303,1.508926,[ 2 29] ; [ 1 60],[ 1.01086957 29.98913043] ; [ 1.98913043 59.01086957],0
b5,1,0.283718,1.149194,[21 10] ; [36 28],[18.6 12.4] ; [38.4 25.6],0
a4,1,0.283718,1.149194,[10 21] ; [28 36],[12.4 18.6] ; [25.6 38.4],0
n2,1,0.305724,1.04906,[8 1] ; [18  7],[6.88235294 2.11764706] ; [19.11764706  5.88235294],0
p4,1,0.336937,0.922051,[14 17] ; [22 41],[11.87234043 19.12765957] ; [24.12765957 38.87234043],0
a8,1,0.371654,0.798126,[ 6 23] ; [ 8 52],[ 4.56179775 24.43820225] ; [ 9.43820225 50.56179775],0
a2,1,0.377043,0.780321,[ 4 27] ; [13 51],[ 5.54736842 25.45263158] ; [11.45263158 52.54736842],0
r1,1,0.379737,0.771554,[24  7] ; [44 20],[22.18947368  8.81052632] ; [45.81052632 18.18947368],0
d2,1,0.444012,0.585893,[12 18] ; [31 33],[13.72340426 16.27659574] ; [29.27659574 34.72340426],0
n3,1,0.457459,0.552105,[6 3] ; [12 11],[5.0625 3.9375] ; [12.9375 10.0625],0
p7,1,0.5552,0.348084,[16 14] ; [29 33],[14.67391304 15.32608696] ; [30.32608696 31.67391304],0
n5,1,0.629941,0.232141,[20 11] ; [38 26],[18.92631579 12.07368421] ; [39.07368421 24.92631579],0
p2,1,0.637954,0.221429,[22  9] ; [41 21],[21. 10.] ; [42. 20.],0
p6,1,0.68625,0.163175,[ 7 23] ; [12 49],[ 6.26373626 23.73626374] ; [12.73626374 48.26373626],0
p5,1,0.728679,0.120328,[ 1 30] ; [ 3 60],[ 1.31914894 29.68085106] ; [ 2.68085106 60.31914894],0
p11,1,0.746633,0.104382,[19 12] ; [37 27],[18.27368421 12.72631579] ; [37.72631579 26.27368421],0
u1,1,0.811844,0.056667,[ 2 29] ; [ 5 59],[ 2.28421053 28.71578947] ; [ 4.71578947 59.28421053],0
a5,1,0.825812,0.048433,[22  9] ; [44 20],[21.53684211  9.46315789] ; [44.46315789 19.53684211],0
b4,1,0.896675,0.016864,[17 14] ; [36 28],[17.29473684 13.70526316] ; [35.70526316 28.29473684],0
n1,1,0.943109,0.005093,[4 5] ; [11 13],[4.09090909 4.90909091] ; [10.90909091 13.09090909],0
a3,1,0.962973,0.002155,[22  9] ; [45 18],[22.09574468  8.90425532] ; [44.90425532 18.09574468],0
a7,1,0.973622,0.001093,[19 12] ; [39 25],[18.92631579 12.07368421] ; [39.07368421 24.92631579],0
d5,1,0.991499,0.000114,[22  8] ; [47 17],[22.0212766  7.9787234] ; [46.9787234 17.0212766],0
