Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.002401,9.214329,[ 6 76] ; [ 9 22],[10.88495575 71.11504425] ; [ 4.11504425 26.88495575],0
v3,1,0.002585,9.079383,[ 9 72] ; [11 20],[14.46428571 66.53571429] ; [ 5.53571429 25.46428571],0
d1,1,0.003342,8.610645,[21 61] ; [17 14],[27.57522124 54.42477876] ; [10.42477876 20.57522124],0
v1,1,0.005665,7.653814,[14 65] ; [13 17],[19.56880734 59.43119266] ; [ 7.43119266 22.56880734],0
v4,1,0.030609,4.67476,[54 27] ; [27  4],[58.58035714 22.41964286] ; [22.41964286  8.58035714],0
d5,1,0.04363,4.070835,[46 35] ; [24  7],[50.625 30.375] ; [19.375 11.625],0
a3,1,0.052089,3.77291,[41 40] ; [22  9],[45.5625 35.4375] ; [17.4375 13.5625],0
r3,1,0.055477,3.667687,[53 28] ; [26  5],[57.13392857 23.86607143] ; [21.86607143  9.13392857],0
n3,1,0.071108,3.257256,[15 11] ; [12  2],[17.55  8.45] ; [9.45 4.55],0
p11,1,0.090834,2.859526,[41 41] ; [21 10],[44.99115044 37.00884956] ; [17.00884956 13.99115044],0
u3,1,0.094341,2.798701,[11 30] ; [5 4],[13.12 27.88] ; [2.88 6.12],0
d3,1,0.097178,2.751252,[30 50] ; [17 14],[33.87387387 46.12612613] ; [13.12612613 17.87387387],0
a6,1,0.114617,2.489378,[42 40] ; [21 10],[45.71681416 36.28318584] ; [17.28318584 13.71681416],0
n4,1,0.120349,2.412775,[45 37] ; [22  9],[48.61946903 33.38053097] ; [18.38053097 12.61946903],0
n2,1,0.1234,2.373626,[14 12] ; [11  3],[16.25  9.75] ; [8.75 5.25],0
r4,1,0.130146,2.290757,[32 50] ; [17 14],[35.55752212 46.44247788] ; [13.44247788 17.55752212],0
d4,1,0.143036,2.144994,[43 39] ; [21 10],[46.44247788 35.55752212] ; [17.55752212 13.44247788],0
a2,1,0.158555,1.987953,[ 6 76] ; [ 5 26],[ 7.98230088 74.01769912] ; [ 3.01769912 27.98230088],0
u2,1,0.177106,1.82174,[13 28] ; [5 4],[14.76 26.24] ; [3.24 5.76],0
s1,1,0.186872,1.742108,[ 3 79] ; [ 3 27],[ 4.39285714 77.60714286] ; [ 1.60714286 28.39285714],0
a8,1,0.187629,1.736138,[ 9 69] ; [ 1 29],[ 7.22222222 70.77777778] ; [ 2.77777778 27.22222222],0
u1,1,0.233172,1.42141,[ 5 77] ; [ 4 27],[ 6.53097345 75.46902655] ; [ 2.46902655 28.53097345],0
p6,1,0.234065,1.415985,[15 65] ; [ 8 19],[17.19626168 62.80373832] ; [ 5.80373832 21.19626168],0
p7,1,0.24086,1.375551,[29 51] ; [15 16],[31.71171171 48.28828829] ; [12.28828829 18.71171171],0
a5,1,0.24737,1.338094,[35 47] ; [17 14],[37.73451327 44.26548673] ; [14.26548673 16.73451327],0
b2,1,0.290111,1.119108,[21 30] ; [9 7],[22.8358209 28.1641791] ; [7.1641791 8.8358209],0
b3,1,0.290111,1.119108,[21 30] ; [9 7],[22.8358209 28.1641791] ; [7.1641791 8.8358209],0
a4,1,0.292032,1.110228,[23 58] ; [12 19],[25.3125 55.6875] ; [ 9.6875 21.3125],0
d2,1,0.322005,0.980785,[28 52] ; [14 17],[30.27027027 49.72972973] ; [11.72972973 19.27027027],0
a1,1,0.420834,0.647986,[ 6 76] ; [ 1 30],[ 5.07964602 76.92035398] ; [ 1.92035398 29.07964602],0
n5,1,0.519067,0.415746,[53 29] ; [18 13],[51.52212389 30.47787611] ; [19.47787611 11.52212389],0
b1,1,0.537294,0.380578,[37 45] ; [16 15],[38.46017699 43.53982301] ; [14.53982301 16.46017699],0
