Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4.2e-05,16.78193,[45  9] ; [14 20],[36.20454545 17.79545455] ; [22.79545455 11.20454545],1
n2,1,0.001931,9.613795,[14  1] ; [5 8],[10.17857143  4.82142857] ; [8.82142857 4.17857143],0
p10,1,0.002552,9.103061,[43 11] ; [16 17],[36.62068966 17.37931034] ; [22.37931034 10.62068966],0
n6,1,0.006315,7.45803,[45  8] ; [20 14],[39.59770115 13.40229885] ; [25.40229885  8.59770115],0
p7,1,0.009596,6.708427,[28 23] ; [ 9 25],[22.2 28.8] ; [14.8 19.2],0
v4,1,0.013049,6.162465,[51  3] ; [26  8],[47.25  6.75] ; [29.75  4.25],0
p11,1,0.014282,6.002887,[38 16] ; [15 19],[32.52272727 21.47727273] ; [20.47727273 13.52272727],0
p9,1,0.023561,5.126631,[40 14] ; [16 16],[35.1627907 18.8372093] ; [20.8372093 11.1627907],0
a8,1,0.043175,4.088549,[ 8 38] ; [ 1 33],[ 5.175 40.825] ; [ 3.825 30.175],0
s4,1,0.051455,3.793404,[ 9 44] ; [12 22],[12.79310345 40.20689655] ; [ 8.20689655 25.79310345],0
s8,1,0.053521,3.727583,[25 28] ; [ 9 25],[20.71264368 32.28735632] ; [13.28735632 20.71264368],0
v1,1,0.064337,3.421897,[29 25] ; [11 22],[24.82758621 29.17241379] ; [15.17241379 17.82758621],0
d4,1,0.095947,2.771656,[41 12] ; [31  3],[43.86206897  9.13793103] ; [28.13793103  5.86206897],0
a1,1,0.111311,2.535512,[ 7 47] ; [ 1 33],[ 4.90909091 49.09090909] ; [ 3.09090909 30.90909091],0
p3,1,0.132507,2.262888,[23 30] ; [ 9 24],[19.72093023 33.27906977] ; [12.27906977 20.72093023],0
a7,1,0.134764,2.236747,[40 14] ; [20 14],[36.81818182 17.18181818] ; [23.18181818 10.81818182],0
d5,1,0.141398,2.162678,[38 15] ; [29  5],[40.81609195 12.18390805] ; [26.18390805  7.81609195],0
a2,1,0.149306,2.079323,[11 43] ; [ 3 31],[ 8.59090909 45.40909091] ; [ 5.40909091 28.59090909],0
p6,1,0.156906,2.003793,[17 36] ; [ 6 27],[14.1744186 38.8255814] ; [ 8.8255814 24.1744186],0
p8,1,0.248319,1.332735,[19 35] ; [ 8 26],[16.56818182 37.43181818] ; [10.43181818 23.56818182],0
r3,1,0.252237,1.310874,[49  5] ; [33  1],[50.31818182  3.68181818] ; [31.68181818  2.31818182],0
s2,1,0.252333,1.310342,[29 25] ; [14 20],[26.38636364 27.61363636] ; [16.61363636 17.38636364],0
s3,1,0.295948,1.092365,[30 24] ; [15 19],[27.61363636 26.38636364] ; [17.38636364 16.61363636],0
p4,1,0.300104,1.07373,[21 31] ; [10 24],[18.74418605 33.25581395] ; [12.25581395 21.74418605],0
