Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.5e-05,18.729776,[67  4] ; [31 18],[57.98333333 13.01666667] ; [40.01666667  8.98333333],1
r3,1,1.9e-05,18.246623,[66  5] ; [30 19],[56.8 14.2] ; [39.2  9.8],1
p7,1,3.3e-05,17.253556,[41 30] ; [ 9 38],[30.08474576 40.91525424] ; [19.91525424 27.08474576],1
p4,1,0.000157,14.283407,[37 35] ; [ 8 39],[27.22689076 44.77310924] ; [17.77310924 29.22689076],1
r4,1,0.000734,11.400988,[61 11] ; [28 21],[52.95867769 19.04132231] ; [36.04132231 12.95867769],1
p8,1,0.000843,11.145072,[29 43] ; [ 6 43],[20.82644628 51.17355372] ; [14.17355372 34.82644628],1
b5,1,0.002449,9.178642,[48 24] ; [19 30],[39.8677686 32.1322314] ; [27.1322314 21.8677686],0
p6,1,0.00264,9.040945,[20 50] ; [ 3 45],[13.6440678 56.3559322] ; [ 9.3559322 38.6440678],0
d5,1,0.002888,8.877174,[59 13] ; [28 21],[51.76859504 20.23140496] ; [35.23140496 13.76859504],0
p11,1,0.00331,8.628454,[46 26] ; [18 31],[38.08264463 33.91735537] ; [25.91735537 23.08264463],0
d3,1,0.004201,8.194734,[51 21] ; [22 27],[43.43801653 28.56198347] ; [29.56198347 19.43801653],0
s2,1,0.006985,7.276829,[31 39] ; [10 39],[24.11764706 45.88235294] ; [16.88235294 32.11764706],0
s3,1,0.020444,5.373538,[39 32] ; [16 32],[32.81512605 38.18487395] ; [22.18487395 25.81512605],0
v1,1,0.021884,5.255003,[34 38] ; [13 36],[27.96694215 44.03305785] ; [19.03305785 29.96694215],0
r1,1,0.02259,5.199783,[60 12] ; [32 17],[54.74380165 17.25619835] ; [37.25619835 11.74380165],0
n3,1,0.032734,4.559637,[14  5] ; [ 7 11],[10.78378378  8.21621622] ; [10.21621622  7.78378378],0
p10,1,0.038617,4.277636,[24 47] ; [ 8 40],[19.09243697 51.90756303] ; [12.90756303 35.09243697],0
