Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,47.655548,[104   2] ; [19 17],[91.81690141 14.18309859] ; [31.18309859  4.81690141],1
r3,1,0.0,43.276054,[105   1] ; [22 15],[94.13986014 11.86013986] ; [32.86013986  4.13986014],1
v4,1,0.0,29.60932,[103   2] ; [24 12],[94.57446809 10.42553191] ; [32.42553191  3.57446809],1
r1,1,0.0,25.659026,[80 25] ; [11 26],[67.28873239 37.71126761] ; [23.71126761 13.28873239],1
s2,1,0.002195,9.37893,[50 55] ; [ 7 30],[42.14788732 62.85211268] ; [14.85211268 22.14788732],0
n2,1,0.002754,8.963968,[37 12] ; [ 7 12],[31.70588235 17.29411765] ; [12.29411765  6.70588235],0
s6,1,0.006503,7.405219,[58 46] ; [11 26],[50.89361702 53.10638298] ; [18.10638298 18.89361702],0
s8,1,0.008666,6.89035,[31 74] ; [ 3 34],[25.14084507 79.85915493] ; [ 8.85915493 28.14084507],0
p9,1,0.015502,5.85855,[76 26] ; [19 17],[70.2173913 31.7826087] ; [24.7826087 11.2173913],0
p11,1,0.017758,5.619854,[64 42] ; [14 23],[57.81818182 48.18181818] ; [20.18181818 16.81818182],0
u3,1,0.017879,5.608005,[29 10] ; [6 9],[25.27777778 13.72222222] ; [9.72222222 5.27777778],0
s7,1,0.021475,5.28779,[32 68] ; [ 4 30],[26.86567164 73.13432836] ; [ 9.13432836 24.86567164],0
n6,1,0.02772,4.845405,[73 33] ; [18 19],[67.45454545 38.54545455] ; [23.54545455 13.45454545],0
b1,1,0.028374,4.805218,[41 65] ; [22 15],[46.6993007 59.3006993] ; [16.3006993 20.6993007],0
p6,1,0.029388,4.744752,[18 87] ; [ 1 35],[14.14893617 90.85106383] ; [ 4.85106383 31.14893617],0
a6,1,0.031108,4.64701,[70 36] ; [17 20],[64.48951049 41.51048951] ; [22.51048951 14.48951049],0
p10,1,0.041908,4.138896,[67 36] ; [17 20],[61.8 41.2] ; [22.2 14.8],0
p7,1,0.047857,3.914984,[44 59] ; [ 9 28],[38.99285714 64.00714286] ; [14.00714286 22.99285714],0
s4,1,0.071649,3.244835,[30 76] ; [ 5 32],[25.94405594 80.05594406] ; [ 9.05594406 27.94405594],0
u2,1,0.074032,3.191291,[23 15] ; [ 5 10],[20.0754717 17.9245283] ; [7.9245283 7.0754717],0
s3,1,0.082886,3.007393,[53 53] ; [12 24],[48.52112676 57.47887324] ; [16.47887324 19.52112676],0
n1,1,0.115469,2.477733,[14 35] ; [ 2 17],[11.52941176 37.47058824] ; [ 4.47058824 14.52941176],0
a7,1,0.139154,2.187293,[71 34] ; [20 17],[67.28873239 37.71126761] ; [23.71126761 13.28873239],0
p4,1,0.262769,1.254108,[36 69] ; [ 9 28],[33.27464789 71.72535211] ; [11.72535211 25.27464789],0
n3,1,0.266687,1.233709,[35 15] ; [10  8],[33.08823529 16.91176471] ; [11.91176471  6.08823529],0
p3,1,0.279826,1.167933,[27 79] ; [ 6 30],[24.63380282 81.36619718] ; [ 8.36619718 27.63380282],0
d5,1,0.294582,1.098559,[75 30] ; [23 14],[72.46478873 32.53521127] ; [25.53521127 11.46478873],0
u1,1,0.297216,1.086642,[12 94] ; [ 2 35],[10.37762238 95.62237762] ; [ 3.62237762 33.37762238],0
p2,1,0.365957,0.817345,[69 37] ; [21 16],[66.71328671 39.28671329] ; [23.28671329 13.71328671],0
a2,1,0.370454,0.802142,[18 88] ; [ 4 33],[16.30769231 89.69230769] ; [ 5.69230769 31.30769231],0
a8,1,0.372857,0.79412,[ 7 96] ; [ 1 35],[ 5.92805755 97.07194245] ; [ 2.07194245 33.92805755],0
v3,1,0.374012,0.79029,[23 76] ; [ 6 31],[21.11029412 77.88970588] ; [ 7.88970588 29.11029412],0
v2,1,0.393679,0.727549,[43 54] ; [13 23],[40.84210526 56.15789474] ; [15.15789474 20.84210526],0
a5,1,0.419841,0.650761,[54 52] ; [16 21],[51.88811189 54.11188811] ; [18.11188811 18.88811189],0
s5,1,0.488083,0.480749,[28 74] ; [ 8 29],[26.41726619 75.58273381] ; [ 9.58273381 27.41726619],0
d3,1,0.569085,0.324215,[64 41] ; [20 16],[62.55319149 42.44680851] ; [21.44680851 14.55319149],0
d4,1,0.61938,0.24674,[78 27] ; [29  8],[79.11971831 25.88028169] ; [27.88028169  9.11971831],0
d2,1,0.629051,0.23335,[42 64] ; [13 24],[40.76923077 65.23076923] ; [14.23076923 22.76923077],0
n5,1,0.661931,0.191186,[35 69] ; [11 26],[33.92907801 70.07092199] ; [12.07092199 24.92907801],0
