Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,39.70101,[47 38] ; [ 1 50],[30. 55.] ; [18. 33.],1
a5,1,1e-06,25.042671,[56 29] ; [11 40],[41.875 43.125] ; [25.125 25.875],1
d4,1,1e-06,24.210989,[66 19] ; [18 33],[52.5 32.5] ; [31.5 19.5],1
a3,1,1.1e-05,19.322114,[58 27] ; [15 36],[45.625 39.375] ; [27.375 23.625],1
a4,1,3.1e-05,17.362501,[37 47] ; [ 5 46],[26.13333333 57.86666667] ; [15.86666667 35.13333333],1
d3,1,3.3e-05,17.22323,[54 30] ; [14 37],[42.31111111 41.68888889] ; [25.68888889 25.31111111],1
d2,1,0.000215,13.698952,[43 40] ; [10 41],[32.82835821 50.17164179] ; [20.17164179 30.82835821],1
a7,1,0.004527,8.059259,[53 32] ; [19 32],[45. 40.] ; [27. 24.],0
v2,1,0.00568,7.648971,[26 57] ; [ 5 44],[19.49242424 63.50757576] ; [11.50757576 37.49242424],0
a2,1,0.013242,6.136456,[13 72] ; [ 1 50],[ 8.75 76.25] ; [ 5.25 45.75],0
r2,1,0.016535,5.745075,[66 15] ; [32 19],[60.13636364 20.86363636] ; [37.86363636 13.13636364],0
a6,1,0.025197,5.010315,[55 30] ; [23 28],[48.75 36.25] ; [29.25 21.75],0
b3,1,0.0401,4.21364,[23 28] ; [ 7 24],[18.65853659 32.34146341] ; [11.34146341 19.65853659],0
b2,1,0.0401,4.21364,[23 28] ; [ 7 24],[18.65853659 32.34146341] ; [11.34146341 19.65853659],0
p12,1,0.045489,4.000407,[ 1 84] ; [ 4 47],[ 3.125 81.875] ; [ 1.875 49.125],0
p10,1,0.060052,3.535944,[53 29] ; [24 26],[47.83333333 34.16666667] ; [29.16666667 20.83333333],0
u3,1,0.090494,2.86556,[11 15] ; [ 8 28],[ 7.96774194 18.03225806] ; [11.03225806 24.96774194],0
r3,1,0.15416,2.030599,[69 16] ; [36 15],[65.625 19.375] ; [39.375 11.625],0
u2,1,0.211525,1.560957,[14 13] ; [13 23],[11.57142857 15.42857143] ; [15.42857143 20.57142857],0
r4,1,0.249404,1.326638,[47 38] ; [23 28],[43.75 41.25] ; [26.25 24.75],0
p9,1,0.262164,1.257294,[58 24] ; [30 19],[55.08396947 26.91603053] ; [32.91603053 16.08396947],0
p8,1,0.270701,1.213189,[27 56] ; [21 29],[29.95488722 53.04511278] ; [18.04511278 31.95488722],0
n4,1,0.280284,1.165714,[53 32] ; [27 24],[50. 35.] ; [30. 21.],0
n6,1,0.296561,1.089596,[63 21] ; [34 17],[60.35555556 23.64444444] ; [36.64444444 14.35555556],0
s5,1,0.299956,1.074391,[17 63] ; [ 7 43],[14.76923077 65.23076923] ; [ 9.23076923 40.76923077],0
p1,1,0.319096,0.992647,[ 7 77] ; [ 7 44],[ 8.71111111 75.28888889] ; [ 5.28888889 45.71111111],0
a1,1,0.348909,0.877419,[ 9 76] ; [ 3 48],[ 7.5 77.5] ; [ 4.5 46.5],0
v3,1,0.390891,0.73617,[16 66] ; [ 7 44],[14.18045113 67.81954887] ; [ 8.81954887 42.18045113],0
v4,1,0.425014,0.636409,[66 18] ; [37 14],[64.08888889 19.91111111] ; [38.91111111 12.08888889],0
n2,1,0.42542,0.635294,[24 10] ; [12  8],[22.66666667 11.33333333] ; [13.33333333  6.66666667],0
p4,1,0.462265,0.540406,[35 49] ; [18 33],[32.97777778 51.02222222] ; [20.02222222 30.97777778],0
b4,1,0.50279,0.449042,[50 35] ; [27 24],[48.125 36.875] ; [28.875 22.125],0
b1,1,0.557562,0.343943,[36 49] ; [19 32],[34.375 50.625] ; [20.625 30.375],0
s3,1,0.557888,0.343373,[29 54] ; [20 30],[30.57894737 52.42105263] ; [18.42105263 31.57894737],0
s8,1,0.561543,0.33704,[18 67] ; [13 38],[19.375 65.625] ; [11.625 39.375],0
n1,1,0.580218,0.305882,[12 20] ; [ 6 14],[11.07692308 20.92307692] ; [ 6.92307692 13.07692308],0
p3,1,0.595615,0.28166,[27 58] ; [14 37],[25.625 59.375] ; [15.375 35.625],0
b5,1,0.621596,0.24363,[48 37] ; [31 20],[49.375 35.625] ; [29.625 21.375],0
s4,1,0.626619,0.236674,[17 68] ; [12 39],[18.125 66.875] ; [10.875 40.125],0
s7,1,0.652114,0.203246,[23 56] ; [13 38],[21.87692308 57.12307692] ; [14.12307692 36.87692308],0
n3,1,0.690242,0.158824,[22 12] ; [14  6],[22.66666667 11.33333333] ; [13.33333333  6.66666667],0
p11,1,0.748869,0.102484,[54 31] ; [31 20],[53.125 31.875] ; [31.875 19.125],0
p5,1,0.755408,0.097042,[ 4 80] ; [ 3 47],[ 4.3880597 79.6119403] ; [ 2.6119403 47.3880597],0
s2,1,0.773705,0.082675,[27 58] ; [15 36],[26.25 58.75] ; [15.75 35.25],0
p6,1,0.797656,0.065732,[23 59] ; [13 37],[22.36363636 59.63636364] ; [13.63636364 36.36363636],0
p2,1,0.810446,0.057528,[52 31] ; [33 18],[52.64925373 30.35074627] ; [32.35074627 18.64925373],0
p7,1,0.897624,0.016554,[38 45] ; [23 26],[38.35606061 44.64393939] ; [22.64393939 26.35606061],0
s1,1,0.916818,0.010908,[ 3 81] ; [ 2 49],[ 3.11111111 80.88888889] ; [ 1.88888889 49.11111111],0
n5,1,0.92222,0.009533,[52 32] ; [32 19],[52.26666667 31.73333333] ; [31.73333333 19.26666667],0
a8,1,0.933865,0.006886,[ 8 74] ; [ 5 44],[ 8.13740458 73.86259542] ; [ 4.86259542 44.13740458],0
s6,1,0.963789,0.002061,[33 52] ; [20 31],[33.125 51.875] ; [19.875 31.125],0
