Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.7e-05,18.448703,[78 20] ; [120 101],[60.82758621 37.17241379] ; [137.17241379  83.82758621],1
p5,1,8.3e-05,15.494519,[17 82] ; [  9 210],[ 8.09433962 90.90566038] ; [ 17.90566038 201.09433962],1
s2,1,0.000138,14.533616,[62 35] ; [ 90 131],[46.36477987 50.63522013] ; [105.63522013 115.36477987],1
s3,1,0.000156,14.298023,[65 30] ; [100 121],[49.60443038 45.39556962] ; [115.39556962 105.60443038],1
s8,1,0.001128,10.604712,[53 45] ; [ 77 145],[39.8125 58.1875] ; [ 90.1875 131.8125],0
p2,1,0.002285,9.305358,[87 12] ; [160  61],[76.415625 22.584375] ; [170.584375  50.415625],0
p3,1,0.003629,8.460479,[53 46] ; [ 80 141],[41.146875 57.853125] ; [ 91.853125 129.146875],0
p12,1,0.008198,6.989705,[11 88] ; [  8 215],[ 5.84161491 93.15838509] ; [ 13.15838509 209.84161491],0
s7,1,0.01161,6.369402,[52 41] ; [ 85 126],[41.91118421 51.08881579] ; [ 95.08881579 115.91118421],0
p4,1,0.022775,5.185596,[59 39] ; [103 119],[49.6125 48.3875] ; [112.3875 109.6125],0
n1,1,0.0285,4.797585,[12 10] ; [19 47],[ 7.75 14.25] ; [23.25 42.75],0
n2,1,0.030681,4.670707,[18  4] ; [37 29],[13.75  8.25] ; [41.25 24.75],0
v1,1,0.030806,4.663759,[55 42] ; [ 94 122],[46.17571885 50.82428115] ; [102.82428115 113.17571885],0
p7,1,0.032727,4.560029,[58 37] ; [105 114],[49.31528662 45.68471338] ; [113.68471338 105.31528662],0
a7,1,0.064798,3.410105,[70 28] ; [180  43],[76.32398754 21.67601246] ; [173.67601246  49.32398754],0
p10,1,0.069167,3.302674,[83 16] ; [165  56],[76.725 22.275] ; [171.275  49.725],0
a3,1,0.080495,3.05488,[84 15] ; [170  53],[78.0931677 20.9068323] ; [175.9068323  47.0931677],0
v2,1,0.0805,3.054778,[64 31] ; [121  92],[57.06168831 37.93831169] ; [127.93831169  85.06168831],0
p9,1,0.085549,2.956187,[83 15] ; [166  52],[77.22151899 20.77848101] ; [171.77848101  46.22151899],0
a5,1,0.091121,2.85445,[86 13] ; [176  47],[80.55279503 18.44720497] ; [181.44720497  41.55279503],0
p1,1,0.107792,2.586291,[ 9 90] ; [ 10 212],[ 5.85981308 93.14018692] ; [ 13.14018692 208.85981308],0
d2,1,0.127669,2.320619,[76 22] ; [153  68],[70.35109718 27.64890282] ; [158.64890282  62.35109718],0
a2,1,0.158196,1.991382,[40 59] ; [ 72 151],[34.43478261 64.56521739] ; [ 77.56521739 145.43478261],0
r1,1,0.159325,1.98062,[86 11] ; [183  39],[81.79623824 15.20376176] ; [187.20376176  34.79623824],0
n5,1,0.169481,1.887527,[75 22] ; [155  67],[69.93730408 27.06269592] ; [160.06269592  61.93730408],0
v3,1,0.173412,1.853194,[46 50] ; [ 82 125],[40.55445545 55.44554455] ; [ 87.44554455 119.55445545],0
p8,1,0.179906,1.7984,[46 50] ; [ 88 133],[40.58044164 55.41955836] ; [ 93.41955836 127.58044164],0
u3,1,0.195882,1.672812,[11  4] ; [29 24],[8.82352941 6.17647059] ; [31.17647059 21.82352941],0
