Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.020885,5.336375,[2 5] ; [ 10 157],[0.48275862 6.51724138] ; [ 11.51724138 155.48275862],0
s8,1,0.021017,5.325362,[4 3] ; [ 34 133],[1.52873563 5.47126437] ; [ 36.47126437 130.52873563],0
s7,1,0.035546,4.418737,[4 3] ; [ 36 124],[1.67664671 5.32335329] ; [ 38.32335329 121.67664671],0
v2,1,0.047384,3.931684,[5 1] ; [67 91],[2.63414634 3.36585366] ; [69.36585366 88.63414634],0
p4,1,0.081864,3.027501,[5 2] ; [ 64 102],[2.79190751 4.20809249] ; [66.20809249 99.79190751],0
b1,1,0.085752,2.952368,[5 2] ; [ 65 102],[2.81609195 4.18390805] ; [67.18390805 99.81609195],0
p3,1,0.092432,2.831503,[4 3] ; [ 46 120],[2.02312139 4.97687861] ; [ 47.97687861 118.02312139],0
p6,1,0.109232,2.565294,[3 4] ; [ 30 133],[1.35882353 5.64117647] ; [ 31.64117647 131.35882353],0
p1,1,0.110305,2.549851,[1 6] ; [  5 161],[0.24277457 6.75722543] ; [  5.75722543 160.24277457],0
b2,1,0.148505,2.087543,[3 3] ; [18 59],[1.51807229 4.48192771] ; [19.48192771 57.51807229],0
b3,1,0.148505,2.087543,[3 3] ; [18 59],[1.51807229 4.48192771] ; [19.48192771 57.51807229],0
s3,1,0.194055,1.686557,[1 6] ; [ 64 102],[2.6300578 4.3699422] ; [ 62.3699422 103.6300578],0
n1,1,0.249981,1.323408,[1 1] ; [11 51],[0.375 1.625] ; [11.625 50.375],0
r3,1,0.250751,1.319114,[5 2] ; [144  22],[6.02890173 0.97109827] ; [142.97109827  23.02890173],0
a5,1,0.259977,1.268881,[5 2] ; [83 84],[3.54022989 3.45977011] ; [84.45977011 82.54022989],0
v1,1,0.276929,1.182098,[4 3] ; [ 60 103],[2.63529412 4.36470588] ; [ 61.36470588 101.63529412],0
p7,1,0.295053,1.09642,[5 2] ; [83 79],[3.64497041 3.35502959] ; [84.35502959 77.64497041],0
n5,1,0.29709,1.08721,[4 3] ; [ 62 103],[2.68604651 4.31395349] ; [ 63.31395349 101.68604651],0
s2,1,0.338073,0.917726,[1 6] ; [ 52 114],[2.14450867 4.85549133] ; [ 50.85549133 115.14450867],0
r2,1,0.359047,0.841223,[5 2] ; [141  26],[5.87356322 1.12643678] ; [140.12643678  26.87356322],0
a8,1,0.361864,0.831414,[1 6] ; [  9 146],[0.43209877 6.56790123] ; [  9.56790123 145.43209877],0
p8,1,0.376616,0.781719,[4 3] ; [67 99],[2.87283237 4.12716763] ; [68.12716763 97.87283237],0
p2,1,0.400061,0.708142,[6 1] ; [118  48],[5.01734104 1.98265896] ; [118.98265896  47.01734104],0
a3,1,0.428076,0.628036,[5 2] ; [94 73],[3.98275862 3.01724138] ; [95.01724138 71.98275862],0
v3,1,0.535198,0.384512,[2 4] ; [ 36 124],[1.37349398 4.62650602] ; [ 36.62650602 123.37349398],0
d1,1,0.560795,0.33833,[2 5] ; [ 66 101],[2.73563218 4.26436782] ; [ 65.26436782 101.73563218],0
d5,1,0.593431,0.285017,[4 3] ; [111  55],[4.65317919 2.34682081] ; [110.34682081  55.65317919],0
n3,1,0.660609,0.192785,[1 1] ; [41 22],[1.29230769 0.70769231] ; [40.70769231 22.29230769],0
b5,1,0.667879,0.184093,[5 2] ; [106  61],[4.46551724 2.53448276] ; [106.53448276  60.46551724],0
d3,1,0.701591,0.146822,[4 3] ; [106  59],[4.47674419 2.52325581] ; [105.52325581  59.47674419],0
r1,1,0.736969,0.112809,[5 2] ; [109  58],[4.5862069 2.4137931] ; [109.4137931  57.5862069],0
a6,1,0.758771,0.094307,[4 3] ; [105  62],[4.38505747 2.61494253] ; [104.61494253  62.38505747],0
u3,1,0.795236,0.067349,[1 1] ; [42 29],[1.17808219 0.82191781] ; [41.82191781 29.17808219],0
a2,1,0.813155,0.055865,[1 6] ; [ 19 148],[0.8045977 6.1954023] ; [ 19.1954023 147.8045977],0
a4,1,0.86729,0.027923,[2 5] ; [ 43 124],[1.81034483 5.18965517] ; [ 43.18965517 123.81034483],0
r4,1,0.86729,0.027923,[5 2] ; [124  43],[5.18965517 1.81034483] ; [123.81034483  43.18965517],0
n6,1,0.86975,0.026888,[4 3] ; [100  66],[4.20809249 2.79190751] ; [99.79190751 66.20809249],0
d2,1,0.91177,0.012278,[2 5] ; [ 51 116],[2.13218391 4.86781609] ; [ 50.86781609 116.13218391],0
b4,1,0.939507,0.005759,[4 3] ; [93 74],[3.90229885 3.09770115] ; [93.09770115 73.90229885],0
a7,1,0.984298,0.000387,[5 2] ; [118  48],[4.97687861 2.02312139] ; [118.02312139  47.97687861],0
d4,1,0.984298,0.000387,[5 2] ; [118  48],[4.97687861 2.02312139] ; [118.02312139  47.97687861],0
s6,1,0.996403,2e-05,[3 4] ; [71 95],[2.99421965 4.00578035] ; [71.00578035 94.99421965],0
