Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.883759,[60 10] ; [41 40],[46.82119205 23.17880795] ; [54.17880795 26.82119205],1
r3,1,7e-06,20.285964,[66  4] ; [51 29],[54.6 15.4] ; [62.4 17.6],1
p10,1,0.000486,12.166819,[24 45] ; [ 9 72],[15.18 53.82] ; [17.82 63.18],1
p2,1,0.001984,9.564423,[47 23] ; [34 47],[37.54966887 32.45033113] ; [43.45033113 37.54966887],0
v4,1,0.002546,9.107287,[62  7] ; [55 24],[54.5472973 14.4527027] ; [62.4527027 16.5472973],0
r1,1,0.008045,7.023411,[56 14] ; [48 32],[48.53333333 21.46666667] ; [55.46666667 24.53333333],0
n6,1,0.008093,7.012802,[50 19] ; [41 39],[42.1409396 26.8590604] ; [48.8590604 31.1409396],0
r2,1,0.021915,5.252524,[63  7] ; [59 19],[57.7027027 12.2972973] ; [64.2972973 13.7027027],0
s8,1,0.03249,4.572479,[17 53] ; [ 9 72],[12.05298013 57.94701987] ; [13.94701987 67.05298013],0
p7,1,0.038912,4.264711,[37 32] ; [29 50],[30.77027027 38.22972973] ; [35.22972973 43.77027027],0
b4,1,0.05682,3.627859,[47 23] ; [42 39],[41.25827815 28.74172185] ; [47.74172185 33.25827815],0
a6,1,0.061198,3.50463,[46 24] ; [41 40],[40.33112583 29.66887417] ; [46.66887417 34.33112583],0
s7,1,0.06209,3.48066,[21 46] ; [13 60],[16.27142857 50.72857143] ; [17.72857143 55.27142857],0
s2,1,0.076113,3.145997,[25 43] ; [19 62],[20.08053691 47.91946309] ; [23.91946309 57.08053691],0
a1,1,0.083684,2.991858,[ 2 68] ; [ 8 73],[ 4.63576159 65.36423841] ; [ 5.36423841 75.63576159],0
s4,1,0.083986,2.986021,[ 6 63] ; [15 66],[ 9.66 59.34] ; [11.34 69.66],0
d3,1,0.090726,2.861446,[45 25] ; [41 40],[39.86754967 30.13245033] ; [46.13245033 34.86754967],0
p8,1,0.107609,2.588987,[26 44] ; [20 60],[21.46666667 48.53333333] ; [24.53333333 55.46666667],0
a8,1,0.108496,2.576,[ 7 56] ; [ 3 72],[ 4.56521739 58.43478261] ; [ 5.43478261 69.56521739],0
b3,1,0.136085,2.221685,[11 33] ; [19 29],[14.34782609 29.65217391] ; [15.65217391 32.34782609],0
b2,1,0.136085,2.221685,[11 33] ; [19 29],[14.34782609 29.65217391] ; [15.65217391 32.34782609],0
p4,1,0.1411,2.165926,[30 40] ; [25 55],[25.66666667 44.33333333] ; [29.33333333 50.66666667],0
u3,1,0.154332,2.028903,[20 11] ; [18 20],[17.07246377 13.92753623] ; [20.92753623 17.07246377],0
a7,1,0.161941,1.956008,[48 22] ; [46 34],[43.86666667 26.13333333] ; [50.13333333 29.86666667],0
s1,1,0.18829,1.73095,[ 3 66] ; [ 8 72],[ 5.09395973 63.90604027] ; [ 5.90604027 74.09395973],0
b1,1,0.188599,1.728527,[34 36] ; [48 33],[38.01324503 31.98675497] ; [43.98675497 37.01324503],0
n4,1,0.201161,1.633923,[49 21] ; [48 32],[45.26666667 24.73333333] ; [51.73333333 28.26666667],0
