Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.003602,8.474402,[ 9 41] ; [15 16],[14.81481481 35.18518519] ; [ 9.18518519 21.81481481],0
p8,1,0.018208,5.576067,[11 40] ; [14 16],[15.74074074 35.25925926] ; [ 9.25925926 20.74074074],0
s6,1,0.020871,5.337517,[16 34] ; [18 13],[20.98765432 29.01234568] ; [13.01234568 17.98765432],0
s8,1,0.028332,4.807742,[ 4 46] ; [ 8 23],[ 7.40740741 42.59259259] ; [ 4.59259259 26.40740741],0
s2,1,0.033335,4.52851,[10 40] ; [13 18],[14.19753086 35.80246914] ; [ 8.80246914 22.19753086],0
a5,1,0.034307,4.479328,[19 32] ; [19 12],[23.63414634 27.36585366] ; [14.36585366 16.63414634],0
s3,1,0.068466,3.319418,[16 35] ; [16 15],[19.90243902 31.09756098] ; [12.09756098 18.90243902],0
d3,1,0.097612,2.744132,[25 26] ; [21 10],[28.6097561 22.3902439] ; [17.3902439 13.6097561],0
s4,1,0.170027,1.882707,[ 7 44] ; [ 8 23],[ 9.32926829 41.67073171] ; [ 5.67073171 25.32926829],0
u3,1,0.172955,1.857143,[12 14] ; [9 4],[14. 12.] ; [7. 6.],0
v2,1,0.180894,1.790265,[16 32] ; [15 16],[18.83544304 29.16455696] ; [12.16455696 18.83544304],0
s7,1,0.186525,1.74485,[ 6 42] ; [ 7 22],[ 8.1038961 39.8961039] ; [ 4.8961039 24.1038961],0
v3,1,0.197041,1.66417,[ 6 43] ; [ 7 23],[ 8.06329114 40.93670886] ; [ 4.93670886 25.06329114],0
p6,1,0.19838,1.65426,[ 7 42] ; [ 8 23],[ 9.1875 39.8125] ; [ 5.8125 25.1875],0
r3,1,0.232542,1.425243,[41 10] ; [28  3],[42.91463415  8.08536585] ; [26.08536585  4.91463415],0
p7,1,0.272685,1.203189,[20 31] ; [16 15],[22.3902439 28.6097561] ; [13.6097561 17.3902439],0
s5,1,0.287495,1.131313,[ 7 43] ; [ 7 23],[ 8.75 41.25] ; [ 5.25 24.75],0
p11,1,0.304155,1.055889,[24 27] ; [11 20],[21.76829268 29.23170732] ; [13.23170732 17.76829268],0
p9,1,0.309299,1.033668,[18 31] ; [ 8 23],[15.925 33.075] ; [10.075 20.925],0
n1,1,0.319837,0.989611,[ 4 20] ; [4 9],[ 5.18918919 18.81081081] ; [ 2.81081081 10.18918919],0
