Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9e-06,19.626266,[22 28] ; [106  30],[34.40860215 15.59139785] ; [93.59139785 42.40860215],1
d5,1,0.000222,13.639163,[26 24] ; [108  28],[36.02150538 13.97849462] ; [97.97849462 38.02150538],1
a6,1,0.000232,13.553873,[21 29] ; [97 39],[31.72043011 18.27956989] ; [86.27956989 49.72043011],1
d4,1,0.001457,10.132578,[31 19] ; [114  22],[38.97849462 11.02150538] ; [106.02150538  29.97849462],0
p10,1,0.001963,9.584266,[19 31] ; [85 49],[28.26086957 21.73913043] ; [75.73913043 58.26086957],0
p9,1,0.003843,8.356568,[23 27] ; [92 41],[31.42076503 18.57923497] ; [83.57923497 49.42076503],0
d1,1,0.003874,8.341812,[16 34] ; [76 60],[24.7311828 25.2688172] ; [67.2688172 68.7311828],0
r3,1,0.007544,7.138661,[40 10] ; [127   9],[44.89247312  5.10752688] ; [122.10752688  13.89247312],0
p2,1,0.011245,6.426182,[30 20] ; [106  29],[36.75675676 13.24324324] ; [99.24324324 35.75675676],0
a2,1,0.022089,5.238744,[ 2 48] ; [ 23 113],[ 6.72043011 43.27956989] ; [ 18.27956989 117.72043011],0
r2,1,0.023696,5.116733,[38 11] ; [121  13],[42.57377049  6.42622951] ; [116.42622951  17.57377049],0
b5,1,0.02405,5.091006,[24 26] ; [90 46],[30.64516129 19.35483871] ; [83.35483871 52.64516129],0
v4,1,0.031715,4.613824,[39 10] ; [124  12],[43.17297297  5.82702703] ; [119.82702703  16.17297297],0
u3,1,0.031846,4.606749,[ 8 13] ; [31 16],[12.04411765  8.95588235] ; [26.95588235 20.04411765],0
r4,1,0.047004,3.945247,[34 16] ; [111  25],[38.97849462 11.02150538] ; [106.02150538  29.97849462],0
p6,1,0.055106,3.678874,[ 5 43] ; [ 31 102],[ 9.54696133 38.45303867] ; [ 26.45303867 106.54696133],0
n6,1,0.075076,3.168405,[24 26] ; [85 51],[29.30107527 20.69892473] ; [79.69892473 56.30107527],0
s6,1,0.145298,2.120932,[17 33] ; [62 73],[21.35135135 28.64864865] ; [57.64864865 77.35135135],0
b1,1,0.195589,1.675005,[24 26] ; [51 85],[20.16129032 29.83870968] ; [54.83870968 81.16129032],0
v2,1,0.224242,1.477017,[19 28] ; [65 63],[22.56 24.44] ; [61.44 66.56],0
a4,1,0.242217,1.367647,[20 30] ; [42 94],[16.66666667 33.33333333] ; [45.33333333 90.66666667],0
n4,1,0.243051,1.362809,[25 25] ; [55 81],[21.50537634 28.49462366] ; [58.49462366 77.50537634],0
r1,1,0.2655,1.239848,[33 17] ; [101  35],[36.02150538 13.97849462] ; [97.97849462 38.02150538],0
n1,1,0.270685,1.21327,[ 5 12] ; [ 7 35],[ 3.45762712 13.54237288] ; [ 8.54237288 33.45762712],0
a5,1,0.293701,1.10258,[27 23] ; [85 51],[30.10752688 19.89247312] ; [81.89247312 54.10752688],0
b3,1,0.300035,1.074041,[10 21] ; [16 55],[ 7.90196078 23.09803922] ; [18.09803922 52.90196078],0
b2,1,0.300035,1.074041,[10 21] ; [16 55],[ 7.90196078 23.09803922] ; [18.09803922 52.90196078],0
s1,1,0.331136,0.944451,[ 3 47] ; [  4 132],[ 1.88172043 48.11827957] ; [  5.11827957 130.88172043],0
b4,1,0.338532,0.915983,[27 23] ; [84 52],[29.83870968 20.16129032] ; [81.16129032 54.83870968],0
p8,1,0.376549,0.781938,[17 32] ; [57 79],[19.6 29.4] ; [54.4 81.6],0
