Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.018468,5.551199,[13 13] ; [24 69],[ 8.08403361 17.91596639] ; [28.91596639 64.08403361],0
n4,1,0.036355,4.380356,[20  6] ; [52 44],[15.3442623 10.6557377] ; [56.6557377 39.3442623],0
n2,1,0.054196,3.706662,[6 1] ; [20 23],[3.64 3.36] ; [22.36 20.64],0
r4,1,0.082748,3.010092,[20  6] ; [56 40],[16.19672131  9.80327869] ; [59.80327869 36.19672131],0
s8,1,0.10857,2.574917,[ 8 18] ; [16 80],[ 5.1147541 20.8852459] ; [18.8852459 77.1147541],0
p10,1,0.108677,2.573351,[10 15] ; [23 73],[ 6.81818182 18.18181818] ; [26.18181818 69.81818182],0
a4,1,0.13119,2.27837,[ 5 21] ; [33 62],[ 8.16528926 17.83471074] ; [29.83471074 65.16528926],0
r2,1,0.133431,2.252124,[23  2] ; [75 20],[20.41666667  4.58333333] ; [77.58333333 17.41666667],0
p5,1,0.157983,1.993429,[ 2 24] ; [ 2 93],[ 0.85950413 25.14049587] ; [ 3.14049587 91.85950413],0
u3,1,0.165857,1.92,[7 3] ; [23 27],[5. 5.] ; [25. 25.],0
d3,1,0.184672,1.759615,[16 10] ; [45 51],[13. 13.] ; [48. 48.],0
d4,1,0.187415,1.737819,[20  5] ; [63 32],[17.29166667  7.70833333] ; [65.70833333 29.29166667],0
b4,1,0.200972,1.635295,[19  7] ; [57 39],[16.19672131  9.80327869] ; [59.80327869 36.19672131],0
s6,1,0.209905,1.572084,[13 13] ; [35 61],[10.2295082 15.7704918] ; [37.7704918 58.2295082],0
r3,1,0.216078,1.530227,[21  4] ; [69 27],[18.59504132  6.40495868] ; [71.40495868 24.59504132],0
a3,1,0.235749,1.405836,[16 10] ; [46 49],[13.32231405 12.67768595] ; [48.67768595 46.32231405],0
a6,1,0.264242,1.246394,[17  9] ; [51 45],[14.49180328 11.50819672] ; [53.50819672 42.49180328],0
v4,1,0.289913,1.120023,[22  4] ; [71 24],[19.98347107  6.01652893] ; [73.01652893 21.98347107],0
p11,1,0.29599,1.092175,[10 16] ; [48 48],[12.36065574 13.63934426] ; [45.63934426 50.36065574],0
a8,1,0.305406,1.05044,[ 3 20] ; [ 6 85],[ 1.81578947 21.18421053] ; [ 7.18421053 83.81578947],0
r1,1,0.316627,1.002831,[19  7] ; [60 36],[16.83606557  9.16393443] ; [62.16393443 33.83606557],0
p6,1,0.321588,0.982479,[ 3 23] ; [19 76],[ 4.72727273 21.27272727] ; [17.27272727 77.72727273],0
n6,1,0.444564,0.584474,[18  8] ; [58 37],[16.33057851  9.66942149] ; [59.66942149 35.33057851],0
b1,1,0.446998,0.578252,[13 13] ; [56 40],[14.70491803 11.29508197] ; [54.29508197 41.70491803],0
s7,1,0.459851,0.546258,[ 7 17] ; [20 71],[ 5.63478261 18.36521739] ; [21.36521739 69.63478261],0
s5,1,0.481635,0.495158,[ 3 22] ; [17 78],[ 4.16666667 20.83333333] ; [15.83333333 79.16666667],0
a2,1,0.495062,0.465507,[ 2 24] ; [12 84],[ 2.98360656 23.01639344] ; [11.01639344 84.98360656],0
n1,1,0.503996,0.446512,[1 4] ; [15 28],[1.66666667 3.33333333] ; [14.33333333 28.66666667],0
