Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,6.2e-05,16.030323,[30 27] ; [ 79 224],[17.25833333 39.74166667] ; [ 91.74166667 211.25833333],1
n4,1,0.001424,10.174717,[34 28] ; [235  79],[44.35638298 17.64361702] ; [224.64361702  89.35638298],0
s2,1,0.002591,9.075337,[41 21] ; [141 171],[30.17112299 31.82887701] ; [151.82887701 160.17112299],0
s6,1,0.01011,6.615412,[46 15] ; [181 132],[37.02406417 23.97593583] ; [189.97593583 123.02406417],0
s3,1,0.010618,6.528209,[42 20] ; [155 155],[32.83333333 29.16666667] ; [164.16666667 145.83333333],0
n5,1,0.011414,6.399647,[31 31] ; [208 103],[39.72654155 22.27345845] ; [199.27345845 111.72654155],0
p11,1,0.024467,5.06122,[34 28] ; [219  96],[41.60742706 20.39257294] ; [211.39257294 103.60742706],0
p2,1,0.035181,4.436359,[36 26] ; [224  89],[42.98666667 19.01333333] ; [217.01333333  95.98666667],0
a8,1,0.040179,4.210306,[ 2 56] ; [ 37 253],[ 6.5 51.5] ; [ 32.5 257.5],0
d3,1,0.042504,4.115019,[52 10] ; [225  90],[45.55437666 16.44562334] ; [231.44562334  83.55437666],0
a3,1,0.068929,3.308342,[51 11] ; [223  91],[45.18085106 16.81914894] ; [228.81914894  85.18085106],0
p9,1,0.100985,2.689917,[51  9] ; [234  77],[46.0916442 13.9083558] ; [238.9083558  72.0916442],0
r2,1,0.109539,2.560862,[58  2] ; [280  30],[54.81081081  5.18918919] ; [283.18918919  26.81081081],0
u3,1,0.114886,2.485686,[9 2] ; [52 39],[6.57843137 4.42156863] ; [54.42156863 36.57843137],0
s7,1,0.156529,2.007441,[31 28] ; [128 173],[26.05833333 32.94166667] ; [132.94166667 168.05833333],0
b2,1,0.165369,1.924428,[10 24] ; [ 82 113],[13.65938865 20.34061135] ; [ 78.34061135 116.65938865],0
b3,1,0.165369,1.924428,[10 24] ; [ 82 113],[13.65938865 20.34061135] ; [ 78.34061135 116.65938865],0
v1,1,0.166764,1.911796,[23 39] ; [141 161],[27.93406593 34.06593407] ; [136.06593407 165.93406593],0
p12,1,0.18226,1.7791,[ 1 60] ; [ 18 296],[ 3.09066667 57.90933333] ; [ 15.90933333 298.09066667],0
a5,1,0.247736,1.336028,[48 14] ; [221  94],[44.23872679 17.76127321] ; [224.76127321  90.23872679],0
v3,1,0.274959,1.191837,[17 44] ; [104 192],[20.67507003 40.32492997] ; [100.32492997 195.67507003],0
v4,1,0.293023,1.10568,[58  4] ; [279  34],[55.71733333  6.28266667] ; [281.28266667  31.71733333],0
s8,1,0.301206,1.068845,[26 36] ; [110 204],[22.42553191 39.57446809] ; [113.57446809 200.42553191],0
r4,1,0.398973,0.71142,[53  9] ; [255  60],[50.65251989 11.34748011] ; [257.34748011  57.65251989],0
a6,1,0.407408,0.686351,[40 22] ; [220  95],[42.75862069 19.24137931] ; [217.24137931  97.75862069],0
b1,1,0.453843,0.561036,[23 39] ; [133 182],[25.65517241 36.34482759] ; [130.34482759 184.65517241],0
u1,1,0.456205,0.555189,[15 47] ; [ 63 252],[12.82758621 49.17241379] ; [ 65.17241379 249.82758621],0
r3,1,0.525751,0.402596,[56  6] ; [291  23],[57.21808511  4.78191489] ; [289.78191489  24.21808511],0
r1,1,0.554173,0.349895,[45 17] ; [239  75],[46.82978723 15.17021277] ; [237.17021277  76.82978723],0
p3,1,0.556366,0.346035,[23 39] ; [104 209],[20.99733333 41.00266667] ; [106.00266667 206.99733333],0
p6,1,0.572515,0.318493,[15 47] ; [ 65 245],[13.33333333 48.66666667] ; [ 66.66666667 243.33333333],0
p5,1,0.575697,0.313243,[ 2 60] ; [ 15 294],[ 2.84097035 59.15902965] ; [ 14.15902965 294.84097035],0
b5,1,0.586093,0.296488,[42 20] ; [202 113],[40.12732095 21.87267905] ; [203.87267905 111.12732095],0
a2,1,0.613476,0.255144,[15 47] ; [ 86 229],[16.61007958 45.38992042] ; [ 84.38992042 230.61007958],0
d5,1,0.619889,0.246024,[51 11] ; [267  48],[52.29708223  9.70291777] ; [265.70291777  49.29708223],0
