Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,50.802222,[20 35] ; [260  59],[41.17647059 13.82352941] ; [238.82352941  80.17647059],1
s2,1,0.0,38.501352,[22 33] ; [256  65],[40.66489362 14.33510638] ; [237.33510638  83.66489362],1
s5,1,0.0,27.359069,[ 7 45] ; [163 147],[24.4198895 27.5801105] ; [145.5801105 164.4198895],1
r4,1,7.1e-05,15.771578,[43 12] ; [303  19],[50.47745358  4.52254642] ; [295.52254642  26.47745358],1
s8,1,0.001281,10.37019,[30 25] ; [241  78],[39.85294118 15.14705882] ; [231.14705882  87.85294118],0
r3,1,0.002317,9.279426,[49  6] ; [313   8],[52.95212766  2.04787234] ; [309.04787234  11.95212766],0
a5,1,0.0159,5.813906,[38 17] ; [267  55],[44.49602122 10.50397878] ; [260.50397878  61.49602122],0
r2,1,0.022106,5.237452,[49  5] ; [308   9],[51.96226415  2.03773585] ; [305.03773585  11.96226415],0
d5,1,0.030282,4.693201,[40 15] ; [270  49],[45.58823529  9.41176471] ; [264.41176471  54.58823529],0
r1,1,0.031203,4.641747,[41 14] ; [276  45],[46.36968085  8.63031915] ; [270.63031915  50.36968085],0
b1,1,0.085215,2.962519,[15 40] ; [127 195],[20.71618037 34.28381963] ; [121.28381963 200.71618037],0
v1,1,0.101065,2.68866,[26 27] ; [191 122],[31.42349727 21.57650273] ; [185.57650273 127.42349727],0
a2,1,0.105206,2.624801,[11 44] ; [ 99 223],[16.04774536 38.95225464] ; [ 93.95225464 228.04774536],0
p12,1,0.155154,2.020838,[ 3 51] ; [ 39 282],[ 6.048 47.952] ; [ 35.952 285.048],0
v4,1,0.164756,1.930018,[52  3] ; [313   7],[53.53333333  1.46666667] ; [311.46666667   8.53333333],0
d2,1,0.171468,1.870058,[26 29] ; [183 137],[30.65333333 24.34666667] ; [178.34666667 141.65333333],0
d1,1,0.174863,1.840753,[31 24] ; [212 110],[35.45092838 19.54907162] ; [207.54907162 114.45092838],0
n6,1,0.176947,1.823083,[45  9] ; [285  33],[47.90322581  6.09677419] ; [282.09677419  35.90322581],0
s4,1,0.1868,1.742677,[ 8 47] ; [ 72 249],[11.70212766 43.29787234] ; [ 68.29787234 252.70212766],0
b3,1,0.20013,1.641424,[21 18] ; [ 95 127],[17.33333333 21.66666667] ; [ 98.66666667 123.33333333],0
b2,1,0.20013,1.641424,[21 18] ; [ 95 127],[17.33333333 21.66666667] ; [ 98.66666667 123.33333333],0
n5,1,0.207092,1.591641,[42 13] ; [266  53],[45.29411765  9.70588235] ; [262.70588235  56.29411765],0
b5,1,0.208946,1.578712,[28 27] ; [193 129],[32.24137931 22.75862069] ; [188.75862069 133.24137931],0
