Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,23.046532,[ 3 14] ; [53 14],[11.33333333  5.66666667] ; [44.66666667 22.33333333],1
s5,1,0.009656,6.697285,[ 2 15] ; [30 35],[ 6.63414634 10.36585366] ; [25.36585366 39.63414634],0
b4,1,0.011413,6.399845,[ 6 11] ; [46 21],[10.52380952  6.47619048] ; [41.47619048 25.52380952],0
d5,1,0.011733,6.350702,[9 8] ; [55 12],[12.95238095  4.04761905] ; [51.04761905 15.95238095],0
v1,1,0.055729,3.660131,[ 5 12] ; [35 28],[8.5 8.5] ; [31.5 31.5],0
b3,1,0.102023,2.673634,[1 9] ; [13 22],[3.11111111 6.88888889] ; [10.88888889 24.11111111],0
b2,1,0.102023,2.673634,[1 9] ; [13 22],[3.11111111 6.88888889] ; [10.88888889 24.11111111],0
b1,1,0.108139,2.581212,[10  7] ; [25 42],[7.08333333 9.91666667] ; [27.91666667 39.08333333],0
n5,1,0.12563,2.345687,[8 8] ; [20 47],[ 5.39759036 10.60240964] ; [22.60240964 44.39759036],0
s3,1,0.126503,2.334902,[ 6 11] ; [37 29],[8.80722892 8.19277108] ; [34.19277108 31.80722892],0
a4,1,0.151874,2.053325,[ 3 14] ; [24 43],[ 5.46428571 11.53571429] ; [21.53571429 45.46428571],0
p8,1,0.196761,1.666252,[8 9] ; [43 24],[10.32142857  6.67857143] ; [40.67857143 26.32142857],0
s6,1,0.197691,1.65935,[10  7] ; [50 17],[12.14285714  4.85714286] ; [47.85714286 19.14285714],0
d2,1,0.200667,1.637513,[ 4 13] ; [27 40],[ 6.27380952 10.72619048] ; [24.72619048 42.27380952],0
a2,1,0.220723,1.499668,[ 1 16] ; [12 55],[ 2.63095238 14.36904762] ; [10.36904762 56.63095238],0
r4,1,0.220723,1.499668,[16  1] ; [55 12],[14.36904762  2.63095238] ; [56.63095238 10.36904762],0
p7,1,0.226034,1.465645,[11  6] ; [52 14],[12.90361446  4.09638554] ; [50.09638554 15.90361446],0
a5,1,0.249085,1.32843,[10  7] ; [49 18],[11.94047619  5.05952381] ; [47.05952381 19.94047619],0
s2,1,0.254582,1.297981,[ 6 11] ; [34 33],[8.0952381 8.9047619] ; [31.9047619 35.0952381],0
v2,1,0.262018,1.258065,[ 6 10] ; [33 29],[8. 8.] ; [31. 31.],0
p9,1,0.317922,0.997476,[15  2] ; [51 15],[13.51807229  3.48192771] ; [52.48192771 13.51807229],0
v3,1,0.329548,0.950675,[ 3 14] ; [18 43],[ 4.57692308 12.42307692] ; [16.42307692 44.57692308],0
u3,1,0.359756,0.838745,[4 3] ; [18  6],[4.96774194 2.03225806] ; [17.03225806  6.96774194],0
a7,1,0.369677,0.80475,[14  3] ; [48 19],[12.54761905  4.45238095] ; [49.45238095 17.54761905],0
r1,1,0.393466,0.728204,[10  7] ; [46 20],[11.46987952  5.53012048] ; [44.53012048 21.46987952],0
s4,1,0.433071,0.614574,[ 3 14] ; [18 49],[ 4.25 12.75] ; [16.75 50.25],0
p2,1,0.51199,0.429998,[13  4] ; [55 11],[13.92771084  3.07228916] ; [54.07228916 11.92771084],0
r2,1,0.566533,0.328518,[15  2] ; [62  5],[15.58333333  1.41666667] ; [61.41666667  5.58333333],0
v4,1,0.566533,0.328518,[15  2] ; [62  5],[15.58333333  1.41666667] ; [61.41666667  5.58333333],0
p5,1,0.566846,0.327989,[ 1 16] ; [ 7 60],[ 1.61904762 15.38095238] ; [ 6.38095238 60.61904762],0
a8,1,0.631619,0.229871,[ 1 16] ; [ 2 58],[ 0.66233766 16.33766234] ; [ 2.33766234 57.66233766],0
s7,1,0.662405,0.190616,[ 6 10] ; [27 35],[6.76923077 9.23076923] ; [26.23076923 35.76923077],0
p11,1,0.664594,0.187991,[11  6] ; [47 20],[11.73809524  5.26190476] ; [46.26190476 20.73809524],0
a3,1,0.682771,0.167024,[10  7] ; [43 24],[10.72619048  6.27380952] ; [42.27380952 24.72619048],0
p4,1,0.69007,0.15901,[13  4] ; [48 19],[12.3452381  4.6547619] ; [48.6547619 18.3452381],0
u2,1,0.697893,0.150673,[4 3] ; [15  8],[4.43333333 2.56666667] ; [14.56666667  8.43333333],0
a6,1,0.790013,0.070912,[11  6] ; [41 26],[10.52380952  6.47619048] ; [41.47619048 25.52380952],0
p12,1,0.821234,0.051057,[ 1 16] ; [ 5 62],[ 1.21428571 15.78571429] ; [ 4.78571429 62.21428571],0
p1,1,0.822605,0.050264,[ 2 15] ; [ 9 56],[ 2.2804878 14.7195122] ; [ 8.7195122 56.2804878],0
b5,1,0.875411,0.024583,[10  7] ; [38 29],[9.71428571 7.28571429] ; [38.28571429 28.71428571],0
s8,1,0.875411,0.024583,[ 7 10] ; [29 38],[7.28571429 9.71428571] ; [28.71428571 38.28571429],0
n6,1,0.878811,0.023249,[11  6] ; [44 22],[11.26506024  5.73493976] ; [43.73493976 22.26506024],0
n2,1,0.950458,0.00386,[3 1] ; [13  4],[3.04761905 0.95238095] ; [12.95238095  4.04761905],0
p10,1,0.959648,0.00256,[12  5] ; [47 19],[12.08433735  4.91566265] ; [46.91566265 19.08433735],0
p6,1,0.960773,0.002419,[ 6 11] ; [23 41],[ 6.08641975 10.91358025] ; [22.91358025 41.08641975],0
a1,1,0.989098,0.000187,[ 1 16] ; [ 4 63],[ 1.01190476 15.98809524] ; [ 3.98809524 63.01190476],0
