Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9.5e-05,15.228331,[8 3] ; [ 9 46],[2.83333333 8.16666667] ; [14.16666667 40.83333333],1
s7,1,0.000265,13.300566,[7 3] ; [ 8 43],[2.45901639 7.54098361] ; [12.54098361 38.45901639],1
s8,1,0.000614,11.733333,[6 5] ; [ 6 49],[2. 9.] ; [10. 45.],1
p4,1,0.00094,10.942761,[8 3] ; [12 42],[3.38461538 7.61538462] ; [16.61538462 37.38461538],1
p2,1,0.001381,10.231521,[10  1] ; [21 34],[5.16666667 5.83333333] ; [25.83333333 29.16666667],0
v2,1,0.001928,9.616831,[6 5] ; [ 7 46],[2.234375 8.765625] ; [10.765625 42.234375],0
p7,1,0.004001,8.283367,[7 3] ; [13 41],[3.125 6.875] ; [16.875 37.125],0
p8,1,0.005169,7.819485,[7 4] ; [12 43],[3.16666667 7.83333333] ; [15.83333333 39.16666667],0
s4,1,0.005806,7.609412,[6 5] ; [ 9 46],[2.5 8.5] ; [12.5 42.5],0
r4,1,0.018621,5.53672,[5 6] ; [ 8 47],[2.16666667 8.83333333] ; [10.83333333 44.16666667],0
n6,1,0.027599,4.852941,[9 2] ; [25 30],[5.66666667 5.33333333] ; [28.33333333 26.66666667],0
p10,1,0.029346,4.747215,[8 3] ; [20 34],[4.73846154 6.26153846] ; [23.26153846 30.73846154],0
n3,1,0.039393,4.243827,[5 1] ; [10 17],[2.72727273 3.27272727] ; [12.27272727 14.72727273],0
p9,1,0.050552,3.82306,[8 3] ; [21 31],[5.06349206 5.93650794] ; [23.93650794 28.06349206],0
s3,1,0.052405,3.762804,[6 5] ; [13 39],[3.31746032 7.68253968] ; [15.68253968 36.31746032],0
s5,1,0.056336,3.642081,[4 6] ; [ 8 47],[1.84615385 8.15384615] ; [10.15384615 44.84615385],0
d3,1,0.060781,3.515945,[8 3] ; [23 32],[5.16666667 5.83333333] ; [25.83333333 29.16666667],0
n5,1,0.07626,3.142857,[10  1] ; [35 20],[7.5 3.5] ; [37.5 17.5],0
p11,1,0.07626,3.142857,[6 5] ; [15 40],[3.5 7.5] ; [17.5 37.5],0
d1,1,0.07626,3.142857,[6 5] ; [15 40],[3.5 7.5] ; [17.5 37.5],0
n2,1,0.100271,2.701224,[5 1] ; [13 15],[3.17647059 2.82352941] ; [14.82352941 13.17647059],0
a7,1,0.118913,2.431579,[7 4] ; [21 34],[4.66666667 6.33333333] ; [23.33333333 31.66666667],0
a5,1,0.12306,2.377941,[8 3] ; [26 29],[5.66666667 5.33333333] ; [28.33333333 26.66666667],0
u2,1,0.130816,2.282794,[3 1] ; [ 8 15],[1.62962963 2.37037037] ; [ 9.37037037 13.62962963],0
n4,1,0.169686,1.885714,[9 2] ; [33 22],[7. 4.] ; [35. 20.],0
d5,1,0.184625,1.76,[8 3] ; [28 27],[6. 5.] ; [30. 25.],0
u1,1,0.198959,1.65,[ 1 10] ; [ 1 54],[ 0.33333333 10.66666667] ; [ 1.66666667 53.33333333],0
n1,1,0.220273,1.50259,[4 2] ; [11 17],[2.64705882 3.35294118] ; [12.35294118 15.64705882],0
s6,1,0.230985,1.434783,[5 6] ; [15 40],[3.33333333 7.66666667] ; [16.66666667 38.33333333],0
b5,1,0.270692,1.213235,[7 4] ; [25 30],[5.33333333 5.66666667] ; [26.66666667 28.33333333],0
a4,1,0.326445,0.96295,[5 6] ; [16 37],[3.609375 7.390625] ; [17.390625 35.609375],0
r2,1,0.384305,0.756885,[8 2] ; [35 18],[6.82539683 3.17460317] ; [36.17460317 16.82539683],0
b4,1,0.437513,0.602796,[5 6] ; [32 23],[6.16666667 4.83333333] ; [30.83333333 24.16666667],0
u3,1,0.443598,0.586957,[2 2] ; [ 7 16],[1.33333333 2.66666667] ; [ 7.66666667 15.33333333],0
p3,1,0.458318,0.55,[4 7] ; [14 41],[3. 8.] ; [15. 40.],0
d2,1,0.600948,0.273569,[5 6] ; [20 34],[4.23076923 6.76923077] ; [20.76923077 33.23076923],0
v3,1,0.611753,0.25763,[3 8] ; [11 43],[2.36923077 8.63076923] ; [11.63076923 42.36923077],0
b2,1,0.648077,0.208333,[3 6] ; [15 21],[3.6 5.4] ; [14.4 21.6],0
b3,1,0.648077,0.208333,[3 6] ; [15 21],[3.6 5.4] ; [14.4 21.6],0
d4,1,0.655937,0.198496,[7 4] ; [31 24],[6.33333333 4.66666667] ; [31.66666667 23.33333333],0
p1,1,0.735866,0.113793,[ 1 10] ; [ 7 48],[1.33333333 9.66666667] ; [ 6.66666667 48.33333333],0
s1,1,0.835201,0.043279,[ 1 10] ; [ 4 51],[ 0.83333333 10.16666667] ; [ 4.16666667 50.83333333],0
a3,1,0.840223,0.040646,[7 4] ; [32 21],[6.703125 4.296875] ; [32.296875 20.703125],0
v1,1,0.903232,0.014782,[3 8] ; [16 39],[3.16666667 7.83333333] ; [15.83333333 39.16666667],0
r1,1,0.909649,0.012878,[4 7] ; [21 34],[4.16666667 6.83333333] ; [20.83333333 34.16666667],0
b1,1,0.911684,0.012302,[6 5] ; [31 24],[6.16666667 4.83333333] ; [30.83333333 24.16666667],0
a6,1,0.912172,0.012166,[5 6] ; [26 29],[5.16666667 5.83333333] ; [25.83333333 29.16666667],0
a2,1,1.0,0.0,[ 1 10] ; [ 5 50],[ 1. 10.] ; [ 5. 50.],0
