Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.1e-05,17.378653,[ 9 80] ; [13 16],[16.59322034 72.40677966] ; [ 5.40677966 23.59322034],1
p10,1,8.4e-05,15.465546,[10 78] ; [13 16],[17.2991453 70.7008547] ; [ 5.7008547 23.2991453],1
s2,1,0.001287,10.360653,[16 72] ; [14 15],[22.56410256 65.43589744] ; [ 7.43589744 21.56410256],0
s3,1,0.001714,9.832995,[26 62] ; [18 11],[33.09401709 54.90598291] ; [10.90598291 18.09401709],0
s6,1,0.002248,9.33526,[27 62] ; [18 11],[33.94067797 55.05932203] ; [11.05932203 17.94067797],0
s5,1,0.020542,5.365195,[13 75] ; [10 19],[17.2991453 70.7008547] ; [ 5.7008547 23.2991453],0
v3,1,0.023977,5.096264,[20 67] ; [13 16],[24.75 62.25] ; [ 8.25 20.75],0
p11,1,0.06258,3.467667,[38 52] ; [18 11],[42.35294118 47.64705882] ; [13.64705882 15.35294118],0
v2,1,0.06508,3.402955,[28 58] ; [15 14],[32.15652174 53.84347826] ; [10.84347826 18.15652174],0
r3,1,0.14008,2.177078,[64 24] ; [25  4],[66.94017094 21.05982906] ; [22.05982906  6.94017094],0
v1,1,0.141559,2.160933,[27 63] ; [13 16],[30.25210084 59.74789916] ; [ 9.74789916 19.25210084],0
s1,1,0.160717,1.967463,[ 5 82] ; [ 4 25],[ 6.75 80.25] ; [ 2.25 26.75],0
r4,1,0.178884,1.806875,[56 34] ; [22  7],[58.99159664 31.00840336] ; [19.00840336  9.99159664],0
a3,1,0.186789,1.742761,[49 40] ; [20  9],[52.04237288 36.95762712] ; [16.95762712 12.04237288],0
n1,1,0.208912,1.578947,[11 27] ; [5 5],[12.66666667 25.33333333] ; [3.33333333 6.66666667],0
u3,1,0.215781,1.532208,[18 23] ; [6 3],[19.68 21.32] ; [4.32 4.68],0
p6,1,0.225806,1.467085,[ 8 80] ; [ 5 24],[ 9.77777778 78.22222222] ; [ 3.22222222 25.77777778],0
r2,1,0.265607,1.239294,[71 17] ; [26  3],[72.95726496 15.04273504] ; [24.04273504  4.95726496],0
p1,1,0.268748,1.223129,[ 9 81] ; [ 1 28],[ 7.56302521 82.43697479] ; [ 2.43697479 26.56302521],0
u2,1,0.277025,1.181628,[14 25] ; [5 4],[15.4375 23.5625] ; [3.5625 5.4375],0
n6,1,0.29975,1.075306,[55 34] ; [21  8],[57.3220339 31.6779661] ; [18.6779661 10.3220339],0
d5,1,0.300523,1.071871,[59 31] ; [22  7],[61.2605042 28.7394958] ; [19.7394958  9.2605042],0
u1,1,0.387044,0.748207,[10 80] ; [ 5 24],[11.34453782 78.65546218] ; [ 3.65546218 25.34453782],0
r1,1,0.390938,0.736022,[60 29] ; [22  7],[61.84745763 27.15254237] ; [20.15254237  8.84745763],0
n4,1,0.408326,0.683671,[57 32] ; [21  8],[58.83050847 30.16949153] ; [19.16949153  9.83050847],0
b5,1,0.418993,0.653138,[45 45] ; [17 12],[46.8907563 43.1092437] ; [15.1092437 13.8907563],0
a7,1,0.486751,0.4837,[52 36] ; [15 14],[50.39316239 37.60683761] ; [16.60683761 12.39316239],0
a8,1,0.511088,0.431839,[ 6 78] ; [ 3 24],[ 6.81081081 77.18918919] ; [ 2.18918919 24.81081081],0
d4,1,0.540057,0.375435,[59 30] ; [21  8],[60.33898305 28.66101695] ; [19.66101695  9.33898305],0
a4,1,0.555318,0.347875,[34 54] ; [13 16],[35.35042735 52.64957265] ; [11.64957265 17.35042735],0
d3,1,0.562736,0.334988,[41 49] ; [15 14],[42.35294118 47.64705882] ; [13.64705882 15.35294118],0
p7,1,0.592502,0.286454,[26 63] ; [10 19],[27.15254237 61.84745763] ; [ 8.84745763 20.15254237],0
a2,1,0.621151,0.244253,[15 75] ; [ 6 23],[15.88235294 74.11764706] ; [ 5.11764706 23.88235294],0
a5,1,0.703398,0.144961,[46 44] ; [16 13],[46.8907563 43.1092437] ; [15.1092437 13.8907563],0
b1,1,0.703398,0.144961,[46 44] ; [16 13],[46.8907563 43.1092437] ; [15.1092437 13.8907563],0
b2,1,0.712155,0.136134,[20 36] ; [10 15],[20.74074074 35.25925926] ; [ 9.25925926 15.74074074],0
b3,1,0.712155,0.136134,[20 36] ; [10 15],[20.74074074 35.25925926] ; [ 9.25925926 15.74074074],0
p5,1,0.714156,0.134161,[ 2 88] ; [ 1 28],[ 2.26890756 87.73109244] ; [ 0.73109244 28.26890756],0
n5,1,0.758063,0.09488,[52 37] ; [16 13],[51.28813559 37.71186441] ; [16.71186441 12.28813559],0
n2,1,0.780439,0.0777,[23 16] ; [7 4],[23.4 15.6] ; [6.6 4.4],0
p2,1,0.798315,0.065295,[41 49] ; [14 15],[41.59663866 48.40336134] ; [13.40336134 15.59663866],0
d1,1,0.811424,0.056925,[35 55] ; [12 17],[35.54621849 54.45378151] ; [11.45378151 17.54621849],0
v4,1,0.812377,0.05634,[68 21] ; [22  6],[68.46153846 20.53846154] ; [21.53846154  6.46153846],0
p4,1,0.86655,0.028238,[26 63] ; [ 8 21],[25.6440678 63.3559322] ; [ 8.3559322 20.6440678],0
d2,1,0.874718,0.024859,[41 47] ; [14 15],[41.36752137 46.63247863] ; [13.63247863 15.36752137],0
a1,1,0.875965,0.024363,[ 7 83] ; [ 2 27],[ 6.80672269 83.19327731] ; [ 2.19327731 26.80672269],0
b4,1,0.926603,0.008486,[55 35] ; [18 11],[55.21008403 34.78991597] ; [17.78991597 11.21008403],0
n3,1,0.929018,0.007935,[24 15] ; [6 4],[23.87755102 15.12244898] ; [6.12244898 3.87755102],0
p3,1,0.952449,0.003556,[21 68] ; [ 7 22],[21.11864407 67.88135593] ; [ 6.88135593 22.11864407],0
a6,1,0.9712,0.001303,[50 40] ; [16 13],[49.91596639 40.08403361] ; [16.08403361 12.91596639],0
s4,1,0.983334,0.000436,[13 77] ; [ 4 24],[12.96610169 77.03389831] ; [ 4.03389831 23.96610169],0
