Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6e-06,20.469925,[58 18] ; [ 2 12],[50.66666667 25.33333333] ; [9.33333333 4.66666667],1
p8,1,0.001081,10.682866,[67 10] ; [7 7],[62.61538462 14.38461538] ; [11.38461538  2.61538462],0
p11,1,0.012742,6.204545,[69  8] ; [9 5],[66. 11.] ; [12.  2.],0
v3,1,0.057463,3.609143,[46 27] ; [5 9],[42.79310345 30.20689655] ; [8.20689655 5.79310345],0
d1,1,0.075296,3.163617,[47 30] ; [12  2],[49.92307692 27.07692308] ; [9.07692308 4.92307692],0
r3,1,0.124965,2.353959,[72  3] ; [12  2],[70.78651685  4.21348315] ; [13.21348315  0.78651685],0
s8,1,0.127353,2.32448,[49 27] ; [6 8],[46.44444444 29.55555556] ; [8.55555556 5.44444444],0
v2,1,0.130509,2.286435,[47 26] ; [6 8],[44.47126437 28.52873563] ; [8.52873563 5.47126437],0
d3,1,0.146302,2.11039,[51 26] ; [12  2],[53.30769231 23.69230769] ; [9.69230769 4.30769231],0
s7,1,0.185706,1.751357,[52 20] ; [7 6],[49.97647059 22.02352941] ; [9.02352941 3.97647059],0
d5,1,0.196896,1.665248,[60 17] ; [13  1],[61.76923077 15.23076923] ; [11.23076923  2.76923077],0
a4,1,0.207375,1.589661,[36 41] ; [ 4 10],[33.84615385 43.15384615] ; [6.15384615 7.84615385],0
s1,1,0.207375,1.589661,[ 4 73] ; [ 2 12],[ 5.07692308 71.92307692] ; [ 0.92307692 13.07692308],0
u1,1,0.222445,1.488528,[16 61] ; [5 9],[17.76923077 59.23076923] ; [ 3.23076923 10.76923077],0
n1,1,0.256839,1.285714,[6 8] ; [3 1],[7. 7.] ; [2. 2.],0
n3,1,0.256839,1.285714,[8 6] ; [1 3],[7. 7.] ; [2. 2.],0
n2,1,0.260531,1.265934,[11  3] ; [2 2],[10.11111111  3.88888889] ; [2.88888889 1.11111111],0
n5,1,0.314188,1.012987,[72  5] ; [12  2],[71.07692308  5.92307692] ; [12.92307692  1.07692308],0
a6,1,0.334686,0.930682,[49 28] ; [7 7],[47.38461538 29.61538462] ; [8.61538462 5.38461538],0
p1,1,0.337419,0.920214,[23 54] ; [6 8],[24.53846154 52.46153846] ; [4.46153846 9.53846154],0
a1,1,0.352805,0.863341,[13 64] ; [ 1 13],[11.84615385 65.15384615] ; [ 2.15384615 11.84615385],0
a5,1,0.38857,0.743414,[58 19] ; [9 5],[56.69230769 20.30769231] ; [10.30769231  3.69230769],0
p10,1,0.429955,0.622946,[71  6] ; [12  2],[70.23076923  6.76923077] ; [12.76923077  1.23076923],0
s4,1,0.435785,0.607356,[12 63] ; [ 1 12],[11.07954545 63.92045455] ; [ 1.92045455 11.07954545],0
r2,1,0.44002,0.596231,[70  6] ; [12  2],[69.24444444  6.75555556] ; [12.75555556  1.24444444],0
d2,1,0.445089,0.583126,[41 36] ; [9 5],[42.30769231 34.69230769] ; [7.69230769 6.30769231],0
a2,1,0.509348,0.435407,[17 60] ; [ 2 12],[16.07692308 60.92307692] ; [ 2.92307692 11.07692308],0
p12,1,0.52013,0.413636,[23 54] ; [ 3 11],[22. 55.] ; [ 4. 10.],0
s3,1,0.530557,0.393325,[47 28] ; [10  4],[48.03370787 26.96629213] ; [8.96629213 5.03370787],0
r4,1,0.549224,0.358709,[70  7] ; [12  2],[69.38461538  7.61538462] ; [12.61538462  1.38461538],0
n4,1,0.668095,0.183838,[69  8] ; [12  2],[68.53846154  8.46153846] ; [12.46153846  1.53846154],0
v1,1,0.776085,0.080897,[50 24] ; [10  4],[50.45454545 23.54545455] ; [9.54545455 4.45454545],0
v4,1,0.787225,0.072855,[71  4] ; [13  1],[70.78651685  4.21348315] ; [13.21348315  0.78651685],0
r1,1,0.791634,0.069796,[62 14] ; [11  3],[61.64444444 14.35555556] ; [11.35555556  2.64444444],0
s6,1,0.793428,0.068571,[58 12] ; [12  2],[58.33333333 11.66666667] ; [11.66666667  2.33333333],0
s5,1,0.799109,0.06477,[45 24] ; [8 5],[44.59756098 24.40243902] ; [8.40243902 4.59756098],0
s2,1,0.841516,0.039982,[45 30] ; [8 6],[44.66292135 30.33707865] ; [8.33707865 5.66292135],0
a7,1,0.846414,0.037518,[53 24] ; [10  4],[53.30769231 23.69230769] ; [9.69230769 4.30769231],0
b5,1,0.857406,0.032284,[35 42] ; [6 8],[34.69230769 42.30769231] ; [6.30769231 7.69230769],0
b2,1,0.877872,0.023614,[27 30] ; [5 5],[27.2238806 29.7761194] ; [4.7761194 5.2238806],0
b3,1,0.877872,0.023614,[27 30] ; [5 5],[27.2238806 29.7761194] ; [4.7761194 5.2238806],0
u3,1,0.891305,0.018674,[12  5] ; [2 1],[11.9  5.1] ; [2.1 0.9],0
d4,1,0.901404,0.015348,[65 12] ; [12  2],[65.15384615 11.84615385] ; [11.84615385  2.15384615],0
p3,1,0.901404,0.015348,[65 12] ; [12  2],[65.15384615 11.84615385] ; [11.84615385  2.15384615],0
p2,1,0.923101,0.009318,[70  6] ; [13  1],[70.08888889  5.91111111] ; [12.91111111  1.08888889],0
b4,1,0.928241,0.008111,[43 34] ; [8 6],[43.15384615 33.84615385] ; [7.84615385 6.15384615],0
b1,1,0.928241,0.008111,[34 43] ; [6 8],[33.84615385 43.15384615] ; [6.15384615 7.84615385],0
u2,1,0.94766,0.004309,[11  6] ; [2 1],[11.05  5.95] ; [1.95 1.05],0
a3,1,0.956958,0.002913,[60 17] ; [11  3],[60.07692308 16.92307692] ; [10.92307692  3.07692308],0
