Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,23.433651,[ 17 113] ; [20 21],[ 28.12865497 101.87134503] ; [ 8.87134503 32.12865497],1
p7,1,3e-06,21.874123,[29 98] ; [25 15],[41.06586826 85.93413174] ; [12.93413174 27.06586826],1
p5,1,0.000405,12.511087,[  4 123] ; [ 8 33],[  9.07142857 117.92857143] ; [ 2.92857143 38.07142857],1
p4,1,0.000973,10.878465,[32 97] ; [21 19],[40.4556213 88.5443787] ; [12.5443787 27.4556213],1
p3,1,0.001656,9.896882,[34 97] ; [21 19],[42.13450292 88.86549708] ; [12.86549708 27.13450292],0
b1,1,0.023726,5.114537,[68 63] ; [13 28],[61.69186047 69.30813953] ; [19.30813953 21.69186047],0
d2,1,0.036834,4.358058,[69 59] ; [14 26],[63.23809524 64.76190476] ; [19.76190476 20.23809524],0
p9,1,0.060334,3.528192,[72 55] ; [30 11],[77.10714286 49.89285714] ; [24.89285714 16.10714286],0
v2,1,0.076655,3.134435,[54 69] ; [24 16],[58.85889571 64.14110429] ; [19.14110429 20.85889571],0
a1,1,0.102344,2.668639,[ 14 117] ; [ 1 40],[ 11.4244186 119.5755814] ; [ 3.5755814 37.4244186],0
p10,1,0.104971,2.628346,[69 59] ; [28 13],[73.46745562 54.53254438] ; [23.53254438 17.46745562],0
s5,1,0.120544,2.41024,[30 91] ; [15 25],[33.81987578 87.18012422] ; [11.18012422 28.81987578],0
p12,1,0.136616,2.215663,[  7 123] ; [ 5 36],[  9.12280702 120.87719298] ; [ 2.87719298 38.12280702],0
s4,1,0.151498,2.0571,[ 29 100] ; [ 5 36],[ 25.8 103.2] ; [ 8.2 32.8],0
a4,1,0.157987,1.993389,[62 68] ; [14 26],[58.11764706 71.88235294] ; [17.88235294 22.11764706],0
a3,1,0.188817,1.726828,[87 44] ; [22 18],[83.50292398 47.49707602] ; [25.49707602 14.50292398],0
n3,1,0.216225,1.52925,[34 18] ; [5 6],[32.19047619 19.80952381] ; [6.80952381 4.19047619],0
d5,1,0.23654,1.401099,[94 36] ; [25 15],[91. 39.] ; [28. 12.],0
s3,1,0.271899,1.207143,[63 67] ; [15 24],[60. 70.] ; [18. 21.],0
a7,1,0.275604,1.188642,[77 54] ; [28 13],[79.97093023 51.02906977] ; [25.02906977 15.97093023],0
v1,1,0.313826,1.014504,[48 80] ; [19 22],[50.74556213 77.25443787] ; [16.25443787 24.74556213],0
d4,1,0.322943,0.976991,[98 32] ; [27 13],[95.58823529 34.41176471] ; [29.41176471 10.58823529],0
p11,1,0.340067,0.91018,[72 59] ; [26 15],[74.63953488 56.36046512] ; [23.36046512 17.63953488],0
a5,1,0.341925,0.903199,[82 49] ; [29 12],[84.54069767 46.45930233] ; [26.45930233 14.54069767],0
n2,1,0.354922,0.855782,[38 18] ; [9 2],[39.28358209 16.71641791] ; [7.71641791 3.28358209],0
p1,1,0.366284,0.816234,[ 10 121] ; [ 5 36],[ 11.4244186 119.5755814] ; [ 3.5755814 37.4244186],0
u1,1,0.374124,0.789921,[ 20 111] ; [ 4 37],[ 18.27906977 112.72093023] ; [ 5.72093023 35.27906977],0
s1,1,0.382247,0.763463,[ 10 119] ; [ 5 36],[ 11.38235294 117.61764706] ; [ 3.61764706 37.38235294],0
a2,1,0.396349,0.719374,[ 27 104] ; [ 6 35],[ 25.13372093 105.86627907] ; [ 7.86627907 33.13372093],0
u2,1,0.40856,0.682987,[23 20] ; [ 8 11],[21.5 21.5] ; [9.5 9.5],0
a6,1,0.460421,0.544872,[76 54] ; [26 14],[78. 52.] ; [24. 16.],0
r1,1,0.470648,0.520454,[97 34] ; [28 13],[95.20348837 35.79651163] ; [29.79651163 11.20348837],0
v4,1,0.505,0.444413,[113  18] ; [37  4],[114.24418605  16.75581395] ; [35.75581395  5.24418605],0
b5,1,0.505133,0.444135,[78 53] ; [22 19],[76.1627907 54.8372093] ; [23.8372093 17.1627907],0
b3,1,0.509152,0.43581,[33 51] ; [ 8 17],[31.59633028 52.40366972] ; [ 9.40366972 15.59633028],0
b2,1,0.509152,0.43581,[33 51] ; [ 8 17],[31.59633028 52.40366972] ; [ 9.40366972 15.59633028],0
s6,1,0.523478,0.407035,[70 59] ; [24 16],[71.75147929 57.24852071] ; [22.24852071 17.75147929],0
s2,1,0.562448,0.335483,[55 75] ; [19 21],[56.58823529 73.41176471] ; [17.41176471 22.58823529],0
s7,1,0.596764,0.279904,[50 73] ; [14 25],[48.59259259 74.40740741] ; [15.40740741 23.59259259],0
n5,1,0.607353,0.264048,[85 45] ; [25 16],[83.62573099 46.37426901] ; [26.37426901 14.62573099],0
s8,1,0.61005,0.260103,[48 82] ; [13 27],[46.64705882 83.35294118] ; [14.35294118 25.64705882],0
u4,1,0.674775,0.176067,[  5 126] ; [ 1 40],[  4.56976744 126.43023256] ; [ 1.43023256 39.56976744],0
r3,1,0.68855,0.160659,[112  19] ; [34  7],[111.19767442  19.80232558] ; [34.80232558  6.19767442],0
n4,1,0.724197,0.124507,[87 44] ; [26 15],[86.06395349 44.93604651] ; [26.93604651 14.06395349],0
r4,1,0.864137,0.029279,[107  24] ; [33  8],[106.62790698  24.37209302] ; [33.37209302  7.62790698],0
a8,1,0.86635,0.028324,[  9 118] ; [ 3 35],[  9.23636364 117.76363636] ; [ 2.76363636 35.23636364],0
d1,1,0.870927,0.0264,[69 62] ; [21 20],[68.54651163 62.45348837] ; [21.45348837 19.54651163],0
d3,1,0.880634,0.02255,[73 57] ; [23 17],[73.41176471 56.58823529] ; [22.58823529 17.41176471],0
n6,1,0.922624,0.009434,[93 38] ; [28 11],[93.24117647 37.75882353] ; [27.75882353 11.24117647],0
u3,1,0.929473,0.007834,[26 18] ; [11  8],[25.84126984 18.15873016] ; [11.15873016  7.84126984],0
v3,1,0.958691,0.002683,[43 76] ; [15 26],[43.1375 75.8625] ; [14.8625 26.1375],0
n1,1,0.959291,0.002605,[25 29] ; [5 6],[24.92307692 29.07692308] ; [5.07692308 5.92307692],0
b4,1,0.964857,0.001941,[74 57] ; [23 18],[73.87790698 57.12209302] ; [23.12209302 17.87790698],0
