Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.1e-05,19.382829,[22  3] ; [ 7 19],[14.21568627 10.78431373] ; [14.78431373 11.21568627],1
p5,1,0.004678,8.0,[ 9 16] ; [ 1 24],[ 5. 20.] ; [ 5. 20.],0
a5,1,0.004694,7.993566,[21  4] ; [12 14],[16.17647059  8.82352941] ; [16.82352941  9.17647059],0
p6,1,0.010656,6.521739,[16  9] ; [ 7 18],[11.5 13.5] ; [11.5 13.5],0
d1,1,0.017119,5.684116,[17  8] ; [ 9 17],[12.74509804 12.25490196] ; [13.25490196 12.74509804],0
r3,1,0.024432,5.063734,[24  1] ; [19  7],[21.07843137  3.92156863] ; [21.92156863  4.07843137],0
d4,1,0.024432,5.063734,[24  1] ; [19  7],[21.07843137  3.92156863] ; [21.92156863  4.07843137],0
u3,1,0.027439,4.862981,[7 1] ; [5 8],[4.57142857 3.42857143] ; [7.42857143 5.57142857],0
v2,1,0.040004,4.217695,[15 10] ; [ 7 16],[11.45833333 13.54166667] ; [10.54166667 12.45833333],0
d3,1,0.047628,3.923077,[20  5] ; [14 12],[16.66666667  8.33333333] ; [17.33333333  8.66666667],0
d5,1,0.056993,3.622811,[22  3] ; [17  9],[19.11764706  5.88235294] ; [19.88235294  6.11764706],0
p8,1,0.057775,3.600139,[14 11] ; [ 7 17],[10.71428571 14.28571429] ; [10.28571429 13.71428571],0
v1,1,0.063596,3.441025,[16  9] ; [ 9 15],[12.75510204 12.24489796] ; [12.24489796 11.75510204],0
b1,1,0.068957,3.307683,[14 11] ; [ 8 18],[10.78431373 14.21568627] ; [11.21568627 14.78431373],0
s4,1,0.097925,2.739021,[ 6 19] ; [12 14],[ 8.82352941 16.17647059] ; [ 9.17647059 16.82352941],0
p7,1,0.201224,1.633471,[16  9] ; [11 13],[13.7755102 11.2244898] ; [13.2244898 10.7755102],0
a1,1,0.201652,1.63037,[ 5 20] ; [ 2 24],[ 3.43137255 21.56862745] ; [ 3.56862745 22.43137255],0
b3,1,0.241529,1.371646,[7 7] ; [ 5 12],[5.41935484 8.58064516] ; [ 6.58064516 10.41935484],0
b2,1,0.241529,1.371646,[7 7] ; [ 5 12],[5.41935484 8.58064516] ; [ 6.58064516 10.41935484],0
b4,1,0.243214,1.361868,[19  6] ; [23  3],[20.58823529  4.41176471] ; [21.41176471  4.58823529],0
n3,1,0.245084,1.351111,[3 6] ; [6 4],[4.26315789 4.73684211] ; [4.73684211 5.26315789],0
a3,1,0.248213,1.333333,[17  8] ; [13 12],[15. 10.] ; [15. 10.],0
n1,1,0.259942,1.269066,[5 4] ; [3 7],[3.78947368 5.21052632] ; [4.21052632 5.78947368],0
d2,1,0.300691,1.071127,[ 8 17] ; [12 14],[ 9.80392157 15.19607843] ; [10.19607843 15.80392157],0
p1,1,0.440401,0.595238,[ 5 20] ; [ 3 22],[ 4. 21.] ; [ 4. 21.],0
a6,1,0.481959,0.494428,[14 11] ; [12 14],[12.74509804 12.25490196] ; [13.25490196 12.74509804],0
p2,1,0.507801,0.438596,[20  5] ; [18  7],[19.  6.] ; [19.  6.],0
a8,1,0.527064,0.400048,[ 1 24] ; [ 2 22],[ 1.53061224 23.46938776] ; [ 1.46938776 22.53061224],0
p12,1,0.528533,0.397212,[ 2 23] ; [ 1 25],[ 1.47058824 23.52941176] ; [ 1.52941176 24.47058824],0
r4,1,0.588148,0.293246,[19  6] ; [18  8],[18.1372549  6.8627451] ; [18.8627451  7.1372549],0
b5,1,0.667817,0.184167,[11 14] ; [13 13],[11.76470588 13.23529412] ; [12.23529412 13.76470588],0
s2,1,0.686737,0.162641,[18  7] ; [20  6],[18.62745098  6.37254902] ; [19.37254902  6.62745098],0
n5,1,0.687865,0.161407,[14 11] ; [16 10],[14.70588235 10.29411765] ; [15.29411765 10.70588235],0
a4,1,0.690926,0.158085,[10 15] ; [ 9 17],[ 9.31372549 15.68627451] ; [ 9.68627451 16.31372549],0
