Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000141,14.49345,[ 71 173] ; [22 14],[ 81.04285714 162.95714286] ; [11.95714286 24.04285714],1
s7,1,0.00038,12.629604,[ 68 170] ; [21 15],[ 77.30656934 160.69343066] ; [11.69343066 24.30656934],1
s2,1,0.000981,10.86281,[ 84 163] ; [23 14],[ 93.05985915 153.94014085] ; [13.94014085 23.05985915],1
s8,1,0.009042,6.814418,[ 63 186] ; [17 20],[ 69.65034965 179.34965035] ; [10.34965035 26.65034965],0
p3,1,0.011149,6.44148,[ 37 211] ; [12 26],[ 42.48951049 205.51048951] ; [ 6.51048951 31.48951049],0
v4,1,0.025178,5.011597,[204  40] ; [37  1],[208.5248227  35.4751773] ; [32.4751773  5.5248227],0
a6,1,0.049232,3.867436,[148 100] ; [29  9],[153.48251748  94.51748252] ; [23.51748252 14.48251748],0
r3,1,0.074272,3.185993,[205  40] ; [36  2],[208.63957597  36.36042403] ; [32.36042403  5.63957597],0
r2,1,0.092727,2.826383,[214  28] ; [37  1],[216.93571429  25.06428571] ; [34.06428571  3.93571429],0
v2,1,0.093139,2.819258,[104 129] ; [22 15],[108.73333333 124.26666667] ; [17.26666667 19.73333333],0
s6,1,0.093235,2.817621,[117 130] ; [23 14],[121.76056338 125.23943662] ; [18.23943662 18.76056338],0
p2,1,0.097826,2.740638,[141 107] ; [27 11],[145.67832168 102.32167832] ; [22.32167832 15.67832168],0
s5,1,0.100248,2.701598,[ 50 192] ; [11 22],[ 53.68 188.32] ; [ 7.32 25.68],0
r4,1,0.11924,2.427281,[180  69] ; [32  6],[183.93031359  65.06968641] ; [28.06968641  9.93031359],0
u2,1,0.131371,2.276231,[43 40] ; [9 3],[45.43157895 37.56842105] ; [6.56842105 5.43157895],0
n6,1,0.247251,1.33877,[171  74] ; [30  8],[174.01060071  70.98939929] ; [26.98939929 11.01060071],0
a8,1,0.254174,1.300217,[ 29 207] ; [ 2 33],[ 26.99630996 209.00369004] ; [ 4.00369004 30.99630996],0
p1,1,0.287138,1.132994,[ 10 238] ; [ 3 35],[ 11.27272727 236.72727273] ; [ 1.72727273 36.27272727],0
n4,1,0.324267,0.97166,[162  85] ; [28 10],[164.66666667  82.33333333] ; [25.33333333 12.66666667],0
p11,1,0.331667,0.942379,[158  91] ; [21 17],[155.29965157  93.70034843] ; [23.70034843 14.29965157],0
s3,1,0.351853,0.866763,[116 130] ; [21 17],[118.66901408 127.33098592] ; [18.33098592 19.66901408],0
a1,1,0.355111,0.855108,[ 16 233] ; [ 4 34],[ 17.35191638 231.64808362] ; [ 2.64808362 35.35191638],0
n2,1,0.359192,0.840718,[63 32] ; [11  3],[64.49541284 30.50458716] ; [9.50458716 4.49541284],0
u1,1,0.373321,0.79258,[ 27 222] ; [ 6 32],[ 28.63066202 220.36933798] ; [ 4.36933798 33.63066202],0
b4,1,0.410149,0.678369,[155  94] ; [21 17],[152.69686411  96.30313589] ; [23.30313589 14.69686411],0
v1,1,0.456998,0.553238,[ 96 147] ; [17 20],[ 98.06785714 144.93214286] ; [14.93214286 22.06785714],0
d4,1,0.514272,0.425366,[189  57] ; [31  7],[190.56338028  55.43661972] ; [29.43661972  8.56338028],0
b3,1,0.517321,0.419231,[51 89] ; [10 13],[52.39263804 87.60736196] ; [ 8.60736196 14.39263804],0
b2,1,0.517321,0.419231,[51 89] ; [10 13],[52.39263804 87.60736196] ; [ 8.60736196 14.39263804],0
d3,1,0.518375,0.417125,[145 103] ; [19 17],[143.21126761 104.78873239] ; [20.78873239 15.21126761],0
b5,1,0.54397,0.368232,[151  98] ; [25 13],[152.69686411  96.30313589] ; [23.30313589 14.69686411],0
p9,1,0.580982,0.304649,[161  81] ; [27 11],[162.48571429  79.51428571] ; [25.51428571 12.48571429],0
u3,1,0.641381,0.216941,[44 42] ; [7 5],[44.75510204 41.24489796] ; [6.24489796 5.75510204],0
a4,1,0.649344,0.206728,[101 147] ; [14 24],[ 99.72027972 148.27972028] ; [15.27972028 22.72027972],0
p5,1,0.65818,0.195742,[  4 243] ; [ 1 37],[  4.33333333 242.66666667] ; [ 0.66666667 37.33333333],0
n1,1,0.668982,0.182796,[35 60] ; [4 9],[34.30555556 60.69444444] ; [4.69444444 8.30555556],0
d2,1,0.694552,0.154202,[105 140] ; [15 23],[103.8869258 141.1130742] ; [16.1130742 21.8869258],0
n3,1,0.70408,0.144262,[61 31] ; [10  4],[61.62264151 30.37735849] ; [9.37735849 4.62264151],0
a3,1,0.768031,0.086996,[163  84] ; [26 12],[163.8  83.2] ; [25.2 12.8],0
s1,1,0.76906,0.086204,[  9 237] ; [ 1 36],[  8.69257951 237.30742049] ; [ 1.30742049 35.69257951],0
s4,1,0.819944,0.05181,[ 44 204] ; [ 6 31],[ 43.50877193 204.49122807] ; [ 6.49122807 30.50877193],0
p10,1,0.834061,0.043889,[151  95] ; [24 14],[151.58450704  94.41549296] ; [23.41549296 14.58450704],0
r1,1,0.839553,0.040992,[173  74] ; [26 12],[172.46666667  74.53333333] ; [26.53333333 11.46666667],0
a2,1,0.86156,0.030411,[ 43 206] ; [ 7 31],[ 43.37979094 205.62020906] ; [ 6.62020906 31.37979094],0
d5,1,0.879677,0.022916,[178  70] ; [27 10],[178.38596491  69.61403509] ; [26.61403509 10.38596491],0
b1,1,0.894039,0.017741,[102 147] ; [16 22],[102.37630662 146.62369338] ; [15.62369338 22.37630662],0
