Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3.3e-05,17.240423,[ 2 16] ; [28 12],[9.31034483 8.68965517] ; [20.68965517 19.31034483],1
s2,1,0.006386,7.438061,[ 3 15] ; [22 18],[ 7.75862069 10.24137931] ; [17.24137931 22.75862069],0
s5,1,0.009971,6.640125,[ 2 16] ; [18 21],[ 6.31578947 11.68421053] ; [13.68421053 25.31578947],0
s8,1,0.012003,6.310468,[ 2 16] ; [18 22],[ 6.20689655 11.79310345] ; [13.79310345 26.20689655],0
s7,1,0.012039,6.30517,[ 2 14] ; [19 20],[6.10909091 9.89090909] ; [14.89090909 24.10909091],0
n6,1,0.015611,5.846154,[ 8 10] ; [30  9],[12.  6.] ; [26. 13.],0
a6,1,0.03623,4.38625,[9 9] ; [31  9],[12.4137931  5.5862069] ; [27.5862069 12.4137931],0
b1,1,0.061154,3.505803,[ 6 12] ; [ 5 35],[ 3.4137931 14.5862069] ; [ 7.5862069 32.4137931],0
p2,1,0.063718,3.437874,[9 8] ; [31  9],[11.92982456  5.07017544] ; [28.07017544 11.92982456],0
p4,1,0.076716,3.133137,[ 5 12] ; [22 18],[8.05263158 8.94736842] ; [18.94736842 21.05263158],0
p5,1,0.122547,2.384457,[ 3 14] ; [ 2 38],[ 1.49122807 15.50877193] ; [ 3.50877193 36.49122807],0
s1,1,0.17071,1.8767,[ 2 16] ; [ 1 39],[ 0.93103448 17.06896552] ; [ 2.06896552 37.93103448],0
p8,1,0.173364,1.853615,[ 6 11] ; [22 18],[8.35087719 8.64912281] ; [19.64912281 20.35087719],0
p3,1,0.174353,1.845116,[ 4 13] ; [17 23],[ 6.26315789 10.73684211] ; [14.73684211 25.26315789],0
n3,1,0.18262,1.776169,[2 4] ; [11  6],[3.39130435 2.60869565] ; [9.60869565 7.39130435],0
p9,1,0.224429,1.475826,[12  5] ; [33  6],[13.66071429  3.33928571] ; [31.33928571  7.66071429],0
a2,1,0.227035,1.45934,[ 2 16] ; [10 30],[ 3.72413793 14.27586207] ; [ 8.27586207 31.72413793],0
p6,1,0.235431,1.407743,[ 1 16] ; [ 7 32],[ 2.42857143 14.57142857] ; [ 5.57142857 33.42857143],0
a7,1,0.250807,1.318805,[13  5] ; [34  6],[14.5862069  3.4137931] ; [32.4137931  7.5862069],0
a3,1,0.251417,1.315415,[14  4] ; [25 15],[12.10344828  5.89655172] ; [26.89655172 13.10344828],0
b5,1,0.270437,1.21453,[ 8 10] ; [24 16],[9.93103448 8.06896552] ; [22.06896552 17.93103448],0
d3,1,0.272286,1.205195,[12  6] ; [32  8],[13.65517241  4.34482759] ; [30.34482759  9.65517241],0
a5,1,0.284297,1.146433,[10  8] ; [28 12],[11.79310345  6.20689655] ; [26.20689655 13.79310345],0
b4,1,0.284297,1.146433,[10  8] ; [28 12],[11.79310345  6.20689655] ; [26.20689655 13.79310345],0
p11,1,0.284297,1.146433,[10  8] ; [28 12],[11.79310345  6.20689655] ; [26.20689655 13.79310345],0
r3,1,0.288913,1.124679,[15  3] ; [37  3],[16.13793103  1.86206897] ; [35.86206897  4.13793103],0
p7,1,0.314048,1.013575,[8 9] ; [24 15],[9.71428571 7.28571429] ; [22.28571429 16.71428571],0
r4,1,0.344109,0.895062,[14  4] ; [35  5],[15.20689655  2.79310345] ; [33.79310345  6.20689655],0
v1,1,0.371203,0.799632,[9 9] ; [25 15],[10.55172414  7.44827586] ; [23.44827586 16.55172414],0
u3,1,0.422678,0.642857,[2 2] ; [10  4],[2.66666667 1.33333333] ; [9.33333333 4.66666667],0
u1,1,0.534134,0.386521,[ 2 16] ; [ 7 33],[ 2.79310345 15.20689655] ; [ 6.20689655 33.79310345],0
