Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,69.076845,[33 97] ; [179  77],[71.39896373 58.60103627] ; [140.60103627 115.39896373],1
p6,1,0.0,41.512405,[ 26 102] ; [139 114],[55.43307087 72.56692913] ; [109.56692913 143.43307087],1
p8,1,7e-06,20.212389,[44 82] ; [152 104],[64.64921466 61.35078534] ; [131.35078534 124.64921466],1
p5,1,2.6e-05,17.698438,[  3 125] ; [ 44 210],[ 15.7486911 112.2513089] ; [ 31.2513089 222.7486911],1
p2,1,0.000149,14.387556,[97 32] ; [230  26],[109.56623377  19.43376623] ; [217.43376623  38.56623377],1
n5,1,0.000266,13.292424,[86 42] ; [213  42],[99.92689295 28.07310705] ; [199.07310705  55.92689295],1
p7,1,0.0007,11.490064,[65 55] ; [182  71],[79.46380697 40.53619303] ; [167.53619303  85.46380697],1
d3,1,0.000979,10.867257,[83 47] ; [204  53],[96.40826873 33.59173127] ; [190.59173127  66.40826873],1
n4,1,0.000991,10.845029,[91 38] ; [217  39],[103.2  25.8] ; [204.8  51.2],1
d1,1,0.001207,10.479845,[84 46] ; [205  52],[97.08010336 32.91989664] ; [191.91989664  65.08010336],0
a5,1,0.007971,7.039927,[92 38] ; [212  45],[102.11886305  27.88113695] ; [201.88113695  55.11886305],0
s6,1,0.016986,5.697807,[106  21] ; [230  21],[112.88888889  14.11111111] ; [223.11111111  27.88888889],0
n6,1,0.019873,5.423052,[104  24] ; [228  26],[111.2460733  16.7539267] ; [220.7539267  33.2460733],0
v4,1,0.030525,4.679503,[121   7] ; [252   4],[124.33333333   3.66666667] ; [248.66666667   7.33333333],0
p12,1,0.035445,4.423608,[  8 121] ; [ 34 222],[ 14.07272727 114.92727273] ; [ 27.92727273 228.07272727],0
r1,1,0.044267,4.046338,[101  29] ; [218  36],[107.99479167  22.00520833] ; [211.00520833  42.99479167],0
a4,1,0.047229,3.937211,[60 70] ; [146 111],[69.19896641 60.80103359] ; [136.80103359 120.19896641],0
a2,1,0.05019,3.835103,[ 30 100] ; [ 84 173],[38.29457364 91.70542636] ; [ 75.70542636 181.29457364],0
v1,1,0.053839,3.717684,[66 60] ; [155  92],[74.6541555 51.3458445] ; [146.3458445 100.6541555],0
s5,1,0.060158,3.533021,[52 71] ; [128 115],[60.49180328 62.50819672] ; [119.50819672 123.49180328],0
s8,1,0.076874,3.12979,[76 54] ; [173  83],[83.86010363 46.13989637] ; [165.13989637  90.86010363],0
u4,1,0.090196,2.870879,[  2 128] ; [ 13 244],[  5.03875969 124.96124031] ; [  9.96124031 247.03875969],0
p10,1,0.090992,2.856744,[104  23] ; [225  30],[109.37958115  17.62041885] ; [219.62041885  35.37958115],0
p9,1,0.094238,2.80045,[106  19] ; [231  24],[110.85526316  14.14473684] ; [226.14473684  28.85526316],0
r4,1,0.096695,2.75923,[115  15] ; [240  17],[119.25064599  10.74935401] ; [235.74935401  21.25064599],0
s7,1,0.098744,2.725721,[83 43] ; [180  63],[89.80487805 36.19512195] ; [173.19512195  69.80487805],0
a3,1,0.104589,2.634139,[94 35] ; [206  51],[100.25906736  28.74093264] ; [199.74093264  57.25906736],0
p11,1,0.136506,2.216915,[95 35] ; [205  52],[100.7751938  29.2248062] ; [199.2248062  57.7751938],0
b1,1,0.159192,1.981881,[45 85] ; [108 149],[51.39534884 78.60465116] ; [101.60465116 155.39534884],0
v3,1,0.17744,1.818936,[48 76] ; [112 131],[54.0599455 69.9400545] ; [105.9400545 137.0599455],0
u1,1,0.190937,1.71037,[ 27 103] ; [ 69 188],[32.24806202 97.75193798] ; [ 63.75193798 193.24806202],0
u3,1,0.203887,1.614307,[22 14] ; [37 13],[24.69767442 11.30232558] ; [34.30232558 15.69767442],0
b5,1,0.26572,1.238711,[83 47] ; [149 108],[77.93281654 52.06718346] ; [154.06718346 102.93281654],0
d2,1,0.265789,1.238352,[70 60] ; [153 103],[75.10362694 54.89637306] ; [147.89637306 108.10362694],0
a6,1,0.266397,1.235208,[80 49] ; [174  83],[84.88601036 44.11398964] ; [169.11398964  87.88601036],0
p1,1,0.291511,1.11263,[  8 120] ; [ 24 231],[ 10.69451697 117.30548303] ; [ 21.30548303 233.69451697],0
a7,1,0.29388,1.10176,[91 39] ; [192  64],[95.31088083 34.68911917] ; [187.68911917  68.31088083],0
d4,1,0.346687,0.885546,[115  15] ; [235  22],[117.57105943  12.42894057] ; [232.42894057  24.57105943],0
u2,1,0.368261,0.809524,[18 16] ; [32 19],[20. 14.] ; [30. 21.],0
a8,1,0.423022,0.641905,[20 98] ; [ 33 207],[ 17.46927374 100.53072626] ; [ 35.53072626 204.46927374],0
r2,1,0.471094,0.519409,[126   2] ; [248   7],[124.9921671   3.0078329] ; [249.0078329   5.9921671],0
s3,1,0.479371,0.500294,[110  19] ; [224  31],[112.203125  16.796875] ; [221.796875  33.203125],0
n2,1,0.488377,0.4801,[27  9] ; [43 10],[28.31460674  7.68539326] ; [41.68539326 11.31460674],0
a1,1,0.540502,0.374611,[  7 123] ; [ 18 239],[  8.39793282 121.60206718] ; [ 16.60206718 240.39793282],0
n3,1,0.582977,0.301446,[26 11] ; [40 13],[27.13333333  9.86666667] ; [38.86666667 14.13333333],0
