Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,5e-06,20.883405,[72 17] ; [12 20],[61.78512397 27.21487603] ; [22.21487603  9.78512397],1
p10,1,0.000873,11.08008,[71 17] ; [16 16],[63.8 24.2] ; [23.2  8.8],1
p11,1,0.003486,8.534068,[69 20] ; [16 16],[62.52066116 26.47933884] ; [22.47933884  9.52066116],0
p9,1,0.008851,6.852694,[75 12] ; [20 11],[70.04237288 16.95762712] ; [24.95762712  6.04237288],0
n6,1,0.026926,4.895539,[72 16] ; [20 12],[67.46666667 20.53333333] ; [24.53333333  7.46666667],0
d3,1,0.028788,4.780256,[47 42] ; [24  8],[52.2231405 36.7768595] ; [18.7768595 13.2231405],0
b5,1,0.061018,3.509501,[50 39] ; [24  8],[54.42975207 34.57024793] ; [19.57024793 12.42975207],0
d4,1,0.083602,2.993453,[68 21] ; [29  3],[71.34710744 17.65289256] ; [25.65289256  6.34710744],0
d2,1,0.092722,2.826464,[42 45] ; [21 11],[46.05882353 40.94117647] ; [16.94117647 15.05882353],0
s3,1,0.096435,2.763539,[47 42] ; [11 20],[43.01666667 45.98333333] ; [14.98333333 16.01666667],0
a8,1,0.122496,2.385117,[11 75] ; [ 1 31],[ 8.74576271 77.25423729] ; [ 3.25423729 28.74576271],0
d1,1,0.145449,2.119347,[48 41] ; [22 10],[51.48760331 37.51239669] ; [18.51239669 13.48760331],0
u3,1,0.152057,2.051491,[ 8 12] ; [5 2],[ 9.62962963 10.37037037] ; [3.37037037 3.62962963],0
s1,1,0.184828,1.758373,[ 3 85] ; [ 3 29],[ 4.4 83.6] ; [ 1.6 30.4],0
p2,1,0.195595,1.674965,[60 27] ; [18 14],[57.02521008 29.97478992] ; [20.97478992 11.02521008],0
d5,1,0.251329,1.315903,[73 16] ; [29  3],[75.02479339 13.97520661] ; [26.97520661  5.02479339],0
a7,1,0.256307,1.288595,[51 38] ; [22 10],[53.69421488 35.30578512] ; [19.30578512 12.69421488],0
r3,1,0.263212,1.251783,[69 19] ; [28  4],[71.13333333 16.86666667] ; [25.86666667  6.13333333],0
p12,1,0.288982,1.12436,[ 2 85] ; [ 2 30],[ 2.92436975 84.07563025] ; [ 1.07563025 30.92436975],0
p4,1,0.312888,1.018446,[49 39] ; [14 17],[46.58823529 41.41176471] ; [16.41176471 14.58823529],0
p8,1,0.348031,0.880622,[36 50] ; [10 21],[33.81196581 52.18803419] ; [12.18803419 18.81196581],0
s8,1,0.361515,0.832625,[33 56] ; [ 9 23],[30.89256198 58.10743802] ; [11.10743802 20.89256198],0
n1,1,0.375678,0.784798,[14 17] ; [4 9],[12.68181818 18.31818182] ; [5.31818182 7.68181818],0
s6,1,0.380711,0.768404,[46 40] ; [20 12],[48.10169492 37.89830508] ; [17.89830508 14.10169492],0
p5,1,0.399574,0.709608,[10 77] ; [ 2 30],[ 8.77310924 78.22689076] ; [ 3.22689076 28.77310924],0
b1,1,0.426524,0.63227,[40 49] ; [17 15],[41.92561983 47.07438017] ; [15.07438017 16.92561983],0
s4,1,0.431201,0.619587,[14 75] ; [ 7 25],[15.44628099 73.55371901] ; [ 5.55371901 26.44628099],0
p6,1,0.475351,0.509509,[29 57] ; [ 8 22],[27.43103448 58.56896552] ; [ 9.56896552 20.43103448],0
r2,1,0.478485,0.502314,[71 15] ; [23  7],[69.68965517 16.31034483] ; [24.31034483  5.68965517],0
s7,1,0.482139,0.494021,[37 47] ; [11 19],[35.36842105 48.63157895] ; [12.63157895 17.36842105],0
v2,1,0.546038,0.364462,[35 51] ; [15 17],[36.44067797 49.55932203] ; [13.55932203 18.44067797],0
p3,1,0.554695,0.348974,[40 48] ; [16 15],[41.41176471 46.58823529] ; [14.58823529 16.41176471],0
v1,1,0.607492,0.263844,[37 47] ; [12 19],[35.79130435 48.20869565] ; [13.20869565 17.79130435],0
b2,1,0.637417,0.222137,[21 34] ; [ 8 10],[21.84931507 33.15068493] ; [ 7.15068493 10.84931507],0
b3,1,0.637417,0.222137,[21 34] ; [ 8 10],[21.84931507 33.15068493] ; [ 7.15068493 10.84931507],0
s5,1,0.660611,0.192782,[23 59] ; [10 21],[23.94690265 58.05309735] ; [ 9.05309735 21.94690265],0
a6,1,0.67297,0.178147,[62 27] ; [21 11],[61.04958678 27.95041322] ; [21.95041322 10.04958678],0
p7,1,0.679708,0.170455,[43 45] ; [17 15],[44. 44.] ; [16. 16.],0
s2,1,0.702298,0.146092,[41 48] ; [16 16],[41.92561983 47.07438017] ; [15.07438017 16.92561983],0
a1,1,0.708355,0.139925,[ 9 80] ; [ 4 28],[ 9.56198347 79.43801653] ; [ 3.43801653 28.56198347],0
p1,1,0.708355,0.139925,[ 9 80] ; [ 4 28],[ 9.56198347 79.43801653] ; [ 3.43801653 28.56198347],0
n3,1,0.719814,0.128671,[21 12] ; [9 4],[21.52173913 11.47826087] ; [8.47826087 4.52173913],0
v3,1,0.729217,0.119832,[25 61] ; [ 8 23],[24.25641026 61.74358974] ; [ 8.74358974 22.25641026],0
n2,1,0.770436,0.08515,[24  9] ; [10  3],[24.39130435  8.60869565] ; [9.60869565 3.39130435],0
u1,1,0.790217,0.070772,[ 7 82] ; [ 3 29],[ 7.3553719 81.6446281] ; [ 2.6446281 29.3553719],0
r4,1,0.838716,0.041427,[51 38] ; [19 13],[51.48760331 37.51239669] ; [18.51239669 13.48760331],0
b4,1,0.907247,0.013575,[49 40] ; [18 14],[49.28099174 39.71900826] ; [17.71900826 14.28099174],0
a4,1,0.912321,0.012125,[43 45] ; [16 16],[43.26666667 44.73333333] ; [15.73333333 16.26666667],0
u2,1,0.921775,0.009643,[ 9 11] ; [3 4],[ 8.88888889 11.11111111] ; [3.11111111 3.88888889],0
a3,1,0.944548,0.004838,[69 20] ; [25  7],[69.14049587 19.85950413] ; [24.85950413  7.14049587],0
a2,1,0.96537,0.001885,[17 72] ; [ 6 26],[16.91735537 72.08264463] ; [ 6.08264463 25.91735537],0
v4,1,0.96537,0.001885,[72 17] ; [26  6],[72.08264463 16.91735537] ; [25.91735537  6.08264463],0
