Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5e-06,20.883405,[17 20] ; [72 12],[27.21487603  9.78512397] ; [61.78512397 22.21487603],1
p2,1,0.002163,9.40615,[17 20] ; [62 21],[24.35833333 12.64166667] ; [54.64166667 28.35833333],0
p9,1,0.010828,6.493365,[24 12] ; [72 11],[29.04201681  6.95798319] ; [66.95798319 16.04201681],0
p11,1,0.02819,4.81639,[21 16] ; [65 20],[26.08196721 10.91803279] ; [59.91803279 25.08196721],0
p10,1,0.032675,4.562736,[22 15] ; [65 18],[26.825 10.175] ; [60.175 22.825],0
r2,1,0.042984,4.096025,[26 11] ; [68 11],[29.98275862  7.01724138] ; [64.01724138 14.98275862],0
s4,1,0.058154,3.589269,[10 27] ; [11 74],[ 6.36885246 30.63114754] ; [14.63114754 70.36885246],0
a8,1,0.072455,3.226511,[ 1 36] ; [11 71],[ 3.73109244 33.26890756] ; [ 8.26890756 73.73109244],0
d5,1,0.078643,3.092734,[28  9] ; [75 10],[31.23770492  5.76229508] ; [71.76229508 13.23770492],0
n3,1,0.082307,3.01875,[9 9] ; [21  7],[11.73913043  6.26086957] ; [18.26086957  9.73913043],0
v3,1,0.08894,2.893464,[ 6 29] ; [27 56],[ 9.78813559 25.21186441] ; [23.21186441 59.78813559],0
n6,1,0.107723,2.587319,[25 12] ; [68 16],[28.43801653  8.56198347] ; [64.56198347 19.43801653],0
p6,1,0.114256,2.494337,[ 8 28] ; [30 51],[11.69230769 24.30769231] ; [26.30769231 54.69230769],0
u1,1,0.14442,2.13022,[ 1 36] ; [ 9 76],[ 3.03278689 33.96721311] ; [ 6.96721311 78.03278689],0
u2,1,0.180101,1.796791,[3 8] ; [9 8],[4.71428571 6.28571429] ; [7.28571429 9.71428571],0
s6,1,0.205895,1.600059,[24 13] ; [43 39],[20.83193277 16.16806723] ; [46.16806723 35.83193277],0
a4,1,0.229928,1.441306,[15 22] ; [44 40],[18.04132231 18.95867769] ; [40.95867769 43.04132231],0
a3,1,0.240092,1.380054,[26 11] ; [68 17],[28.50819672  8.49180328] ; [65.49180328 19.50819672],0
b1,1,0.284154,1.147115,[20 17] ; [37 48],[17.28688525 19.71311475] ; [39.71311475 45.28688525],0
p5,1,0.288043,1.128748,[ 2 34] ; [10 74],[ 3.6 32.4] ; [ 8.4 75.6],0
s1,1,0.289543,1.121743,[ 3 34] ; [ 3 81],[ 1.83471074 35.16528926] ; [ 4.16528926 79.83471074],0
a2,1,0.319868,0.989487,[ 5 32] ; [18 67],[ 6.97540984 30.02459016] ; [16.02459016 68.97540984],0
s7,1,0.363852,0.824554,[12 22] ; [36 45],[14.19130435 19.80869565] ; [33.80869565 47.19130435],0
n2,1,0.369507,0.805322,[12  6] ; [22  6],[13.30434783  4.69565217] ; [20.69565217  7.30434783],0
d4,1,0.393745,0.727345,[28  9] ; [70 15],[29.72131148  7.27868852] ; [68.27868852 16.72131148],0
