Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.006044,7.537076,[ 9 15] ; [11  2],[12.97297297 11.02702703] ; [7.02702703 5.97297297],0
p7,1,0.017449,5.65063,[18 36] ; [17 11],[23.04878049 30.95121951] ; [11.95121951 16.04878049],0
b1,1,0.03006,4.705843,[26 31] ; [21  9],[30.79310345 26.20689655] ; [16.20689655 13.79310345],0
n4,1,0.076389,3.140096,[36 21] ; [13 17],[32.10344828 24.89655172] ; [16.89655172 13.10344828],0
p3,1,0.091519,2.847458,[20 36] ; [ 5 23],[16.66666667 39.33333333] ; [ 8.33333333 19.66666667],0
v1,1,0.091818,2.842202,[16 38] ; [14 15],[19.51807229 34.48192771] ; [10.48192771 18.51807229],0
p4,1,0.092729,2.826355,[26 30] ; [ 8 21],[22.4 33.6] ; [11.6 17.4],0
p2,1,0.104451,2.636228,[44 12] ; [18 11],[40.84705882 15.15294118] ; [21.15294118  7.84705882],0
s5,1,0.119501,2.423847,[ 6 48] ; [ 7 22],[ 8.45783133 45.54216867] ; [ 4.54216867 24.45783133],0
s3,1,0.146269,2.110739,[19 37] ; [15 15],[22.13953488 33.86046512] ; [11.86046512 18.13953488],0
n5,1,0.146269,2.110739,[37 19] ; [15 15],[33.86046512 22.13953488] ; [18.13953488 11.86046512],0
u3,1,0.161304,1.961963,[ 9 15] ; [8 5],[11.02702703 12.97297297] ; [5.97297297 7.02702703],0
b3,1,0.16423,1.934841,[12 19] ; [ 3 13],[ 9.89361702 21.10638298] ; [ 5.10638298 10.89361702],0
b2,1,0.16423,1.934841,[12 19] ; [ 3 13],[ 9.89361702 21.10638298] ; [ 5.10638298 10.89361702],0
v3,1,0.237425,1.395819,[16 41] ; [ 5 25],[13.75862069 43.24137931] ; [ 7.24137931 22.75862069],0
p8,1,0.243794,1.35852,[23 34] ; [ 8 21],[20.54651163 36.45348837] ; [10.45348837 18.54651163],0
r3,1,0.246968,1.340377,[37 19] ; [16 14],[34.51162791 21.48837209] ; [18.48837209 11.51162791],0
p11,1,0.247133,1.33944,[34 23] ; [14 16],[31.44827586 25.55172414] ; [16.55172414 13.44827586],0
a5,1,0.262421,1.25594,[30 27] ; [12 18],[27.51724138 29.48275862] ; [14.48275862 15.51724138],0
b4,1,0.317886,0.997626,[33 24] ; [14 16],[30.79310345 26.20689655] ; [16.20689655 13.79310345],0
a6,1,0.334015,0.93327,[28 29] ; [18 12],[30.13793103 26.86206897] ; [15.86206897 14.13793103],0
d4,1,0.411562,0.674283,[42 14] ; [20 10],[40.37209302 15.62790698] ; [21.62790698  8.37209302],0
a2,1,0.413776,0.667926,[ 7 50] ; [ 2 28],[ 5.89655172 51.10344828] ; [ 3.10344828 26.89655172],0
d1,1,0.422347,0.643775,[26 31] ; [11 19],[24.24137931 32.75862069] ; [12.75862069 17.24137931],0
n1,1,0.510704,0.432624,[10 19] ; [ 4 12],[ 9.02222222 19.97777778] ; [ 4.97777778 11.02222222],0
s8,1,0.512893,0.428161,[15 42] ; [ 6 24],[13.75862069 43.24137931] ; [ 7.24137931 22.75862069],0
s2,1,0.516147,0.421585,[17 40] ; [11 19],[18.34482759 38.65517241] ; [ 9.65517241 20.34482759],0
a4,1,0.522911,0.408148,[19 38] ; [ 8 22],[17.68965517 39.31034483] ; [ 9.31034483 20.68965517],0
s6,1,0.571143,0.320774,[23 34] ; [14 16],[24.24137931 32.75862069] ; [12.75862069 17.24137931],0
v2,1,0.598976,0.276543,[22 32] ; [14 16],[23.14285714 30.85714286] ; [12.85714286 17.14285714],0
a1,1,0.626887,0.236306,[ 4 53] ; [ 3 27],[ 4.5862069 52.4137931] ; [ 2.4137931 27.5862069],0
p12,1,0.631632,0.229854,[ 1 55] ; [ 1 28],[ 1.31764706 54.68235294] ; [ 0.68235294 28.31764706],0
r1,1,0.633929,0.22677,[16 41] ; [ 7 23],[15.06896552 41.93103448] ; [ 7.93103448 22.06896552],0
d5,1,0.634244,0.226349,[39 18] ; [22  8],[39.96551724 17.03448276] ; [21.03448276  8.96551724],0
s4,1,0.658763,0.195029,[11 46] ; [ 7 23],[11.79310345 45.20689655] ; [ 6.20689655 23.79310345],0
a7,1,0.665368,0.187068,[29 27] ; [17 13],[29.95348837 26.04651163] ; [16.04651163 13.95348837],0
