Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,169.815094,[489  76] ; [55 99],[427.48261474 137.51738526] ; [116.51738526  37.48261474],1
n6,1,0.0,49.30284,[505  60] ; [102  52],[476.98887344  88.01112656] ; [130.01112656  23.98887344],1
a5,1,0.0,26.172671,[456 110] ; [95 61],[431.94736842 134.05263158] ; [119.05263158  36.94736842],1
s7,1,1e-06,24.018131,[301 238] ; [49 99],[274.59970888 264.40029112] ; [75.40029112 72.59970888],1
d2,1,1.1e-05,19.376944,[307 256] ; [ 54 102],[282.67454798 280.32545202] ; [78.32545202 77.67454798],1
p4,1,1.1e-05,19.357566,[364 196] ; [70 84],[340.39215686 219.60784314] ; [93.60784314 60.39215686],1
p3,1,1.2e-05,19.209813,[307 254] ; [ 54 101],[282.85055866 278.14944134] ; [78.14944134 76.85055866],1
p11,1,2e-05,18.154327,[467 100] ; [104  52],[447.7966805 119.2033195] ; [123.2033195  32.7966805],1
p6,1,3.8e-05,16.976462,[227 330] ; [ 34 117],[205.33474576 351.66525424] ; [55.66525424 95.33474576],1
a4,1,0.00011,14.959082,[286 277] ; [ 52 104],[264.66481224 298.33518776] ; [73.33518776 82.66481224],1
s8,1,0.000595,11.792026,[279 282] ; [ 53 102],[260.12849162 300.87150838] ; [71.87150838 83.12849162],1
r2,1,0.000696,11.499921,[556   7] ; [147   9],[550.47148818  12.52851182] ; [152.52851182   3.47148818],1
a8,1,0.000794,11.255227,[ 84 422] ; [  8 136],[ 71.61846154 434.38153846] ; [ 20.38153846 123.61846154],1
u1,1,0.000946,10.930895,[130 437] ; [ 17 139],[115.28215768 451.71784232] ; [ 31.71784232 124.28215768],1
v3,1,0.002901,8.868429,[246 298] ; [ 46 100],[230.21449275 313.78550725] ; [61.78550725 84.21449275],0
p10,1,0.003088,8.754537,[471  89] ; [112  40],[458.53932584 101.46067416] ; [124.46067416  27.53932584],0
d1,1,0.003533,8.509349,[367 200] ; [81 75],[351.33609959 215.66390041] ; [96.66390041 59.33609959],0
a3,1,0.003926,8.317604,[426 137] ; [100  56],[411.87482615 151.12517385] ; [114.12517385  41.87482615],0
p2,1,0.005326,7.765214,[480  82] ; [117  37],[468.59497207  93.40502793] ; [128.40502793  25.59497207],0
p5,1,0.005602,7.674108,[ 74 485] ; [  8 146],[ 64.28892006 494.71107994] ; [ 17.71107994 136.28892006],0
a2,1,0.005981,7.556043,[164 403] ; [ 28 128],[150.57261411 416.42738589] ; [ 41.42738589 114.57261411],0
v1,1,0.008359,6.954851,[324 231] ; [70 81],[309.73087819 245.26912181] ; [84.26912181 66.73087819],0
r4,1,0.009458,6.734179,[554  13] ; [146  10],[548.9626556  18.0373444] ; [151.0373444   4.9626556],0
n1,1,0.011754,6.347626,[45 54] ; [14 42],[37.68387097 61.31612903] ; [21.31612903 34.68387097],0
p8,1,0.017579,5.637606,[311 242] ; [70 84],[298.00990099 254.99009901] ; [82.99009901 71.00990099],0
