Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,59.643102,[246  85] ; [27 62],[215.15 115.85] ; [57.85 31.15],1
s5,1,0.0,40.991331,[166 159] ; [12 78],[139.39759036 185.60240964] ; [38.60240964 51.39759036],1
s6,1,0.0,33.684487,[302  34] ; [60 32],[284.18691589  51.81308411] ; [77.81308411 14.18691589],1
s8,1,0.0,31.488135,[223 119] ; [31 63],[199.23853211 142.76146789] ; [54.76146789 39.23853211],1
d1,1,1.1e-05,19.374494,[228 115] ; [39 55],[209.56750572 133.43249428] ; [57.43249428 36.56750572],1
d4,1,8.8e-05,15.373702,[300  42] ; [66 27],[287.75172414  54.24827586] ; [78.24827586 14.75172414],1
p10,1,9.6e-05,15.222689,[300  40] ; [66 26],[288.05555556  51.94444444] ; [77.94444444 14.05555556],1
p4,1,0.000123,14.738805,[240 102] ; [46 48],[224.33944954 117.66055046] ; [61.66055046 32.33944954],1
p9,1,0.000476,12.208863,[309  31] ; [73 21],[299.26267281  40.73732719] ; [82.73732719 11.26267281],1
d5,1,0.000987,10.852488,[288  54] ; [65 29],[276.89449541  65.10550459] ; [76.10550459 17.89449541],1
a5,1,0.00118,10.521653,[262  81] ; [56 38],[249.597254  93.402746] ; [68.402746 25.597254],0
a2,1,0.004238,8.17908,[ 97 246] ; [13 81],[ 86.33867277 256.66132723] ; [23.66132723 70.33867277],0
a3,1,0.00471,7.987633,[263  79] ; [58 35],[252.37241379  89.62758621] ; [68.62758621 24.37241379],0
u1,1,0.008595,6.905189,[ 74 269] ; [ 9 85],[ 65.14645309 277.85354691] ; [17.85354691 76.14645309],0
n5,1,0.009328,6.759018,[275  66] ; [64 30],[265.74482759  75.25517241] ; [73.25517241 20.74482759],0
p12,1,0.011986,6.313008,[ 42 301] ; [ 3 89],[ 35.48275862 307.51724138] ; [ 9.51724138 82.48275862],0
s4,1,0.015139,5.900226,[ 83 256] ; [12 82],[ 74.37644342 264.62355658] ; [20.62355658 73.37644342],0
n6,1,0.015475,5.861524,[297  42] ; [73 21],[289.67667436  49.32332564] ; [80.32332564 13.67667436],0
a7,1,0.020447,5.373314,[256  86] ; [59 35],[247.08715596  94.91284404] ; [67.91284404 26.08715596],0
r1,1,0.021638,5.274672,[288  53] ; [69 24],[280.5  60.5] ; [76.5 16.5],0
a4,1,0.021717,5.268348,[160 183] ; [31 62],[150.25917431 192.74082569] ; [40.74082569 52.25917431],0
u3,1,0.024221,5.078762,[54 24] ; [17 19],[48.57894737 29.42105263] ; [22.42105263 13.57894737],0
p6,1,0.026094,4.94977,[151 189] ; [29 63],[141.66666667 198.33333333] ; [38.33333333 53.66666667],0
d2,1,0.026356,4.93252,[183 160] ; [38 56],[173.46224256 169.53775744] ; [47.53775744 46.46224256],0
p3,1,0.03344,4.523104,[195 147] ; [42 52],[185.90366972 156.09633028] ; [51.09633028 42.90366972],0
v1,1,0.044383,4.041934,[186 144] ; [40 50],[177.57142857 152.42857143] ; [48.42857143 41.57142857],0
v2,1,0.051911,3.778639,[189 139] ; [41 48],[180.91127098 147.08872902] ; [49.08872902 39.91127098],0
d3,1,0.066918,3.357043,[252  91] ; [60 34],[244.88787185  98.11212815] ; [67.11212815 26.88787185],0
a8,1,0.072336,3.229211,[ 54 263] ; [ 8 79],[ 48.64851485 268.35148515] ; [13.35148515 73.64851485],0
n1,1,0.090008,2.874221,[29 36] ; [ 5 16],[25.69767442 39.30232558] ; [ 8.30232558 12.69767442],0
v4,1,0.105338,2.622808,[331  10] ; [86  6],[328.39953811  12.60046189] ; [88.60046189  3.39953811],0
r2,1,0.132918,2.258085,[330   8] ; [88  5],[327.80510441  10.19489559] ; [90.19489559  2.80510441],0
b4,1,0.136224,2.220103,[197 146] ; [62 32],[203.28832952 139.71167048] ; [55.71167048 38.28832952],0
p5,1,0.138429,2.195339,[ 49 293] ; [ 8 86],[ 44.71100917 297.28899083] ; [12.28899083 81.71100917],0
u2,1,0.167318,1.906807,[47 30] ; [17 19],[43.61061947 33.38938053] ; [20.38938053 15.61061947],0
r3,1,0.180128,1.796564,[327  13] ; [93  1],[329.03225806  10.96774194] ; [90.96774194  3.03225806],0
v3,1,0.185122,1.756021,[141 189] ; [33 61],[135.4245283 194.5754717] ; [38.5754717 55.4245283],0
u4,1,0.218337,1.515268,[ 12 331] ; [ 1 93],[ 10.20366133 332.79633867] ; [ 2.79633867 91.20366133],0
n4,1,0.221259,1.496186,[277  64] ; [71 23],[272.8  68.2] ; [75.2 18.8],0
b1,1,0.238273,1.390785,[136 207] ; [31 63],[131.0778032 211.9221968] ; [35.9221968 58.0778032],0
p1,1,0.286517,1.135914,[ 34 307] ; [ 6 88],[ 31.35632184 309.64367816] ; [ 8.64367816 85.35632184],0
a1,1,0.356352,0.850708,[ 19 324] ; [ 3 91],[ 17.26773455 325.73226545] ; [ 4.73226545 89.26773455],0
b5,1,0.533895,0.386972,[202 141] ; [52 42],[199.36384439 143.63615561] ; [54.63615561 39.36384439],0
a6,1,0.550321,0.356742,[229 113] ; [66 28],[231.39908257 110.60091743] ; [63.60091743 30.39908257],0
r4,1,0.594754,0.282981,[316  27] ; [85  9],[314.74370709  28.25629291] ; [86.25629291  7.74370709],0
n2,1,0.662719,0.190237,[53 12] ; [17  5],[52.29885057 12.70114943] ; [17.70114943  4.29885057],0
p8,1,0.763958,0.090172,[197 142] ; [53 41],[195.72748268 143.27251732] ; [54.27251732 39.72748268],0
s1,1,0.796226,0.066685,[ 13 326] ; [ 3 89],[ 12.58468677 326.41531323] ; [ 3.41531323 88.58468677],0
