Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.002959,8.832353,[42 13] ; [ 9 13],[36.42857143 18.57142857] ; [14.57142857  7.42857143],0
d3,1,0.003831,8.362239,[36 19] ; [ 6 15],[30.39473684 24.60526316] ; [11.60526316  9.39473684],0
a3,1,0.035939,4.4,[39 16] ; [10 12],[35. 20.] ; [14.  8.],0
p6,1,0.040914,4.179574,[10 44] ; [ 9 13],[13.5 40.5] ; [ 5.5 16.5],0
a4,1,0.049577,3.855704,[23 32] ; [ 4 18],[19.28571429 35.71428571] ; [ 7.71428571 14.28571429],0
s7,1,0.053877,3.716518,[27 27] ; [ 5 15],[23.35135135 30.64864865] ; [ 8.64864865 11.35135135],0
v3,1,0.056131,3.64818,[16 38] ; [ 2 20],[12.78947368 41.21052632] ; [ 5.21052632 16.78947368],0
d2,1,0.06468,3.413121,[25 30] ; [ 5 17],[21.42857143 33.57142857] ; [ 8.57142857 13.42857143],0
a7,1,0.095084,2.786115,[34 21] ; [ 9 13],[30.71428571 24.28571429] ; [12.28571429  9.71428571],0
p4,1,0.108193,2.580426,[21 33] ; [13  9],[24.15789474 29.84210526] ; [ 9.84210526 12.15789474],0
b1,1,0.112788,2.51471,[24 31] ; [14  8],[27.14285714 27.85714286] ; [10.85714286 11.14285714],0
p5,1,0.11637,2.465513,[10 44] ; [ 1 21],[ 7.81578947 46.18421053] ; [ 3.18421053 18.81578947],0
s5,1,0.119714,2.421058,[13 39] ; [ 2 20],[10.54054054 41.45945946] ; [ 4.45945946 17.54054054],0
s1,1,0.136249,2.21982,[ 1 54] ; [ 2 20],[ 2.14285714 52.85714286] ; [ 0.85714286 21.14285714],0
n3,1,0.137739,2.203037,[ 9 11] ; [8 3],[10.96774194  9.03225806] ; [6.03225806 4.96774194],0
s2,1,0.147184,2.101201,[24 29] ; [ 6 16],[21.2 31.8] ; [ 8.8 13.2],0
n1,1,0.149443,2.077922,[ 6 15] ; [6 5],[ 7.875 13.125] ; [4.125 6.875],0
b4,1,0.15762,1.996911,[37 18] ; [11 11],[34.28571429 20.71428571] ; [13.71428571  8.28571429],0
r1,1,0.161576,1.959412,[21 32] ; [ 5 17],[18.37333333 34.62666667] ; [ 7.62666667 14.37333333],0
a5,1,0.189927,1.718182,[34 21] ; [10 12],[31.42857143 23.57142857] ; [12.57142857  9.42857143],0
p7,1,0.193284,1.692405,[24 27] ; [14  8],[26.54794521 24.45205479] ; [11.45205479 10.54794521],0
a6,1,0.194172,1.685676,[29 26] ; [ 8 14],[26.42857143 28.57142857] ; [10.57142857 11.42857143],0
p8,1,0.230794,1.435963,[19 35] ; [11 11],[21.31578947 32.68421053] ; [ 8.68421053 13.31578947],0
b5,1,0.279601,1.169028,[30 25] ; [ 9 13],[27.85714286 27.14285714] ; [11.14285714 10.85714286],0
s3,1,0.285027,1.142963,[24 27] ; [ 7 14],[21.95833333 29.04166667] ; [ 9.04166667 11.95833333],0
u2,1,0.298698,1.08,[7 8] ; [8 4],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
r3,1,0.324516,0.970659,[36 16] ; [12  9],[34.19178082 17.80821918] ; [13.80821918  7.19178082],0
n5,1,0.336704,0.922941,[35 18] ; [17  5],[36.74666667 16.25333333] ; [15.25333333  6.74666667],0
p2,1,0.358896,0.841754,[38 15] ; [18  4],[39.57333333 13.42666667] ; [16.42666667  5.57333333],0
n2,1,0.365241,0.819792,[14  7] ; [9 2],[15.09375  5.90625] ; [7.90625 3.09375],0
u1,1,0.380217,0.77,[ 6 49] ; [ 1 21],[ 5. 50.] ; [ 2. 20.],0
v2,1,0.398195,0.713769,[22 30] ; [ 7 15],[20.37837838 31.62162162] ; [ 8.62162162 13.37837838],0
s6,1,0.437159,0.60373,[24 28] ; [ 8 14],[22.48648649 29.51351351] ; [ 9.51351351 12.48648649],0
v1,1,0.472683,0.515698,[19 33] ; [10 12],[20.37837838 31.62162162] ; [ 8.62162162 13.37837838],0
p3,1,0.505512,0.443346,[19 35] ; [ 6 16],[17.76315789 36.23684211] ; [ 7.23684211 14.76315789],0
n4,1,0.556625,0.345582,[34 21] ; [12 10],[32.85714286 22.14285714] ; [13.14285714  8.85714286],0
u3,1,0.66171,0.191453,[8 8] ; [5 7],[7.42857143 8.57142857] ; [5.57142857 6.42857143],0
s8,1,0.717191,0.1312,[17 37] ; [ 6 16],[16.34210526 37.65789474] ; [ 6.65789474 15.34210526],0
p11,1,0.752798,0.099195,[38 17] ; [16  6],[38.57142857 16.42857143] ; [15.42857143  6.57142857],0
n6,1,0.760214,0.093147,[35 17] ; [14  8],[34.43243243 17.56756757] ; [14.56756757  7.43243243],0
b2,1,0.769646,0.085754,[12 22] ; [4 9],[11.57446809 22.42553191] ; [4.42553191 8.57446809],0
b3,1,0.769646,0.085754,[12 22] ; [4 9],[11.57446809 22.42553191] ; [4.42553191 8.57446809],0
p1,1,0.813267,0.055797,[ 6 49] ; [ 2 20],[ 5.71428571 49.28571429] ; [ 2.28571429 19.71428571],0
a8,1,0.817855,0.05304,[ 3 48] ; [ 1 21],[ 2.79452055 48.20547945] ; [ 1.20547945 20.79452055],0
p9,1,0.824197,0.049351,[46  9] ; [18  3],[46.31578947  8.68421053] ; [17.68421053  3.31578947],0
s4,1,0.827896,0.047263,[11 43] ; [ 4 18],[10.65789474 43.34210526] ; [ 4.34210526 17.65789474],0
r2,1,0.829997,0.046099,[32 18] ; [14  7],[32.3943662 17.6056338] ; [13.6056338  7.3943662],0
v4,1,0.904187,0.01449,[35 15] ; [15  6],[35.21126761 14.78873239] ; [14.78873239  6.21126761],0
