Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5.9e-05,16.118796,[31 73] ; [20  8],[40.18181818 63.81818182] ; [10.81818182 17.18181818],1
r1,1,0.006772,7.332408,[55 50] ; [24  6],[61.44444444 43.55555556] ; [17.55555556 12.44444444],0
b1,1,0.013788,6.065111,[51 54] ; [ 7 23],[45.11111111 59.88888889] ; [12.88888889 17.11111111],0
b4,1,0.016386,5.761,[51 54] ; [22  8],[56.77777778 48.22222222] ; [16.22222222 13.77777778],0
v1,1,0.01719,5.67682,[34 70] ; [17 13],[39.58208955 64.41791045] ; [11.41791045 18.58208955],0
p6,1,0.021283,5.303499,[28 75] ; [ 2 27],[23.40909091 79.59090909] ; [ 6.59090909 22.40909091],0
r4,1,0.040766,4.185722,[71 34] ; [26  4],[75.44444444 29.55555556] ; [21.55555556  8.44444444],0
d4,1,0.0409,4.180155,[55 50] ; [22  8],[59.88888889 45.11111111] ; [17.11111111 12.88888889],0
s6,1,0.042576,4.112142,[46 58] ; [19 10],[50.82706767 53.17293233] ; [14.17293233 14.82706767],0
d3,1,0.052948,3.745573,[38 65] ; [17 13],[42.59398496 60.40601504] ; [12.40601504 17.59398496],0
u2,1,0.088508,2.901305,[25 31] ; [8 3],[27.58208955 28.41791045] ; [5.41791045 5.58208955],0
a3,1,0.097332,2.748718,[48 56] ; [19 11],[52. 52.] ; [15. 15.],0
b3,1,0.133817,2.247655,[ 8 39] ; [5 9],[10.01639344 36.98360656] ; [ 2.98360656 11.01639344],0
b2,1,0.133817,2.247655,[ 8 39] ; [5 9],[10.01639344 36.98360656] ; [ 2.98360656 11.01639344],0
u1,1,0.174923,1.84024,[  2 103] ; [ 2 28],[  3.11111111 101.88888889] ; [ 0.88888889 29.11111111],0
p12,1,0.174923,1.84024,[  2 103] ; [ 2 28],[  3.11111111 101.88888889] ; [ 0.88888889 29.11111111],0
s7,1,0.179002,1.805892,[26 77] ; [11 18],[28.87121212 74.12878788] ; [ 8.12878788 20.87121212],0
n1,1,0.189873,1.718603,[11 28] ; [ 1 10],[ 9.36 29.64] ; [2.64 8.36],0
r2,1,0.199623,1.645131,[83 21] ; [27  3],[85.37313433 18.62686567] ; [24.62686567  5.37313433],0
s5,1,0.216712,1.52601,[20 83] ; [ 9 21],[22.45864662 80.54135338] ; [ 6.54135338 23.45864662],0
p10,1,0.258864,1.274821,[64 39] ; [22  8],[66.60150376 36.39849624] ; [19.39849624 10.60150376],0
b5,1,0.309238,1.033926,[60 45] ; [14 16],[57.55555556 47.44444444] ; [16.44444444 13.55555556],0
a6,1,0.31116,1.025746,[52 53] ; [18 12],[54.44444444 50.55555556] ; [15.55555556 14.44444444],0
a5,1,0.377306,0.779461,[43 62] ; [15 15],[45.11111111 59.88888889] ; [12.88888889 17.11111111],0
a8,1,0.417867,0.656305,[ 8 92] ; [ 1 27],[ 7.03125 92.96875] ; [ 1.96875 26.03125],0
a7,1,0.429095,0.625273,[61 43] ; [20 10],[62.86567164 41.13432836] ; [18.13432836 11.86567164],0
p2,1,0.456094,0.555464,[74 31] ; [19 11],[72.33333333 32.66666667] ; [20.66666667  9.33333333],0
a2,1,0.503046,0.448505,[  4 101] ; [ 2 28],[  4.66666667 100.33333333] ; [ 1.33333333 28.66666667],0
s8,1,0.508566,0.437016,[25 79] ; [ 9 21],[26.3880597 77.6119403] ; [ 7.6119403 22.3880597],0
p5,1,0.510488,0.433066,[  4 100] ; [ 2 28],[ 4.65671642 99.34328358] ; [ 1.34328358 28.65671642],0
s1,1,0.510488,0.433066,[  4 100] ; [ 2 28],[ 4.65671642 99.34328358] ; [ 1.34328358 28.65671642],0
p9,1,0.531259,0.391983,[72 31] ; [22  7],[73.34848485 29.65151515] ; [20.65151515  8.34848485],0
u3,1,0.559999,0.339706,[28 28] ; [6 4],[28.84848485 27.15151515] ; [5.15151515 4.84848485],0
n3,1,0.567741,0.326477,[29 11] ; [7 4],[28.23529412 11.76470588] ; [7.76470588 3.23529412],0
s4,1,0.58445,0.299096,[23 82] ; [ 8 22],[24.11111111 80.88888889] ; [ 6.88888889 23.11111111],0
p1,1,0.603968,0.269053,[ 6 99] ; [ 1 29],[ 5.44444444 99.55555556] ; [ 1.55555556 28.44444444],0
a1,1,0.603968,0.269053,[ 6 99] ; [ 1 29],[ 5.44444444 99.55555556] ; [ 1.55555556 28.44444444],0
v4,1,0.615767,0.251862,[90 14] ; [27  3],[90.80597015 13.19402985] ; [26.19402985  3.80597015],0
d2,1,0.618312,0.248247,[18 87] ; [ 4 26],[17.11111111 87.88888889] ; [ 4.88888889 25.11111111],0
n6,1,0.633839,0.226891,[65 40] ; [20 10],[66.11111111 38.88888889] ; [18.88888889 11.11111111],0
n2,1,0.636838,0.222902,[30 10] ; [9 2],[30.58823529  9.41176471] ; [8.41176471 2.58823529],0
a4,1,0.683039,0.166725,[21 84] ; [ 5 25],[20.22222222 84.77777778] ; [ 5.77777778 24.22222222],0
