Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,25.099206,[23 23] ; [ 1 41],[12.54545455 33.45454545] ; [11.45454545 30.54545455],1
a6,1,0.000122,14.757764,[32 14] ; [12 30],[23. 23.] ; [21. 21.],1
d3,1,0.00014,14.503541,[29 16] ; [10 32],[20.17241379 24.82758621] ; [18.82758621 23.17241379],1
d4,1,0.000298,13.085109,[36 10] ; [17 25],[27.70454545 18.29545455] ; [25.29545455 16.70454545],1
a5,1,0.000638,11.660455,[31 15] ; [13 29],[23. 23.] ; [21. 21.],1
a4,1,0.002135,9.429832,[20 25] ; [ 6 36],[13.44827586 31.55172414] ; [12.55172414 29.44827586],0
u2,1,0.010482,6.551092,[12  8] ; [ 5 18],[ 7.90697674 12.09302326] ; [ 9.09302326 13.90697674],0
d2,1,0.013329,6.124887,[21 24] ; [ 9 33],[15.51724138 29.48275862] ; [14.48275862 27.51724138],0
v4,1,0.025651,4.979396,[30 15] ; [18 24],[24.82758621 20.17241379] ; [23.17241379 18.82758621],0
p3,1,0.027698,4.846759,[17 28] ; [ 7 35],[12.4137931 32.5862069] ; [11.5862069 30.4137931],0
a7,1,0.029106,4.761353,[26 20] ; [14 28],[20.90909091 25.09090909] ; [19.09090909 22.90909091],0
a2,1,0.036422,4.377226,[ 7 39] ; [ 1 41],[ 4.18181818 41.81818182] ; [ 3.81818182 38.18181818],0
r2,1,0.038989,4.261348,[29 14] ; [19 23],[24.28235294 18.71764706] ; [23.71764706 18.28235294],0
p5,1,0.060588,3.521215,[ 6 38] ; [ 1 40],[ 3.62352941 40.37647059] ; [ 3.37647059 37.62352941],0
u3,1,0.077624,3.113959,[ 8 11] ; [ 4 19],[ 5.42857143 13.57142857] ; [ 6.57142857 16.42857143],0
p4,1,0.13518,2.231989,[19 27] ; [11 31],[15.68181818 30.31818182] ; [14.31818182 27.68181818],0
n4,1,0.145706,2.116642,[29 17] ; [20 22],[25.61363636 20.38636364] ; [23.38636364 18.61363636],0
p11,1,0.176581,1.826165,[23 23] ; [15 27],[19.86363636 26.13636364] ; [18.13636364 23.86363636],0
s1,1,0.190678,1.712372,[ 2 44] ; [ 5 37],[ 3.65909091 42.34090909] ; [ 3.34090909 38.65909091],0
n3,1,0.212317,1.555556,[ 7 14] ; [11 10],[ 9. 12.] ; [ 9. 12.],0
p7,1,0.218088,1.516908,[12 30] ; [17 24],[14.6746988 27.3253012] ; [14.3253012 26.6746988],0
p1,1,0.243588,1.359707,[ 3 42] ; [ 6 36],[ 4.65517241 40.34482759] ; [ 4.34482759 37.65517241],0
s5,1,0.264567,1.244698,[ 8 37] ; [ 4 38],[ 6.20689655 38.79310345] ; [ 5.79310345 36.20689655],0
