Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,8e-05,15.562261,[7 5] ; [ 15 100],[2.07874016 9.92125984] ; [19.92125984 95.07874016],1
p1,1,0.030207,4.697479,[4 8] ; [ 13 104],[ 1.58139535 10.41860465] ; [ 15.41860465 101.58139535],0
b5,1,0.032626,4.565296,[3 9] ; [67 50],[6.51162791 5.48837209] ; [63.48837209 53.51162791],0
v3,1,0.036131,4.390909,[8 3] ; [46 69],[4.71428571 6.28571429] ; [49.28571429 65.71428571],0
p12,1,0.037952,4.307171,[ 2 10] ; [  4 113],[ 0.55813953 11.44186047] ; [  5.44186047 111.55813953],0
v1,1,0.044324,4.044183,[10  2] ; [61 54],[6.70866142 5.29133858] ; [64.29133858 50.70866142],0
p4,1,0.082841,3.008257,[11  1] ; [79 38],[8.37209302 3.62790698] ; [81.62790698 35.37209302],0
d1,1,0.104436,2.636465,[9 3] ; [59 58],[6.3255814 5.6744186] ; [61.6744186 55.3255814],0
v2,1,0.108172,2.580731,[9 2] ; [66 50],[6.49606299 4.50393701] ; [68.50393701 47.49606299],0
s3,1,0.109195,2.565828,[ 1 11] ; [35 81],[3.375 8.625] ; [32.625 83.375],0
p7,1,0.165331,1.924781,[11  1] ; [86 31],[9.02325581 2.97674419] ; [87.97674419 29.02325581],0
d2,1,0.189508,1.721439,[7 5] ; [45 71],[4.875 7.125] ; [47.125 68.875],0
b3,1,0.223397,1.482414,[6 4] ; [29 44],[4.21686747 5.78313253] ; [30.78313253 42.21686747],0
b2,1,0.223397,1.482414,[6 4] ; [29 44],[4.21686747 5.78313253] ; [30.78313253 42.21686747],0
a3,1,0.230821,1.435792,[10  2] ; [77 39],[8.15625 3.84375] ; [78.84375 37.15625],0
s8,1,0.234425,1.413812,[5 7] ; [30 87],[3.25581395 8.74418605] ; [31.74418605 85.25581395],0
p10,1,0.260028,1.268609,[11  1] ; [91 26],[9.48837209 2.51162791] ; [92.51162791 24.48837209],0
s2,1,0.260028,1.268609,[ 1 11] ; [26 91],[2.51162791 9.48837209] ; [24.48837209 92.51162791],0
s1,1,0.272195,1.205654,[ 1 11] ; [  3 114],[ 0.37209302 11.62790698] ; [  3.62790698 113.37209302],0
p9,1,0.283762,1.148985,[11  1] ; [92 25],[9.58139535 2.41860465] ; [93.41860465 23.58139535],0
r2,1,0.289102,1.1238,[10  2] ; [108   9],[10.97674419  1.02325581] ; [107.02325581   9.97674419],0
r4,1,0.291778,1.1114,[9 3] ; [101  16],[10.23255814  1.76744186] ; [99.76744186 17.23255814],0
a6,1,0.333875,0.933811,[10  2] ; [82 35],[8.55813953 3.44186047] ; [83.44186047 33.55813953],0
b4,1,0.357702,0.845944,[5 7] ; [65 52],[6.51162791 5.48837209] ; [63.48837209 53.51162791],0
n5,1,0.36202,0.830875,[10  2] ; [83 34],[8.65116279 3.34883721] ; [84.34883721 32.65116279],0
s7,1,0.419698,0.651161,[5 7] ; [33 76],[3.76859504 8.23140496] ; [34.23140496 74.76859504],0
r3,1,0.425928,0.633901,[10  2] ; [106  11],[10.79069767  1.20930233] ; [105.20930233  11.79069767],0
p2,1,0.433698,0.6129,[11  1] ; [97 20],[10.04651163  1.95348837] ; [97.95348837 19.04651163],0
n2,1,0.449102,0.572917,[1 1] ; [15  5],[1.45454545 0.54545455] ; [14.54545455  5.45454545],0
a5,1,0.493015,0.46994,[10  2] ; [87 30],[9.02325581 2.97674419] ; [87.97674419 29.02325581],0
u1,1,0.511562,0.43087,[ 1 11] ; [18 99],[ 1.76744186 10.23255814] ; [17.23255814 99.76744186],0
a7,1,0.518118,0.417638,[8 4] ; [88 29],[8.93023256 3.06976744] ; [87.06976744 29.93023256],0
d3,1,0.520218,0.413462,[9 3] ; [77 40],[8. 4.] ; [78. 39.],0
n4,1,0.549982,0.357349,[9 3] ; [96 21],[9.76744186 2.23255814] ; [95.23255814 21.76744186],0
d4,1,0.570492,0.32186,[10  2] ; [89 28],[9.20930233 2.79069767] ; [89.79069767 27.20930233],0
d5,1,0.612444,0.256631,[10  2] ; [90 27],[9.30232558 2.69767442] ; [90.69767442 26.30232558],0
v4,1,0.747828,0.103365,[11  1] ; [110   7],[11.25581395  0.74418605] ; [109.74418605   7.25581395],0
p8,1,0.770535,0.085074,[8 4] ; [73 44],[7.53488372 4.46511628] ; [73.46511628 43.53488372],0
p6,1,0.781743,0.076756,[4 8] ; [43 72],[4.44094488 7.55905512] ; [42.55905512 72.44094488],0
a8,1,0.783806,0.075275,[ 1 10] ; [12 89],[1.27678571 9.72321429] ; [11.72321429 89.27678571],0
a2,1,0.802839,0.062337,[ 2 10] ; [23 94],[2.3255814 9.6744186] ; [22.6744186 94.3255814],0
b1,1,0.809632,0.058033,[5 7] ; [53 64],[5.39534884 6.60465116] ; [52.60465116 64.39534884],0
r1,1,0.961343,0.002349,[9 3] ; [87 30],[8.93023256 3.06976744] ; [87.06976744 29.93023256],0
a4,1,0.965714,0.001848,[5 7] ; [48 69],[4.93023256 7.06976744] ; [48.06976744 68.93023256],0
