Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,30.798947,[ 74 101] ; [69 19],[95.15209125 79.84790875] ; [47.84790875 40.15209125],1
p12,1,1e-06,23.397442,[  2 174] ; [15 77],[ 11.1641791 164.8358209] ; [ 5.8358209 86.1641791],1
v1,1,0.000684,11.531587,[77 98] ; [60 31],[90.13157895 84.86842105] ; [46.86842105 44.13157895],1
r4,1,0.001111,10.632634,[146  30] ; [89  3],[154.32835821  21.67164179] ; [80.67164179 11.32835821],0
r1,1,0.010751,6.506048,[126  49] ; [79 13],[134.36329588  40.63670412] ; [70.63670412 21.36329588],0
u1,1,0.023621,5.122218,[ 20 156] ; [20 72],[ 26.26865672 149.73134328] ; [13.73134328 78.26865672],0
s4,1,0.039528,4.238044,[ 32 141] ; [ 8 82],[ 26.31178707 146.68821293] ; [13.68821293 76.31178707],0
a2,1,0.067581,3.340814,[ 31 145] ; [25 67],[ 36.7761194 139.2238806] ; [19.2238806 72.7761194],0
p5,1,0.070091,3.280896,[ 17 158] ; [16 76],[ 21.62921348 153.37078652] ; [11.37078652 80.62921348],0
d2,1,0.077825,3.109753,[ 71 105] ; [47 44],[77.78277154 98.21722846] ; [40.21722846 50.78277154],0
n5,1,0.082022,3.024364,[125  49] ; [75 17],[130.82706767  43.17293233] ; [69.17293233 22.82706767],0
p3,1,0.084925,2.968038,[107  68] ; [66 26],[113.38951311  61.61048689] ; [59.61048689 32.38951311],0
v4,1,0.10226,2.669937,[161  15] ; [89  3],[164.17910448  11.82089552] ; [85.82089552  6.17910448],0
p8,1,0.114272,2.494119,[98 76] ; [61 31],[104.0075188  69.9924812] ; [54.9924812 37.0075188],0
r3,1,0.131758,2.271672,[161  14] ; [89  3],[163.8576779  11.1423221] ; [86.1423221  5.8576779],0
p7,1,0.151492,2.057163,[115  58] ; [69 23],[120.12075472  52.87924528] ; [63.87924528 28.12075472],0
b4,1,0.18247,1.777395,[98 78] ; [59 33],[103.10447761  72.89552239] ; [53.89552239 38.10447761],0
b2,1,0.18762,1.736205,[26 77] ; [20 37],[29.6125 73.3875] ; [16.3875 40.6125],0
b3,1,0.18762,1.736205,[26 77] ; [20 37],[29.6125 73.3875] ; [16.3875 40.6125],0
d1,1,0.207358,1.58978,[91 85] ; [55 37],[95.88059701 80.11940299] ; [50.11940299 41.88059701],0
n6,1,0.219438,1.508041,[144  31] ; [81 11],[147.47191011  27.52808989] ; [77.52808989 14.47191011],0
n4,1,0.226658,1.461712,[132  44] ; [75 17],[135.94029851  40.05970149] ; [71.05970149 20.94029851],0
p1,1,0.284802,1.144032,[ 14 162] ; [11 81],[ 16.41791045 159.58208955] ; [ 8.58208955 83.41791045],0
