Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.967093,[ 3 20] ; [80 22],[15.272  7.728] ; [67.728 34.272],1
v4,1,1e-06,23.997306,[ 9 14] ; [88 14],[17.848  5.152] ; [79.152 22.848],1
r1,1,3.4e-05,17.192384,[ 5 18] ; [70 32],[13.8  9.2] ; [61.2 40.8],1
r3,1,0.001953,9.593549,[12 11] ; [84 18],[17.664  5.336] ; [78.336 23.664],0
d1,1,0.008656,6.892419,[ 5 18] ; [53 49],[10.672 12.328] ; [47.328 54.672],0
s7,1,0.011728,6.351592,[ 1 20] ; [31 67],[ 5.64705882 15.35294118] ; [26.35294118 71.64705882],0
d5,1,0.013423,6.11243,[10 13] ; [72 30],[15.088  7.912] ; [66.912 35.088],0
p3,1,0.019024,5.499342,[ 2 20] ; [35 67],[ 6.56451613 15.43548387] ; [30.43548387 71.56451613],0
n6,1,0.019465,5.459242,[10 13] ; [70 31],[14.83870968  8.16129032] ; [65.16129032 35.83870968],0
s8,1,0.031208,4.641506,[ 2 21] ; [31 70],[ 6.12096774 16.87903226] ; [26.87903226 74.12096774],0
d3,1,0.051104,3.804872,[ 7 16] ; [54 48],[11.224 11.776] ; [49.776 52.224],0
s6,1,0.06231,3.4748,[ 6 17] ; [47 52],[ 9.99180328 13.00819672] ; [43.00819672 55.99180328],0
p11,1,0.067305,3.347556,[ 8 15] ; [57 45],[11.96 11.04] ; [53.04 48.96],0
s1,1,0.068731,3.313072,[ 4 19] ; [ 6 95],[ 1.85483871 21.14516129] ; [ 8.14516129 92.85483871],0
u3,1,0.080501,3.054754,[3 9] ; [23 20],[5.67272727 6.32727273] ; [20.32727273 22.67272727],0
s5,1,0.081711,3.030527,[ 2 21] ; [24 70],[ 5.11111111 17.88888889] ; [20.88888889 73.11111111],0
p6,1,0.082121,3.022417,[ 1 20] ; [21 80],[ 3.78688525 17.21311475] ; [18.21311475 82.78688525],0
a8,1,0.097347,2.748474,[ 4 18] ; [ 7 93],[ 1.98360656 20.01639344] ; [ 9.01639344 90.98360656],0
n2,1,0.110497,2.547094,[4 5] ; [33 13],[6.05454545 2.94545455] ; [30.94545455 15.05454545],0
p10,1,0.113276,2.507912,[ 8 14] ; [55 45],[11.36065574 10.63934426] ; [51.63934426 48.36065574],0
p9,1,0.12331,2.374768,[ 8 13] ; [56 43],[11.2  9.8] ; [52.8 46.2],0
s2,1,0.126882,2.330247,[ 5 18] ; [39 62],[ 8.16129032 14.83870968] ; [35.83870968 65.16129032],0
a5,1,0.129243,2.301578,[10 13] ; [62 40],[13.248  9.752] ; [58.752 43.248],0
p4,1,0.148284,2.089817,[ 4 19] ; [33 68],[ 6.86290323 16.13709677] ; [30.13709677 70.86290323],0
a4,1,0.148903,2.083456,[ 7 16] ; [47 53],[10.09756098 12.90243902] ; [43.90243902 56.09756098],0
p7,1,0.181045,1.789025,[ 5 18] ; [36 63],[ 7.7295082 15.2704918] ; [33.2704918 65.7295082],0
b1,1,0.186645,1.743904,[15  8] ; [51 51],[12.144 10.856] ; [53.856 48.144],0
n3,1,0.226116,1.465125,[4 5] ; [29 15],[5.60377358 3.39622642] ; [27.39622642 16.60377358],0
v1,1,0.231797,1.429801,[ 5 18] ; [35 66],[ 7.41935484 15.58064516] ; [32.58064516 68.41935484],0
p8,1,0.233537,1.41919,[ 3 19] ; [26 76],[ 5.14516129 16.85483871] ; [23.85483871 78.14516129],0
b4,1,0.284862,1.143747,[15  8] ; [54 48],[12.696 10.304] ; [56.304 45.696],0
d2,1,0.287975,1.129063,[ 8 15] ; [47 53],[10.28455285 12.71544715] ; [44.71544715 55.28455285],0
a2,1,0.29015,1.118926,[ 2 21] ; [18 84],[ 3.68 19.32] ; [16.32 85.68],0
u1,1,0.292529,1.107947,[ 1 22] ; [12 90],[ 2.392 20.608] ; [10.608 91.392],0
s4,1,0.300942,1.070015,[ 3 20] ; [23 78],[ 4.82258065 18.17741935] ; [21.17741935 79.82258065],0
a6,1,0.321514,0.982778,[10 13] ; [56 46],[12.144 10.856] ; [53.856 48.144],0
p1,1,0.323651,0.974137,[ 3 20] ; [ 7 95],[ 1.84 21.16] ; [ 8.16 93.84],0
a1,1,0.323651,0.974137,[ 3 20] ; [ 7 95],[ 1.84 21.16] ; [ 8.16 93.84],0
d4,1,0.422557,0.643192,[15  8] ; [75 27],[16.56  6.44] ; [73.44 28.56],0
v2,1,0.454835,0.558575,[ 7 15] ; [40 59],[ 8.54545455 13.45454545] ; [38.45454545 60.54545455],0
u2,1,0.459181,0.54789,[6 6] ; [16 26],[4.88888889 7.11111111] ; [17.11111111 24.88888889],0
a3,1,0.470092,0.521759,[11 11] ; [59 42],[12.5203252  9.4796748] ; [57.4796748 43.5203252],0
s3,1,0.482046,0.494231,[ 8 14] ; [45 56],[ 9.4796748 12.5203252] ; [43.5203252 57.4796748],0
n4,1,0.502458,0.44974,[12 11] ; [61 41],[13.432  9.568] ; [59.568 42.432],0
a7,1,0.682381,0.167458,[12 11] ; [58 44],[12.88 10.12] ; [57.12 44.88],0
b5,1,0.706216,0.142086,[13 10] ; [62 40],[13.8  9.2] ; [61.2 40.8],0
p5,1,0.712476,0.135817,[ 1 21] ; [ 3 97],[ 0.72131148 21.27868852] ; [ 3.27868852 96.72131148],0
n5,1,0.732496,0.116833,[15  8] ; [62 39],[14.28225806  8.71774194] ; [62.71774194 38.28225806],0
p12,1,0.735774,0.113876,[ 1 22] ; [ 3 98],[ 0.74193548 22.25806452] ; [ 3.25806452 97.74193548],0
n1,1,0.807541,0.059341,[4 5] ; [22 23],[4.33333333 4.66666667] ; [21.66666667 23.33333333],0
b2,1,0.843563,0.038942,[ 5 11] ; [22 43],[ 5.33333333 10.66666667] ; [21.66666667 43.33333333],0
b3,1,0.843563,0.038942,[ 5 11] ; [22 43],[ 5.33333333 10.66666667] ; [21.66666667 43.33333333],0
