Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000355,12.752679,[17 11] ; [19 61],[ 9.33333333 18.66666667] ; [26.66666667 53.33333333],1
p7,1,0.003737,8.407423,[22  6] ; [36 41],[15.46666667 12.53333333] ; [42.53333333 34.46666667],0
p8,1,0.006226,7.483693,[16 12] ; [23 58],[10.01834862 17.98165138] ; [28.98165138 52.01834862],0
p1,1,0.019557,5.451026,[ 6 22] ; [ 5 77],[ 2.8 25.2] ; [ 8.2 73.8],0
s6,1,0.044909,4.022069,[17 10] ; [33 48],[12.5 14.5] ; [37.5 43.5],0
r2,1,0.059178,3.560286,[26  2] ; [62 19],[22.60550459  5.39449541] ; [65.39449541 15.60550459],0
b4,1,0.063269,3.449541,[19  9] ; [39 43],[14.76363636 13.23636364] ; [43.23636364 38.76363636],0
b1,1,0.136002,2.222621,[14 14] ; [28 54],[10.69090909 17.30909091] ; [31.30909091 50.69090909],0
d3,1,0.140002,2.177936,[ 6 22] ; [30 52],[ 9.16363636 18.83636364] ; [26.83636364 55.16363636],0
p5,1,0.178759,1.807909,[ 4 24] ; [ 5 76],[ 2.31192661 25.68807339] ; [ 6.68807339 74.31192661],0
r4,1,0.180446,1.793947,[21  7] ; [50 32],[18.07272727  9.92727273] ; [52.92727273 29.07272727],0
p6,1,0.205573,1.602333,[ 9 17] ; [18 63],[ 6.56074766 19.43925234] ; [20.43925234 60.56074766],0
d2,1,0.21027,1.569567,[ 7 21] ; [12 70],[ 4.83636364 23.16363636] ; [14.16363636 67.83636364],0
n4,1,0.211225,1.56301,[19  9] ; [44 37],[16.18348624 11.81651376] ; [46.81651376 34.18348624],0
n6,1,0.251656,1.314087,[22  6] ; [55 27],[19.6  8.4] ; [57.4 24.6],0
v4,1,0.266717,1.233556,[25  3] ; [64 16],[23.07407407  4.92592593] ; [65.92592593 14.07407407],0
s7,1,0.274965,1.191809,[ 9 19] ; [17 61],[ 6.86792453 21.13207547] ; [19.13207547 58.86792453],0
