Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.076225,3.143601,[15  6] ; [1 3],[13.44  7.56] ; [2.56 1.44],0
u2,1,0.097635,2.743764,[1 6] ; [2 1],[2.1 4.9] ; [0.9 2.1],0
p8,1,0.105817,2.615602,[ 6 13] ; [3 1],[ 7.43478261 11.56521739] ; [1.56521739 2.43478261],0
s3,1,0.118991,2.430556,[ 7 14] ; [3 1],[ 8.4 12.6] ; [1.6 2.4],0
a3,1,0.118991,2.430556,[14  7] ; [1 3],[12.6  8.4] ; [2.4 1.6],0
n2,1,0.133614,2.25,[1 5] ; [2 1],[2. 4.] ; [1. 2.],0
s8,1,0.171495,1.869824,[ 1 20] ; [1 3],[ 1.68 19.32] ; [0.32 3.68],0
s2,1,0.184023,1.764829,[ 4 17] ; [2 2],[ 5.04 15.96] ; [0.96 3.04],0
b1,1,0.238271,1.390797,[ 9 12] ; [3 1],[10.08 10.92] ; [1.92 2.08],0
d4,1,0.28497,1.143235,[16  5] ; [2 2],[15.12  5.88] ; [2.88 1.12],0
p3,1,0.28497,1.143235,[ 5 16] ; [2 2],[ 5.88 15.12] ; [1.12 2.88],0
b5,1,0.315086,1.009234,[10 11] ; [3 1],[10.92 10.08] ; [2.08 1.92],0
d5,1,0.315086,1.009234,[11 10] ; [1 3],[10.08 10.92] ; [1.92 2.08],0
p1,1,0.382677,0.762085,[ 2 19] ; [1 3],[ 2.52 18.48] ; [0.48 3.52],0
s1,1,0.382677,0.762085,[ 2 19] ; [1 3],[ 2.52 18.48] ; [0.48 3.52],0
b3,1,0.422813,0.642483,[ 3 10] ; [1 1],[3.46666667 9.53333333] ; [0.53333333 1.46666667],0
b2,1,0.422813,0.642483,[ 3 10] ; [1 1],[3.46666667 9.53333333] ; [0.53333333 1.46666667],0
r1,1,0.504036,0.446429,[ 9 12] ; [1 3],[ 8.4 12.6] ; [1.6 2.4],0
p4,1,0.524471,0.405093,[ 7 14] ; [2 2],[ 7.56 13.44] ; [1.44 2.56],0
p10,1,0.617017,0.250083,[ 8 13] ; [1 3],[ 7.56 13.44] ; [1.44 2.56],0
a4,1,0.617017,0.250083,[ 8 13] ; [1 3],[ 7.56 13.44] ; [1.44 2.56],0
d2,1,0.656005,0.198413,[ 8 13] ; [2 2],[ 8.4 12.6] ; [1.6 2.4],0
a6,1,0.656005,0.198413,[ 8 13] ; [2 2],[ 8.4 12.6] ; [1.6 2.4],0
s6,1,0.656005,0.198413,[ 8 13] ; [2 2],[ 8.4 12.6] ; [1.6 2.4],0
d1,1,0.74332,0.10723,[ 7 14] ; [1 3],[ 6.72 14.28] ; [1.28 2.72],0
s5,1,0.785028,0.074405,[ 4 17] ; [1 3],[ 4.2 16.8] ; [0.8 3.2],0
r2,1,0.791959,0.069573,[12  9] ; [2 2],[11.76  9.24] ; [2.24 1.76],0
p9,1,0.791959,0.069573,[ 9 12] ; [2 2],[ 9.24 11.76] ; [1.76 2.24],0
p2,1,0.791959,0.069573,[ 9 12] ; [2 2],[ 9.24 11.76] ; [1.76 2.24],0
s7,1,0.794935,0.067552,[ 6 13] ; [1 3],[ 5.7826087 13.2173913] ; [1.2173913 2.7826087],0
n3,1,0.850436,0.035556,[3 2] ; [2 1],[3.125 1.875] ; [1.875 1.125],0
v2,1,0.884077,0.021259,[ 6 15] ; [1 3],[ 5.88 15.12] ; [1.12 2.88],0
n5,1,0.884077,0.021259,[ 6 15] ; [1 3],[ 5.88 15.12] ; [1.12 2.88],0
p11,1,0.930388,0.007631,[11 10] ; [2 2],[10.92 10.08] ; [2.08 1.92],0
a7,1,0.930388,0.007631,[11 10] ; [2 2],[10.92 10.08] ; [2.08 1.92],0
a5,1,0.930388,0.007631,[11 10] ; [2 2],[10.92 10.08] ; [2.08 1.92],0
s4,1,0.95925,0.002611,[ 5 16] ; [1 3],[ 5.04 15.96] ; [0.96 3.04],0
r4,1,0.95925,0.002611,[ 5 16] ; [1 3],[ 5.04 15.96] ; [0.96 3.04],0
n1,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
