Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.004215,8.188586,[ 4 27] ; [7 6],[ 7.75 23.25] ; [3.25 9.75],0
s8,1,0.012872,6.18668,[ 7 24] ; [8 5],[10.56818182 20.43181818] ; [4.43181818 8.56818182],0
b3,1,0.028574,4.793067,[ 2 15] ; [5 5],[ 4.40740741 12.59259259] ; [2.59259259 7.40740741],0
b2,1,0.028574,4.793067,[ 2 15] ; [5 5],[ 4.40740741 12.59259259] ; [2.59259259 7.40740741],0
p3,1,0.042203,4.127047,[ 7 24] ; [7 6],[ 9.86363636 21.13636364] ; [4.13636364 8.86363636],0
r1,1,0.042203,4.127047,[ 7 24] ; [7 6],[ 9.86363636 21.13636364] ; [4.13636364 8.86363636],0
n3,1,0.073638,3.2,[9 1] ; [3 3],[7.5 2.5] ; [4.5 1.5],0
s3,1,0.117895,2.445062,[ 7 24] ; [6 7],[ 9.15909091 21.84090909] ; [3.84090909 9.15909091],0
s6,1,0.119247,2.427181,[16 15] ; [10  3],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
a5,1,0.119247,2.427181,[16 15] ; [10  3],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
p7,1,0.119247,2.427181,[16 15] ; [10  3],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
d5,1,0.119247,2.427181,[16 15] ; [10  3],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
d4,1,0.129627,2.296963,[19 12] ; [11  2],[21.13636364  9.86363636] ; [8.86363636 4.13636364],0
v1,1,0.179662,1.800418,[10 21] ; [7 6],[11.97727273 19.02272727] ; [5.02272727 7.97727273],0
s5,1,0.181746,1.783292,[ 6 25] ; [5 8],[ 7.75 23.25] ; [3.25 9.75],0
b5,1,0.234929,1.410765,[18 13] ; [5 8],[16.20454545 14.79545455] ; [6.79545455 6.20454545],0
s4,1,0.272019,1.206538,[ 5 26] ; [4 9],[ 6.34090909 24.65909091] ; [ 2.65909091 10.34090909],0
p8,1,0.32155,0.98263,[14 17] ; [8 5],[15.5 15.5] ; [6.5 6.5],0
p10,1,0.340156,0.909843,[22  9] ; [11  2],[23.25  7.75] ; [9.75 3.25],0
a4,1,0.340156,0.909843,[ 9 22] ; [ 2 11],[ 7.75 23.25] ; [3.25 9.75],0
d2,1,0.375678,0.784798,[14 17] ; [4 9],[12.68181818 18.31818182] ; [5.31818182 7.68181818],0
p6,1,0.40122,0.704665,[ 8 23] ; [5 8],[ 9.15909091 21.84090909] ; [3.84090909 9.15909091],0
n1,1,0.423711,0.64,[3 7] ; [3 3],[3.75 6.25] ; [2.25 3.75],0
p4,1,0.425539,0.634969,[15 16] ; [8 5],[16.20454545 14.79545455] ; [6.79545455 6.20454545],0
a3,1,0.425539,0.634969,[15 16] ; [8 5],[16.20454545 14.79545455] ; [6.79545455 6.20454545],0
a8,1,0.435392,0.608397,[ 5 25] ; [ 1 12],[ 4.18604651 25.81395349] ; [ 1.81395349 11.18604651],0
p2,1,0.45167,0.566457,[23  8] ; [11  2],[23.95454545  7.04545455] ; [10.04545455  2.95454545],0
p9,1,0.45167,0.566457,[23  8] ; [11  2],[23.95454545  7.04545455] ; [10.04545455  2.95454545],0
b4,1,0.469111,0.524069,[18 13] ; [6 7],[16.90909091 14.09090909] ; [7.09090909 5.90909091],0
n4,1,0.487662,0.481682,[18 13] ; [9 4],[19.02272727 11.97727273] ; [7.97727273 5.02272727],0
s2,1,0.540089,0.375375,[ 9 22] ; [5 8],[ 9.86363636 21.13636364] ; [4.13636364 8.86363636],0
d1,1,0.542519,0.370891,[10 21] ; [ 3 10],[ 9.15909091 21.84090909] ; [3.84090909 9.15909091],0
a6,1,0.546328,0.363937,[16 15] ; [8 5],[16.90909091 14.09090909] ; [7.09090909 5.90909091],0
n2,1,0.550985,0.355556,[8 2] ; [4 2],[7.5 2.5] ; [4.5 1.5],0
p5,1,0.585633,0.297215,[ 5 26] ; [ 3 10],[ 5.63636364 25.36363636] ; [ 2.36363636 10.63636364],0
p12,1,0.586282,0.296189,[ 3 28] ; [ 2 11],[ 3.52272727 27.47727273] ; [ 1.47727273 11.52272727],0
d3,1,0.598735,0.276909,[17 14] ; [6 7],[16.20454545 14.79545455] ; [6.79545455 6.20454545],0
r4,1,0.617387,0.249557,[12 19] ; [4 9],[11.27272727 19.72727273] ; [4.72727273 8.27272727],0
u2,1,0.626928,0.23625,[11  5] ; [4 1],[11.42857143  4.57142857] ; [3.57142857 1.42857143],0
n6,1,0.735937,0.11373,[23  8] ; [9 4],[22.54545455  8.45454545] ; [9.45454545 3.54545455],0
b1,1,0.741078,0.109181,[15 16] ; [7 6],[15.5 15.5] ; [6.5 6.5],0
v4,1,0.763406,0.090608,[20 11] ; [9 4],[20.43181818 10.56818182] ; [8.56818182 4.43181818],0
p1,1,0.834464,0.043672,[ 3 28] ; [ 1 12],[ 2.81818182 28.18181818] ; [ 1.18181818 11.81818182],0
r3,1,0.858499,0.031786,[26  4] ; [11  2],[25.81395349  4.18604651] ; [11.18604651  1.81395349],0
u1,1,0.881579,0.022191,[ 2 29] ; [ 1 12],[ 2.11363636 28.88636364] ; [ 0.88636364 12.11363636],0
v2,1,0.892364,0.01831,[15 16] ; [6 7],[14.79545455 16.20454545] ; [6.20454545 6.79545455],0
n5,1,0.908273,0.013275,[22  9] ; [9 4],[21.84090909  9.15909091] ; [9.15909091 3.84090909],0
a7,1,0.951895,0.003639,[17 14] ; [7 6],[16.90909091 14.09090909] ; [7.09090909 5.90909091],0
