Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,24.289437,[16 30] ; [61 16],[28.79674797 17.20325203] ; [48.20325203 28.79674797],1
d3,1,2e-06,22.778031,[15 31] ; [58 18],[27.52459016 18.47540984] ; [45.47540984 30.52459016],1
d4,1,0.000135,14.574955,[22 23] ; [63 14],[31.35245902 13.64754098] ; [53.64754098 23.35245902],1
d5,1,0.001683,9.866998,[24 22] ; [61 16],[31.78861789 14.21138211] ; [53.21138211 23.78861789],0
b1,1,0.012142,6.289999,[29 17] ; [31 47],[22.25806452 23.74193548] ; [37.74193548 40.25806452],0
a2,1,0.019933,5.417751,[ 2 44] ; [15 63],[ 6.30645161 39.69354839] ; [10.69354839 67.30645161],0
a8,1,0.021165,5.313168,[ 1 42] ; [12 62],[ 4.77777778 38.22222222] ; [ 8.22222222 65.77777778],0
r3,1,0.023645,5.120463,[30 16] ; [64 13],[35.15447154 10.84552846] ; [58.84552846 18.15447154],0
d1,1,0.048982,3.875984,[13 33] ; [36 42],[18.17741935 27.82258065] ; [30.82258065 47.17741935],0
p8,1,0.050548,3.823199,[ 8 38] ; [25 49],[12.65 33.35] ; [20.35 53.65],0
b5,1,0.054926,3.68432,[22 24] ; [51 27],[27.08064516 18.91935484] ; [45.91935484 32.08064516],0
a5,1,0.057011,3.622283,[19 27] ; [46 32],[24.11290323 21.88709677] ; [40.88709677 37.11290323],0
p2,1,0.059366,3.554996,[21 24] ; [50 28],[25.97560976 19.02439024] ; [45.02439024 32.97560976],0
r1,1,0.069162,3.302802,[25 21] ; [55 23],[29.67741935 16.32258065] ; [50.32258065 27.67741935],0
p9,1,0.120078,2.416302,[22 22] ; [49 27],[26.03333333 17.96666667] ; [44.96666667 31.03333333],0
u1,1,0.136482,2.21718,[ 1 45] ; [ 7 71],[ 2.96774194 43.03225806] ; [ 5.03225806 72.96774194],0
r4,1,0.146067,2.11285,[24 22] ; [51 27],[27.82258065 18.17741935] ; [47.17741935 30.82258065],0
