Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,118.570356,[111  48] ; [ 13 135],[64.22149837 94.77850163] ; [59.77850163 88.22149837],1
s6,1,0.0,51.219833,[125  30] ; [59 87],[94.75083056 60.24916944] ; [89.24916944 56.75083056],1
s7,1,0.0,34.461014,[89 64] ; [ 34 106],[64.22866894 88.77133106] ; [58.77133106 81.22866894],1
s8,1,3e-06,22.134322,[76 83] ; [ 33 116],[ 56.26948052 102.73051948] ; [52.73051948 96.26948052],1
p7,1,0.002682,9.01206,[107  44] ; [80 68],[94.43812709 56.56187291] ; [92.56187291 55.43812709],0
s5,1,0.006527,7.398855,[ 53 100] ; [ 30 116],[ 42.47157191 110.52842809] ; [ 40.52842809 105.47157191],0
n2,1,0.011286,6.419688,[31  2] ; [29 12],[26.75675676  6.24324324] ; [33.24324324  7.75675676],0
s4,1,0.024609,5.051159,[ 33 125] ; [ 17 132],[ 25.73289902 132.26710098] ; [ 24.26710098 124.73289902],0
r2,1,0.030169,4.699663,[145  11] ; [127  22],[139.12131148  16.87868852] ; [132.87868852  16.12131148],0
n4,1,0.050044,3.839998,[121  38] ; [99 51],[113.2038835  45.7961165] ; [106.7961165  43.2038835],0
r1,1,0.093189,2.818398,[120  38] ; [101  49],[113.37012987  44.62987013] ; [107.62987013  42.37012987],0
v4,1,0.126068,2.340265,[149   6] ; [138  12],[145.85245902   9.14754098] ; [141.14754098   8.85245902],0
p2,1,0.129302,2.300868,[134  22] ; [119  31],[128.98039216  27.01960784] ; [124.01960784  25.98039216],0
d4,1,0.176531,1.826585,[100  59] ; [83 67],[94.16504854 64.83495146] ; [88.83495146 61.16504854],0
a8,1,0.176805,1.82428,[ 25 124] ; [ 16 126],[ 20.99312715 128.00687285] ; [ 20.00687285 121.99312715],0
s1,1,0.225116,1.471459,[  7 150] ; [  3 147],[  5.11400651 151.88599349] ; [  4.88599349 145.11400651],0
a7,1,0.238026,1.392246,[94 64] ; [99 51],[99.00649351 58.99350649] ; [93.99350649 56.00649351],0
p1,1,0.24452,1.354343,[ 10 146] ; [ 15 134],[ 12.78688525 143.21311475] ; [ 12.21311475 136.78688525],0
a3,1,0.259233,1.27285,[97 62] ; [82 68],[92.10679612 66.89320388] ; [86.89320388 63.10679612],0
p10,1,0.29306,1.105512,[130  25] ; [118  31],[126.44736842  28.55263158] ; [121.55263158  27.44736842],0
p5,1,0.297901,1.083569,[ 14 142] ; [ 19 131],[ 16.82352941 139.17647059] ; [ 16.17647059 133.82352941],0
v1,1,0.349266,0.876124,[78 75] ; [67 80],[73.95 79.05] ; [71.05 75.95],0
a5,1,0.35244,0.864653,[86 73] ; [89 61],[90.04854369 68.95145631] ; [84.95145631 65.04854369],0
n5,1,0.374807,0.787666,[115  41] ; [103  46],[111.50163934  44.49836066] ; [106.49836066  42.50163934],0
r3,1,0.382461,0.762775,[151   7] ; [139  10],[149.25081433   8.74918567] ; [140.74918567   8.25081433],0
r4,1,0.389704,0.739864,[139  20] ; [126  24],[136.3592233  22.6407767] ; [128.6407767  21.3592233],0
v3,1,0.436328,0.605922,[ 51 106] ; [ 42 106],[ 47.87213115 109.12786885] ; [ 45.12786885 102.87213115],0
a1,1,0.488871,0.479011,[  5 154] ; [  7 143],[  6.17475728 152.82524272] ; [  5.82524272 144.17475728],0
n1,1,0.500739,0.45337,[15 17] ; [16 25],[13.5890411 18.4109589] ; [17.4109589 23.5890411],0
d3,1,0.528779,0.396737,[66 93] ; [57 93],[63.29126214 95.70873786] ; [59.70873786 90.29126214],0
