Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.006929,7.29134,[26  4] ; [11 10],[21.76470588  8.23529412] ; [15.23529412  5.76470588],0
b5,1,0.007398,7.173626,[20 10] ; [ 6 15],[15.29411765 14.70588235] ; [10.70588235 10.29411765],0
v4,1,0.007762,7.087486,[29  1] ; [14  6],[25.8  4.2] ; [17.2  2.8],0
n6,1,0.016358,5.763994,[27  3] ; [13  8],[23.52941176  6.47058824] ; [16.47058824  4.52941176],0
d2,1,0.061582,3.494267,[ 8 22] ; [11 10],[11.17647059 18.82352941] ; [ 7.82352941 13.17647059],0
s5,1,0.069562,3.293337,[ 6 23] ; [ 9 11],[ 8.87755102 20.12244898] ; [ 6.12244898 13.87755102],0
b1,1,0.123323,2.374603,[ 8 22] ; [10 11],[10.58823529 19.41176471] ; [ 7.41176471 13.58823529],0
p3,1,0.123546,2.37178,[12 18] ; [13  8],[14.70588235 15.29411765] ; [10.29411765 10.70588235],0
s7,1,0.154119,2.030998,[ 6 24] ; [ 8 13],[ 8.23529412 21.76470588] ; [ 5.76470588 15.23529412],0
s3,1,0.154119,2.030998,[ 6 24] ; [ 8 13],[ 8.23529412 21.76470588] ; [ 5.76470588 15.23529412],0
b4,1,0.173744,1.85034,[20 10] ; [10 11],[17.64705882 12.35294118] ; [12.35294118  8.64705882],0
r3,1,0.182004,1.781188,[27  3] ; [16  5],[25.29411765  4.70588235] ; [17.70588235  3.29411765],0
r1,1,0.227385,1.457143,[22  8] ; [12  9],[20. 10.] ; [14.  7.],0
v2,1,0.236907,1.398903,[15 15] ; [ 7 14],[12.94117647 17.05882353] ; [ 9.05882353 11.94117647],0
d5,1,0.254838,1.296587,[23  7] ; [13  8],[21.17647059  8.82352941] ; [14.82352941  6.17647059],0
d4,1,0.282239,1.156275,[24  6] ; [14  7],[22.35294118  7.64705882] ; [15.64705882  5.35294118],0
v1,1,0.28322,1.151574,[13 17] ; [ 6 15],[11.17647059 18.82352941] ; [ 7.82352941 13.17647059],0
p7,1,0.28322,1.151574,[17 13] ; [15  6],[18.82352941 11.17647059] ; [13.17647059  7.82352941],0
a6,1,0.283272,1.151323,[16 14] ; [ 8 13],[14.11764706 15.88235294] ; [ 9.88235294 11.11764706],0
a3,1,0.303762,1.057604,[20 10] ; [11 10],[18.23529412 11.76470588] ; [12.76470588  8.23529412],0
n2,1,0.310437,1.028815,[6 1] ; [5 3],[5.13333333 1.86666667] ; [5.86666667 2.13333333],0
a5,1,0.344354,0.894156,[21  9] ; [12  9],[19.41176471 10.58823529] ; [13.58823529  7.41176471],0
b2,1,0.355363,0.854214,[ 6 13] ; [ 2 10],[ 4.90322581 14.09677419] ; [3.09677419 8.90322581],0
b3,1,0.355363,0.854214,[ 6 13] ; [ 2 10],[ 4.90322581 14.09677419] ; [3.09677419 8.90322581],0
p1,1,0.367845,0.810932,[ 2 28] ; [ 3 18],[ 2.94117647 27.05882353] ; [ 2.05882353 18.94117647],0
v3,1,0.389852,0.739405,[ 9 20] ; [ 4 16],[ 7.69387755 21.30612245] ; [ 5.30612245 14.69387755],0
r4,1,0.477575,0.504396,[24  6] ; [15  6],[22.94117647  7.05882353] ; [16.05882353  4.94117647],0
p4,1,0.524065,0.405886,[17 13] ; [10 11],[15.88235294 14.11764706] ; [11.11764706  9.88235294],0
r2,1,0.528733,0.396825,[26  4] ; [16  4],[25.2  4.8] ; [16.8  3.2],0
d1,1,0.543007,0.369996,[14 16] ; [ 8 13],[12.94117647 17.05882353] ; [ 9.05882353 11.94117647],0
p6,1,0.546136,0.364286,[ 9 21] ; [ 8 13],[10. 20.] ; [ 7. 14.],0
p9,1,0.607083,0.264444,[22  8] ; [14  7],[21.17647059  8.82352941] ; [14.82352941  6.17647059],0
p10,1,0.672704,0.178456,[23  7] ; [15  6],[22.35294118  7.64705882] ; [15.64705882  5.35294118],0
n4,1,0.708349,0.139932,[17 13] ; [13  8],[17.64705882 12.35294118] ; [12.35294118  8.64705882],0
n5,1,0.718326,0.130102,[20 10] ; [15  6],[20.58823529  9.41176471] ; [14.41176471  6.58823529],0
p5,1,0.776011,0.080952,[ 2 28] ; [ 1 20],[ 1.76470588 28.23529412] ; [ 1.23529412 19.76470588],0
p12,1,0.795891,0.06691,[ 1 29] ; [ 1 20],[ 1.17647059 28.82352941] ; [ 0.82352941 20.17647059],0
p11,1,0.806336,0.060101,[19 11] ; [14  7],[19.41176471 10.58823529] ; [13.58823529  7.41176471],0
s6,1,0.811964,0.056593,[19 11] ; [12  8],[18.6 11.4] ; [12.4  7.6],0
a4,1,0.817764,0.053094,[ 8 22] ; [ 5 16],[ 7.64705882 22.35294118] ; [ 5.35294118 15.64705882],0
n1,1,0.832662,0.044643,[3 4] ; [3 5],[2.8 4.2] ; [3.2 4.8],0
p8,1,0.845025,0.038208,[13 16] ; [10 11],[13.34 15.66] ; [ 9.66 11.34],0
n3,1,0.875996,0.024351,[5 2] ; [6 2],[5.13333333 1.86666667] ; [5.86666667 2.13333333],0
p2,1,0.880754,0.022504,[22  8] ; [15  6],[21.76470588  8.23529412] ; [15.23529412  5.76470588],0
s8,1,0.968527,0.001557,[ 7 23] ; [ 5 16],[ 7.05882353 22.94117647] ; [ 4.94117647 16.05882353],0
u2,1,1.0,0.0,[4 6] ; [4 6],[4. 6.] ; [4. 6.],0
u3,1,1.0,0.0,[5 5] ; [5 5],[5. 5.] ; [5. 5.],0
