Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.897655,[52 15] ; [ 2 12],[44.66666667 22.33333333] ; [9.33333333 4.66666667],1
r1,1,0.000416,12.460928,[44 23] ; [ 2 12],[38.04938272 28.95061728] ; [7.95061728 6.04938272],1
v4,1,0.000595,11.791571,[54 13] ; [5 9],[48.80246914 18.19753086] ; [10.19753086  3.80246914],1
r3,1,0.009963,6.641557,[55 12] ; [7 7],[51.28395062 15.71604938] ; [10.71604938  3.28395062],0
d5,1,0.025476,4.991258,[41 26] ; [ 4 10],[37.22222222 29.77777778] ; [7.77777778 6.22222222],0
a4,1,0.038582,4.279188,[29 37] ; [ 2 12],[25.575 40.425] ; [5.425 8.575],0
s8,1,0.073611,3.200609,[26 40] ; [ 2 12],[23.1 42.9] ; [4.9 9.1],0
s5,1,0.082695,3.011123,[18 43] ; [ 1 13],[15.45333333 45.54666667] ; [ 3.54666667 10.45333333],0
p5,1,0.082718,3.010681,[ 2 63] ; [ 2 12],[ 3.29113924 61.70886076] ; [ 0.70886076 13.29113924],0
d1,1,0.096448,2.763326,[25 42] ; [ 2 12],[22.33333333 44.66666667] ; [4.66666667 9.33333333],0
p1,1,0.111168,2.537534,[ 5 62] ; [ 3 11],[ 6.61728395 60.38271605] ; [ 1.38271605 12.61728395],0
n5,1,0.118376,2.438672,[37 29] ; [11  3],[39.6 26.4] ; [8.4 5.6],0
s7,1,0.139972,2.17827,[23 40] ; [ 2 11],[20.72368421 42.27631579] ; [4.27631579 8.72368421],0
a5,1,0.152108,2.050985,[38 29] ; [5 9],[35.56790123 31.43209877] ; [7.43209877 6.56790123],0
u3,1,0.180521,1.793331,[17 13] ; [2 5],[15.40540541 14.59459459] ; [3.59459459 3.40540541],0
d2,1,0.228118,1.452561,[30 35] ; [ 4 10],[27.97468354 37.02531646] ; [6.02531646 7.97468354],0
p11,1,0.247216,1.338969,[40 27] ; [6 8],[38.04938272 28.95061728] ; [7.95061728 6.04938272],0
v2,1,0.285676,1.139888,[24 38] ; [ 3 10],[22.32 39.68] ; [4.68 8.32],0
s6,1,0.30647,1.045826,[33 32] ; [5 9],[31.26582278 33.73417722] ; [6.73417722 7.26582278],0
d4,1,0.320846,0.985494,[43 24] ; [7 7],[41.35802469 25.64197531] ; [8.64197531 5.35802469],0
s3,1,0.328346,0.955409,[30 36] ; [4 9],[28.40506329 37.59493671] ; [5.59493671 7.40506329],0
s2,1,0.336552,0.923521,[28 38] ; [ 4 10],[26.4 39.6] ; [5.6 8.4],0
b2,1,0.342653,0.900482,[20 23] ; [3 7],[18.66037736 24.33962264] ; [4.33962264 5.66037736],0
b3,1,0.342653,0.900482,[20 23] ; [3 7],[18.66037736 24.33962264] ; [4.33962264 5.66037736],0
d3,1,0.400711,0.70619,[22 45] ; [ 3 11],[20.67901235 46.32098765] ; [4.32098765 9.67901235],0
a6,1,0.41162,0.674118,[27 40] ; [ 4 10],[25.64197531 41.35802469] ; [5.35802469 8.64197531],0
u2,1,0.433627,0.613089,[13 16] ; [2 5],[12.08333333 16.91666667] ; [2.91666667 4.08333333],0
b1,1,0.469802,0.522441,[36 31] ; [9 5],[37.22222222 29.77777778] ; [7.77777778 6.22222222],0
n6,1,0.470775,0.520156,[41 26] ; [10  4],[42.18518519 24.81481481] ; [8.81481481 5.18518519],0
n3,1,0.4829,0.492308,[17  9] ; [3 3],[16.25  9.75] ; [3.75 2.25],0
b4,1,0.523109,0.407759,[35 32] ; [6 8],[33.91358025 33.08641975] ; [7.08641975 6.91358025],0
p3,1,0.525031,0.403999,[20 47] ; [ 3 11],[19.02469136 47.97530864] ; [ 3.97530864 10.02469136],0
p9,1,0.562271,0.335788,[33 32] ; [5 7],[32.07792208 32.92207792] ; [5.92207792 6.07792208],0
s4,1,0.572102,0.319177,[14 53] ; [ 2 12],[13.2345679 53.7654321] ; [ 2.7654321 11.2345679],0
v3,1,0.623117,0.241511,[17 44] ; [ 3 11],[16.26666667 44.73333333] ; [ 3.73333333 10.26666667],0
n2,1,0.638994,0.220061,[22  7] ; [4 2],[21.54285714  7.45714286] ; [4.45714286 1.54285714],0
s1,1,0.707184,0.141106,[ 7 58] ; [ 2 12],[ 7.40506329 57.59493671] ; [ 1.59493671 12.40506329],0
p10,1,0.715407,0.132936,[29 37] ; [5 8],[28.40506329 37.59493671] ; [5.59493671 7.40506329],0
b5,1,0.721189,0.127356,[30 37] ; [7 7],[30.60493827 36.39506173] ; [6.39506173 7.60493827],0
a3,1,0.721189,0.127356,[37 30] ; [7 7],[36.39506173 30.60493827] ; [7.60493827 6.39506173],0
p4,1,0.729701,0.119387,[22 44] ; [ 4 10],[21.45 44.55] ; [4.55 9.45],0
n1,1,0.749139,0.102256,[16 12] ; [3 3],[15.64705882 12.35294118] ; [3.35294118 2.64705882],0
p8,1,0.862547,0.029975,[13 54] ; [ 3 11],[13.2345679 53.7654321] ; [ 2.7654321 11.2345679],0
a8,1,0.868297,0.027497,[ 4 63] ; [ 1 13],[ 4.13580247 62.86419753] ; [ 0.86419753 13.13580247],0
p7,1,0.871153,0.026307,[20 45] ; [ 4 10],[19.74683544 45.25316456] ; [4.25316456 9.74683544],0
p12,1,0.879228,0.023088,[ 4 62] ; [ 1 13],[ 4.125 61.875] ; [ 0.875 13.125],0
v1,1,0.879228,0.023088,[25 41] ; [5 9],[24.75 41.25] ; [5.25 8.75],0
a1,1,0.966851,0.001727,[ 5 62] ; [ 1 13],[ 4.96296296 62.03703704] ; [ 1.03703704 12.96296296],0
n4,1,0.97663,0.000858,[38 29] ; [8 6],[38.04938272 28.95061728] ; [7.95061728 6.04938272],0
