Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,126.310565,[ 8 40] ; [296  42],[37.80310881 10.19689119] ; [266.19689119  71.80310881],1
v4,1,0.0,61.711139,[26 22] ; [313  23],[42.375  5.625] ; [296.625  39.375],1
r1,1,0.0,38.964477,[15 33] ; [252  82],[33.54973822 14.45026178] ; [233.45026178 100.54973822],1
r3,1,0.0,27.560502,[30 17] ; [307  31],[41.14025974  5.85974026] ; [295.85974026  42.14025974],1
d5,1,4e-06,21.163257,[22 26] ; [261  77],[35.19170984 12.80829016] ; [247.80829016  90.19170984],1
a6,1,0.000139,14.518809,[19 29] ; [229 109],[30.83937824 17.16062176] ; [217.16062176 120.83937824],1
d1,1,0.00015,14.3779,[10 38] ; [169 169],[22.25906736 25.74093264] ; [156.74093264 181.25906736],1
p10,1,0.000686,11.52739,[23 24] ; [245  90],[32.97382199 14.02617801] ; [235.02617801  99.97382199],1
s3,1,0.001113,10.628833,[12 35] ; [171 165],[22.45691906 24.54308094] ; [160.54308094 175.45691906],0
s6,1,0.00168,9.870378,[16 32] ; [192 142],[26.13612565 21.86387435] ; [181.86387435 152.13612565],0
u3,1,0.001745,9.8,[ 5 19] ; [67 53],[12. 12.] ; [60. 60.],0
a7,1,0.001827,9.715487,[23 25] ; [238 100],[32.45595855 15.54404145] ; [228.54404145 109.45595855],0
a5,1,0.002134,9.430153,[22 26] ; [231 107],[31.4611399 16.5388601] ; [221.5388601 116.4611399],0
b1,1,0.003557,8.49737,[28 20] ; [123 215],[18.77720207 29.22279793] ; [132.22279793 205.77720207],0
s2,1,0.005764,7.62265,[ 9 39] ; [132 204],[17.625 30.375] ; [123.375 212.625],0
a1,1,0.007171,7.22969,[ 5 43] ; [  9 329],[ 1.74093264 46.25906736] ; [ 12.25906736 325.74093264],0
p2,1,0.007739,7.092985,[28 20] ; [258  80],[35.56476684 12.43523316] ; [250.43523316  87.56476684],0
p9,1,0.008174,6.994874,[27 19] ; [255  77],[34.31746032 11.68253968] ; [247.68253968  84.31746032],0
p11,1,0.009411,6.743104,[26 22] ; [245  93],[33.69948187 14.30051813] ; [237.30051813 100.69948187],0
a2,1,0.00992,6.649152,[ 2 46] ; [ 65 273],[ 8.33160622 39.66839378] ; [ 58.66839378 279.33160622],0
n6,1,0.016733,5.724205,[29 18] ; [261  75],[35.58746736 11.41253264] ; [254.41253264  81.58746736],0
s7,1,0.024572,5.053828,[ 8 36] ; [114 210],[14.58695652 29.41304348] ; [107.41304348 216.58695652],0
p3,1,0.024939,5.028146,[ 9 39] ; [118 219],[15.83376623 32.16623377] ; [111.16623377 225.83376623],0
u1,1,0.027178,4.879437,[ 1 47] ; [ 44 294],[ 5.59585492 42.40414508] ; [ 39.40414508 298.59585492],0
a4,1,0.028211,4.815102,[11 37] ; [132 204],[17.875 30.125] ; [125.125 210.875],0
v1,1,0.033873,4.501088,[11 37] ; [127 201],[17.61702128 30.38297872] ; [120.38297872 207.61702128],0
d2,1,0.034298,4.479764,[13 35] ; [145 191],[19.75 28.25] ; [138.25 197.75],0
s8,1,0.034866,4.451721,[ 7 41] ; [ 98 239],[13.09090909 34.90909091] ; [ 91.90909091 245.09090909],0
d3,1,0.038,4.305026,[22 26] ; [208 130],[28.60103627 19.39896373] ; [201.39896373 136.60103627],0
d4,1,0.04059,4.193068,[30 18] ; [257  80],[35.78181818 12.21818182] ; [251.21818182  85.78181818],0
s1,1,0.04273,4.10604,[ 4 44] ; [  9 327],[ 1.625 46.375] ; [ 11.375 324.625],0
s5,1,0.050118,3.837501,[ 6 42] ; [ 83 244],[11.392 36.608] ; [ 77.608 249.392],0
n4,1,0.060802,3.515376,[26 22] ; [228 108],[31.75 16.25] ; [222.25 113.75],0
a3,1,0.072284,3.230368,[24 23] ; [217 119],[29.57441253 17.42558747] ; [211.42558747 124.57441253],0
p8,1,0.081797,3.028823,[12 35] ; [129 205],[17.39370079 29.60629921] ; [123.60629921 210.39370079],0
v2,1,0.123653,2.370432,[12 35] ; [120 204],[16.72237197 30.27762803] ; [115.27762803 208.72237197],0
p7,1,0.159462,1.979317,[17 31] ; [153 178],[21.53034301 26.46965699] ; [148.46965699 182.53034301],0
b5,1,0.19571,1.674106,[25 23] ; [209 129],[29.0984456 18.9015544] ; [204.9015544 133.0984456],0
n5,1,0.226891,1.460244,[28 20] ; [225 110],[31.7075718 16.2924282] ; [221.2924282 113.7075718],0
p5,1,0.279245,1.170761,[ 4 43] ; [ 16 320],[ 2.45430809 44.54569191] ; [ 17.54569191 318.45430809],0
n1,1,0.280589,1.164233,[ 6 15] ; [40 57],[ 8.18644068 12.81355932] ; [37.81355932 59.18644068],0
p4,1,0.388525,0.743555,[17 31] ; [141 195],[19.75 28.25] ; [138.25 197.75],0
b4,1,0.4785,0.502279,[30 18] ; [193 145],[27.73056995 20.26943005] ; [195.26943005 142.73056995],0
b3,1,0.493891,0.468039,[ 7 23] ; [ 55 132],[ 8.57142857 21.42857143] ; [ 53.42857143 133.57142857],0
b2,1,0.493891,0.468039,[ 7 23] ; [ 55 132],[ 8.57142857 21.42857143] ; [ 53.42857143 133.57142857],0
n2,1,0.523913,0.406184,[13  8] ; [67 30],[14.23728814  6.76271186] ; [65.76271186 31.23728814],0
p1,1,0.584029,0.299766,[ 3 45] ; [ 15 321],[ 2.25 45.75] ; [ 15.75 320.25],0
n3,1,0.609324,0.261161,[13  8] ; [65 31],[14.  7.] ; [64. 32.],0
p12,1,0.655299,0.199284,[ 1 47] ; [ 11 324],[ 1.50391645 46.49608355] ; [ 10.49608355 324.50391645],0
u2,1,0.678633,0.171669,[12 12] ; [54 65],[11.07692308 12.92307692] ; [54.92307692 64.07692308],0
