Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000515,12.061827,[10  4] ; [ 90 231],[4.17910448 9.82089552] ; [ 95.82089552 225.17910448],1
p1,1,0.006622,7.372782,[ 3 11] ; [ 15 305],[ 0.75449102 13.24550898] ; [ 17.24550898 302.75449102],0
s5,1,0.013153,6.148433,[7 7] ; [ 68 247],[ 3.19148936 10.80851064] ; [ 71.80851064 243.19148936],0
p4,1,0.017744,5.621262,[9 4] ; [117 202],[4.93373494 8.06626506] ; [121.06626506 197.93373494],0
a8,1,0.026039,4.953446,[ 4 10] ; [ 29 267],[ 1.49032258 12.50967742] ; [ 31.50967742 264.49032258],0
s7,1,0.034464,4.471559,[8 5] ; [101 204],[4.45597484 8.54402516] ; [104.54402516 200.45597484],0
s8,1,0.037563,4.324707,[7 6] ; [ 88 234],[3.68656716 9.31343284] ; [ 91.31343284 230.68656716],0
r2,1,0.067093,3.352734,[10  4] ; [280  38],[12.22891566  1.77108434] ; [277.77108434  40.22891566],0
s6,1,0.06768,3.338411,[10  3] ; [163 156],[6.77409639 6.22590361] ; [166.22590361 152.77409639],0
r3,1,0.073191,3.209956,[10  4] ; [281  39],[12.19760479  1.80239521] ; [278.80239521  41.19760479],0
s2,1,0.077444,3.117737,[ 2 12] ; [120 200],[5.11377246 8.88622754] ; [116.88622754 203.11377246],0
a5,1,0.08004,3.064088,[12  2] ; [202 120],[8.91666667 5.08333333] ; [205.08333333 116.91666667],0
v2,1,0.188426,1.729884,[ 3 10] ; [127 180],[5.28125 7.71875] ; [124.71875 182.28125],0
a4,1,0.233783,1.417695,[ 3 11] ; [119 202],[5.09850746 8.90149254] ; [116.90149254 204.09850746],0
r1,1,0.241264,1.373194,[12  2] ; [229  92],[10.07164179  3.92835821] ; [230.92835821  90.07164179],0
d2,1,0.277324,1.180159,[8 6] ; [135 183],[6.03012048 7.96987952] ; [136.96987952 181.03012048],0
a2,1,0.284958,1.143289,[ 1 13] ; [ 59 263],[ 2.5 11.5] ; [ 57.5 264.5],0
v4,1,0.307374,1.041926,[11  3] ; [281  39],[12.23952096  1.76047904] ; [279.76047904  40.23952096],0
b3,1,0.307822,1.039998,[4 6] ; [ 45 132],[2.62032086 7.37967914] ; [ 46.37967914 130.62032086],0
b2,1,0.307822,1.039998,[4 6] ; [ 45 132],[2.62032086 7.37967914] ; [ 46.37967914 130.62032086],0
p7,1,0.309055,1.03471,[8 6] ; [137 179],[6.15151515 7.84848485] ; [138.84848485 177.15151515],0
s3,1,0.369605,0.804992,[5 9] ; [152 165],[6.64048338 7.35951662] ; [150.35951662 166.64048338],0
p8,1,0.386956,0.748485,[6 7] ; [110 209],[4.54216867 8.45783133] ; [111.45783133 207.54216867],0
n6,1,0.395431,0.722175,[11  2] ; [238  83],[9.69161677 3.30838323] ; [239.30838323  81.69161677],0
