Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,31.249755,[ 29 105] ; [89 78],[52.53156146 81.46843854] ; [ 65.46843854 101.53156146],1
v1,1,0.0,26.745428,[50 83] ; [114  55],[72.22516556 60.77483444] ; [91.77483444 77.22516556],1
p10,1,0.0003,13.072631,[88 45] ; [142  27],[101.29139073  31.70860927] ; [128.70860927  40.29139073],1
r3,1,0.001006,10.815645,[114  20] ; [163   7],[122.09868421  11.90131579] ; [154.90131579  15.09868421],0
p7,1,0.001027,10.778746,[64 69] ; [113  56],[77.95033113 55.04966887] ; [99.04966887 69.95033113],0
d3,1,0.001164,10.547287,[72 63] ; [122  49],[85.58823529 49.41176471] ; [108.41176471  62.58823529],0
d1,1,0.001275,10.378326,[62 73] ; [110  61],[75.88235294 59.11764706] ; [96.11764706 74.88235294],0
p3,1,0.001574,9.990124,[52 82] ; [97 73],[65.67763158 68.32236842] ; [83.32236842 86.67763158],0
v4,1,0.004619,8.022892,[115  20] ; [162   9],[122.20588235  12.79411765] ; [154.79411765  16.20588235],0
r1,1,0.004759,7.968631,[91 43] ; [140  31],[101.48852459  32.51147541] ; [129.51147541  41.48852459],0
p4,1,0.005179,7.815724,[65 69] ; [109  60],[76.95049505 57.04950495] ; [97.04950495 71.95049505],0
r4,1,0.005216,7.802938,[105  30] ; [153  18],[113.82352941  21.17647059] ; [144.17647059  26.82352941],0
d4,1,0.006186,7.495426,[98 37] ; [145  25],[107.55737705  27.44262295] ; [135.44262295  34.55737705],0
p11,1,0.008152,6.99981,[93 42] ; [140  31],[102.79411765  32.20588235] ; [130.20588235  40.79411765],0
d5,1,0.008845,6.853862,[101  34] ; [148  23],[109.85294118  25.14705882] ; [139.14705882  31.85294118],0
p2,1,0.011327,6.413306,[95 38] ; [142  28],[104.02970297  28.97029703] ; [132.97029703  37.02970297],0
n3,1,0.018138,5.58281,[20 14] ; [28  5],[24.35820896  9.64179104] ; [23.64179104  9.35820896],0
p9,1,0.024304,5.072782,[96 36] ; [141  28],[103.93355482  28.06644518] ; [133.06644518  35.93355482],0
n6,1,0.03987,4.223413,[107  26] ; [152  19],[113.3125  19.6875] ; [145.6875  25.3125],0
u1,1,0.044638,4.032281,[ 16 119] ; [ 35 136],[ 22.5 112.5] ; [ 28.5 142.5],0
p6,1,0.05223,3.768377,[38 95] ; [ 66 102],[45.95348837 87.04651163] ; [ 58.04651163 109.95348837],0
p8,1,0.054029,3.711798,[58 75] ; [91 75],[66.27759197 66.72240803] ; [82.72240803 83.27759197],0
s8,1,0.089708,2.879598,[ 31 103] ; [ 54 115],[37.59075908 96.40924092] ; [ 47.40924092 121.59075908],0
d2,1,0.091864,2.841401,[59 74] ; [92 78],[66.28052805 66.71947195] ; [84.71947195 85.28052805],0
s5,1,0.094363,2.79833,[ 25 106] ; [ 46 122],[31.10702341 99.89297659] ; [ 39.89297659 128.10702341],0
a4,1,0.094408,2.797557,[58 76] ; [90 80],[65.23684211 68.76315789] ; [82.76315789 87.23684211],0
s1,1,0.137487,2.20586,[  5 128] ; [  2 168],[  3.07260726 129.92739274] ; [  3.92739274 166.07260726],0
a2,1,0.146514,2.108179,[ 26 109] ; [ 45 126],[ 31.32352941 103.67647059] ; [ 39.67647059 131.32352941],0
s7,1,0.154489,2.02736,[33 96] ; [ 52 104],[38.47368421 90.52631579] ; [ 46.52631579 109.47368421],0
n2,1,0.163912,1.937756,[21 16] ; [24  9],[23.78571429 13.21428571] ; [21.21428571 11.78571429],0
b1,1,0.210758,1.566215,[56 79] ; [ 59 112],[50.73529412 84.26470588] ; [ 64.26470588 106.73529412],0
a7,1,0.234212,1.415099,[90 45] ; [124  46],[94.72131148 40.27868852] ; [119.27868852  50.72131148],0
a3,1,0.268358,1.225123,[87 46] ; [122  49],[91.4375 41.5625] ; [117.5625  53.4375],0
s6,1,0.327754,0.957753,[55 76] ; [81 89],[59.18936877 71.81063123] ; [76.81063123 93.18936877],0
a6,1,0.331826,0.941758,[91 44] ; [124  47],[94.85294118 40.14705882] ; [120.14705882  50.85294118],0
a5,1,0.465397,0.532885,[101  34] ; [134  37],[103.67647059  31.32352941] ; [131.32352941  39.67647059],0
u2,1,0.47326,0.514353,[22 26] ; [25 22],[23.74736842 24.25263158] ; [23.25263158 23.74736842],0
s2,1,0.503869,0.446778,[ 17 117] ; [ 26 143],[ 19.01650165 114.98349835] ; [ 23.98349835 145.01650165],0
p5,1,0.577861,0.309705,[ 13 121] ; [ 20 151],[ 14.49836066 119.50163934] ; [ 18.50163934 152.49836066],0
n5,1,0.61793,0.248788,[109  25] ; [142  28],[110.63815789  23.36184211] ; [140.36184211  29.63815789],0
a8,1,0.674238,0.176684,[ 16 108] ; [ 21 122],[ 17.1835206 106.8164794] ; [ 19.8164794 123.1835206],0
r2,1,0.675739,0.174962,[120  13] ; [153  14],[121.03  11.97] ; [151.97  15.03],0
u4,1,0.705394,0.142922,[  1 134] ; [  2 169],[  1.32352941 133.67647059] ; [  1.67647059 169.32352941],0
p1,1,0.780217,0.077861,[ 13 121] ; [ 15 156],[ 12.30163934 121.69836066] ; [ 15.69836066 155.30163934],0
s4,1,0.78571,0.073922,[ 13 119] ; [ 15 153],[ 12.32 119.68] ; [ 15.68 152.32],0
b4,1,0.795356,0.067268,[77 58] ; [95 76],[75.88235294 59.11764706] ; [96.11764706 74.88235294],0
u3,1,0.831436,0.04531,[22 25] ; [24 25],[22.52083333 24.47916667] ; [23.47916667 25.52083333],0
a1,1,0.855256,0.033276,[  8 127] ; [ 11 160],[  8.38235294 126.61764706] ; [ 10.61764706 160.38235294],0
b2,1,0.887669,0.019953,[35 50] ; [45 67],[34.5177665 50.4822335] ; [45.4822335 66.5177665],0
b3,1,0.887669,0.019953,[35 50] ; [45 67],[34.5177665 50.4822335] ; [45.4822335 66.5177665],0
