Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,58.76947,[101   6] ; [11 22],[85.6 21.4] ; [26.4  6.6],1
p11,1,1e-06,24.76723,[92 16] ; [14 19],[81.19148936 26.80851064] ; [24.80851064  8.19148936],1
p2,1,0.00023,13.56981,[93 14] ; [19 14],[85.6 21.4] ; [26.4  6.6],1
d1,1,0.000957,10.908864,[71 37] ; [11 22],[62.80851064 45.19148936] ; [19.19148936 13.80851064],1
r4,1,0.000982,10.861451,[101   7] ; [24  9],[95.74468085 12.25531915] ; [29.25531915  3.74468085],1
v2,1,0.001107,10.639855,[88 18] ; [17 14],[81.24087591 24.75912409] ; [23.75912409  7.24087591],0
v4,1,0.002082,9.476223,[106   2] ; [28  5],[102.63829787   5.36170213] ; [31.36170213  1.63829787],0
r3,1,0.003699,8.425926,[104   4] ; [26  6],[100.28571429   7.71428571] ; [29.71428571  2.28571429],0
n6,1,0.004083,8.246655,[93 15] ; [21 12],[87.31914894 20.68085106] ; [26.68085106  6.31914894],0
p8,1,0.008015,7.030175,[62 45] ; [10 22],[55.42446043 51.57553957] ; [16.57553957 15.42446043],0
b1,1,0.014371,5.991963,[28 80] ; [16 17],[33.70212766 74.29787234] ; [10.29787234 22.70212766],0
a5,1,0.017931,5.602831,[82 26] ; [18 15],[76.59574468 31.40425532] ; [23.40425532  9.59574468],0
d4,1,0.020635,5.35735,[91 17] ; [21 11],[86.4 21.6] ; [25.6  6.4],0
a7,1,0.021774,5.263724,[85 22] ; [19 13],[80.05755396 26.94244604] ; [23.94244604  8.05755396],0
p7,1,0.038056,4.302535,[66 39] ; [14 19],[60.86956522 44.13043478] ; [19.13043478 13.86956522],0
p3,1,0.052235,3.76824,[53 54] ; [10 23],[48.15 58.85] ; [14.85 18.15],0
v1,1,0.055846,3.656658,[68 38] ; [15 18],[63.29496403 42.70503597] ; [19.70503597 13.29496403],0
p6,1,0.059631,3.547626,[31 76] ; [ 4 28],[26.94244604 80.05755396] ; [ 8.05755396 23.94244604],0
s2,1,0.064751,3.411306,[39 69] ; [ 6 26],[34.71428571 73.28571429] ; [10.28571429 21.71428571],0
r1,1,0.072106,3.234409,[88 20] ; [22 11],[84.25531915 23.74468085] ; [25.74468085  7.25531915],0
a3,1,0.07245,3.226626,[77 31] ; [18 15],[72.76595745 35.23404255] ; [22.23404255 10.76595745],0
n3,1,0.090969,2.857143,[12  8] ; [9 1],[14.  6.] ; [7. 3.],0
n2,1,0.097646,2.743584,[12  7] ; [10  1],[13.93333333  5.06666667] ; [8.06666667 2.93333333],0
n1,1,0.10197,2.674464,[ 3 16] ; [4 5],[ 4.75 14.25] ; [2.25 6.75],0
n5,1,0.108419,2.577121,[81 27] ; [20 13],[77.36170213 30.63829787] ; [23.63829787  9.36170213],0
b3,1,0.113593,2.503509,[24 39] ; [ 3 14],[21.2625 41.7375] ; [ 5.7375 11.2625],0
b2,1,0.113593,2.503509,[24 39] ; [ 3 14],[21.2625 41.7375] ; [ 5.7375 11.2625],0
u1,1,0.126424,2.335875,[18 90] ; [ 2 31],[15.31914894 92.68085106] ; [ 4.68085106 28.31914894],0
p5,1,0.126864,2.33047,[13 94] ; [ 1 32],[10.7 96.3] ; [ 3.3 29.7],0
b5,1,0.136571,2.21617,[63 45] ; [24  9],[66.63829787 41.36170213] ; [20.36170213 12.63829787],0
d5,1,0.147711,2.095732,[88 20] ; [23 10],[85.0212766 22.9787234] ; [25.9787234  7.0212766],0
s5,1,0.161765,1.957652,[26 79] ; [ 4 27],[23.16176471 81.83823529] ; [ 6.83823529 24.16176471],0
d3,1,0.205581,1.602273,[75 33] ; [19 14],[72. 36.] ; [22. 11.],0
s8,1,0.23716,1.397395,[27 81] ; [ 5 28],[24.5106383 83.4893617] ; [ 7.4893617 25.5106383],0
u2,1,0.343816,0.896149,[18 13] ; [6 8],[16.53333333 14.46666667] ; [7.46666667 6.53333333],0
p4,1,0.359628,0.839191,[60 47] ; [15 17],[57.73381295 49.26618705] ; [17.26618705 14.73381295],0
