Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,57.236187,[15 34] ; [137  23],[35.63636364 13.36363636] ; [116.36363636  43.63636364],1
d1,1,0.0,55.694944,[ 2 47] ; [104  56],[24.85167464 24.14832536] ; [81.14832536 78.85167464],1
d3,1,0.0,49.57493,[ 9 40] ; [119  41],[30.00956938 18.99043062] ; [97.99043062 62.00956938],1
a4,1,1.5e-05,18.739763,[ 7 42] ; [78 81],[20.02403846 28.97596154] ; [64.97596154 94.02403846],1
a5,1,2.9e-05,17.511189,[17 32] ; [109  51],[29.54066986 19.45933014] ; [96.45933014 63.54066986],1
a7,1,3.1e-05,17.339938,[20 29] ; [117  43],[32.11961722 16.88038278] ; [104.88038278  55.11961722],1
d2,1,0.000245,13.449046,[12 37] ; [86 72],[23.19806763 25.80193237] ; [74.80193237 83.19806763],1
a3,1,0.001655,9.897888,[21 27] ; [110  50],[30.23076923 17.76923077] ; [100.76923077  59.23076923],0
u2,1,0.00314,8.724202,[ 6 22] ; [28 22],[12.20512821 15.79487179] ; [21.79487179 28.20512821],0
r1,1,0.004356,8.129296,[24 25] ; [113  46],[32.27403846 16.72596154] ; [104.72596154  54.27403846],0
r3,1,0.004562,8.045565,[34 15] ; [139  21],[40.55980861  8.44019139] ; [132.44019139  27.55980861],0
a2,1,0.006656,7.363646,[ 2 47] ; [ 33 127],[ 8.20574163 40.79425837] ; [ 26.79425837 133.20574163],0
s8,1,0.01965,5.442708,[ 7 42] ; [ 50 110],[13.36363636 35.63636364] ; [ 43.63636364 116.36363636],0
s7,1,0.031507,4.625125,[ 8 38] ; [ 52 101],[13.86934673 32.13065327] ; [ 46.13065327 106.86934673],0
r4,1,0.038797,4.269749,[30 19] ; [122  38],[35.63636364 13.36363636] ; [116.36363636  43.63636364],0
p10,1,0.060646,3.519639,[23 24] ; [102  57],[28.51941748 18.48058252] ; [96.48058252 62.51941748],0
u3,1,0.06324,3.450306,[ 9 19] ; [27 23],[12.92307692 15.07692308] ; [23.07692308 26.92307692],0
a6,1,0.065075,3.403069,[25 24] ; [105  55],[30.4784689 18.5215311] ; [99.5215311 60.4784689],0
r2,1,0.070163,3.279214,[38 11] ; [139  19],[41.89855072  7.10144928] ; [135.10144928  22.89855072],0
v2,1,0.117859,2.445547,[11 34] ; [57 97],[15.37688442 29.62311558] ; [ 52.62311558 101.37688442],0
v4,1,0.154898,2.023344,[37 12] ; [135  25],[40.32535885  8.67464115] ; [131.67464115  28.32535885],0
p4,1,0.161518,1.959953,[12 37] ; [ 56 103],[16.01923077 32.98076923] ; [ 51.98076923 107.01923077],0
n6,1,0.179813,1.799165,[33 16] ; [123  37],[36.57416268 12.42583732] ; [119.42583732  40.57416268],0
p9,1,0.186894,1.741932,[26 20] ; [106  52],[29.76470588 16.23529412] ; [102.23529412  55.76470588],0
p12,1,0.205376,1.603723,[ 4 45] ; [  6 154],[ 2.34449761 46.65550239] ; [  7.65550239 152.34449761],0
a8,1,0.212364,1.555234,[ 5 39] ; [  9 144],[ 3.12690355 40.87309645] ; [ 10.87309645 142.12690355],0
n5,1,0.273722,1.198,[35 14] ; [100  59],[31.80288462 17.19711538] ; [103.19711538  55.80288462],0
p11,1,0.30725,1.042461,[26 23] ; [98 62],[29.07177033 19.92822967] ; [94.92822967 65.07177033],0
b5,1,0.339033,0.914084,[25 24] ; [94 66],[27.89952153 21.10047847] ; [91.10047847 68.89952153],0
b4,1,0.365473,0.819001,[29 20] ; [106  54],[31.6507177 17.3492823] ; [103.3492823  56.6507177],0
a1,1,0.404955,0.693563,[ 4 45] ; [  8 152],[ 2.81339713 46.18660287] ; [  9.18660287 150.81339713],0
s2,1,0.415453,0.663141,[13 35] ; [ 53 106],[15.30434783 32.69565217] ; [ 50.69565217 108.30434783],0
