Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,106.637606,[ 43 163] ; [256 136],[103. 103.] ; [196. 196.],1
s3,1,0.0,100.33657,[ 56 151] ; [272 117],[113.91946309  93.08053691] ; [214.08053691 174.91946309],1
s7,1,0.0,79.028662,[ 43 152] ; [233 148],[ 93.4375 101.5625] ; [182.5625 198.4375],1
s8,1,0.0,70.058008,[ 42 167] ; [219 175],[ 90.46268657 118.53731343] ; [170.53731343 223.46268657],1
s5,1,0.0,53.89632,[ 22 183] ; [154 234],[ 60.84317032 144.15682968] ; [115.15682968 272.84317032],1
r4,1,0.0,31.660346,[160  49] ; [367  29],[182.05454545  26.94545455] ; [344.94545455  51.05454545],1
r3,1,1e-06,23.949613,[176  31] ; [379  15],[191.15640599  15.84359401] ; [363.84359401  30.15640599],1
r1,1,3e-06,21.94736,[141  67] ; [332  62],[163.42857143  44.57142857] ; [309.57142857  84.42857143],1
p4,1,4e-06,21.340179,[ 92 115] ; [253 142],[118.62956811  88.37043189] ; [226.37043189 168.62956811],1
v4,1,5e-06,20.654931,[181  27] ; [382  13],[194.20232172  13.79767828] ; [368.79767828  26.20232172],1
s4,1,3.7e-05,17.017632,[ 17 192] ; [ 83 306],[ 34.94983278 174.05016722] ; [ 65.05016722 323.94983278],1
p9,1,6e-05,16.093054,[154  50] ; [345  46],[171.08571429  32.91428571] ; [327.91428571  63.08571429],1
p2,1,7.6e-05,15.653148,[151  57] ; [339  56],[169.02155887  38.97844113] ; [320.97844113  74.02155887],1
p7,1,0.000198,13.850405,[106 101] ; [256 127],[127.00677966  79.99322034] ; [234.99322034 148.00677966],1
r2,1,0.000208,13.75887,[181  24] ; [378  15],[191.63043478  13.36956522] ; [367.36956522  25.63043478],1
p10,1,0.000485,12.171688,[152  54] ; [335  57],[167.76254181  38.23745819] ; [319.23745819  72.76254181],1
n6,1,0.000654,11.616706,[169  39] ; [359  36],[182.12935323  25.87064677] ; [345.87064677  49.12935323],1
d4,1,0.001571,9.993871,[149  58] ; [327  67],[163.94675541  43.05324459] ; [312.05324459  81.94675541],0
v1,1,0.001802,9.740841,[ 94 113] ; [227 159],[112.05227656  94.94772344] ; [208.94772344 177.05227656],0
d5,1,0.002014,9.536435,[153  56] ; [330  64],[167.4079602  41.5920398] ; [315.5920398  78.4079602],0
p6,1,0.004327,8.141117,[ 55 151] ; [150 241],[ 70.73701843 135.26298157] ; [134.26298157 256.73701843],0
p12,1,0.005473,7.715984,[  5 203] ; [ 32 362],[ 12.78405316 195.21594684] ; [ 24.21594684 369.78405316],0
u1,1,0.005549,7.69133,[ 27 182] ; [ 88 308],[ 39.72727273 169.27272727] ; [ 75.27272727 320.72727273],0
u3,1,0.00673,7.343612,[27 43] ; [63 43],[35.79545455 34.20454545] ; [54.20454545 51.79545455],0
d3,1,0.006952,7.285322,[122  86] ; [275 120],[136.94195688  71.05804312] ; [260.05804312 134.94195688],0
p11,1,0.007457,7.159482,[152  57] ; [325  71],[164.78181818  44.21818182] ; [312.21818182  83.78181818],0
b5,1,0.013345,6.122731,[113  96] ; [255 141],[127.12727273  81.87272727] ; [240.87272727 155.12727273],0
v2,1,0.020827,5.341228,[ 97 102] ; [224 157],[110.1362069  88.8637931] ; [210.8637931 170.1362069],0
p3,1,0.03242,4.576133,[ 83 124] ; [195 201],[ 95.43283582 111.56716418] ; [182.56716418 213.43283582],0
u2,1,0.038018,4.304226,[29 40] ; [61 44],[35.68965517 33.31034483] ; [54.31034483 50.68965517],0
u4,1,0.039557,4.236787,[  1 208] ; [ 12 384],[  4.49090909 204.50909091] ; [  8.50909091 387.49090909],0
d1,1,0.040119,4.212854,[108 101] ; [239 157],[119.87272727  89.12727273] ; [227.12727273 168.87272727],0
a7,1,0.08529,2.961099,[136  72] ; [285 110],[145.22056385  62.77943615] ; [275.77943615 119.22056385],0
a1,1,0.090263,2.86967,[ 13 196] ; [ 13 383],[  8.98181818 200.01818182] ; [ 17.01818182 378.98181818],0
a2,1,0.094191,2.801243,[ 45 164] ; [110 286],[ 53.54545455 155.45454545] ; [101.45454545 294.54545455],0
a3,1,0.096209,2.767285,[139  68] ; [290 104],[147.75873544  59.24126456] ; [281.24126456 112.75873544],0
n4,1,0.098014,2.737558,[174  35] ; [348  47],[180.62582781  28.37417219] ; [341.37417219  53.62582781],0
p8,1,0.129697,2.296129,[ 93 113] ; [200 187],[101.7841484 104.2158516] ; [191.2158516 195.7841484],0
p1,1,0.136497,2.217012,[ 17 192] ; [ 20 374],[ 12.82421227 196.17578773] ; [ 24.17578773 369.82421227],0
b3,1,0.17219,1.863777,[53 71] ; [ 85 155],[47.01098901 76.98901099] ; [ 90.98901099 149.01098901],0
b2,1,0.17219,1.863777,[53 71] ; [ 85 155],[47.01098901 76.98901099] ; [ 90.98901099 149.01098901],0
a5,1,0.192199,1.70068,[147  62] ; [298  98],[153.72727273  55.27272727] ; [291.27272727 104.72727273],0
n2,1,0.2503,1.321627,[43 17] ; [64 16],[45.85714286 14.14285714] ; [61.14285714 18.85714286],0
b4,1,0.285675,1.139895,[113  96] ; [232 164],[119.18181818  89.81818182] ; [225.81818182 170.18181818],0
v3,1,0.288944,1.124537,[ 74 131] ; [155 227],[ 79.97444634 125.02555366] ; [149.02555366 232.97444634],0
a8,1,0.308515,1.037021,[ 24 163] ; [ 58 302],[ 28.03290676 158.96709324] ; [ 53.96709324 306.03290676],0
s1,1,0.404233,0.695698,[  4 202] ; [ 12 374],[  5.56756757 200.43243243] ; [ 10.43243243 375.56756757],0
b1,1,0.474635,0.511164,[ 87 122] ; [153 243],[ 82.90909091 126.09090909] ; [157.09090909 238.90909091],0
d2,1,0.572294,0.318859,[ 98 108] ; [197 197],[101.28333333 104.71666667] ; [193.71666667 200.28333333],0
n1,1,0.691441,0.15753,[23 34] ; [35 45],[24.13138686 32.86861314] ; [33.86861314 46.13138686],0
n3,1,0.696379,0.152267,[40 19] ; [56 23],[41.04347826 17.95652174] ; [54.95652174 24.04347826],0
a4,1,0.748107,0.103129,[ 94 114] ; [183 210],[ 95.86688852 112.13311148] ; [181.13311148 211.86688852],0
a6,1,0.880257,0.022694,[145  64] ; [271 123],[144.18573798  64.81426202] ; [271.81426202 122.18573798],0
