Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,40.351956,[104  21] ; [ 2 15],[93.30985915 31.69014085] ; [12.69014085  4.30985915],1
p9,1,0.001217,10.465092,[93 29] ; [ 6 10],[87.52173913 34.47826087] ; [11.47826087  4.52173913],0
n6,1,0.002508,9.134707,[84 41] ; [ 5 12],[78.34507042 46.65492958] ; [10.65492958  6.34507042],0
p11,1,0.003204,8.687565,[83 42] ; [ 5 12],[77.46478873 47.53521127] ; [10.53521127  6.46478873],0
r2,1,0.004963,7.892934,[111  13] ; [11  6],[107.29078014  16.70921986] ; [14.70921986  2.29078014],0
r1,1,0.008359,6.954845,[85 40] ; [ 6 11],[80.1056338 44.8943662] ; [10.8943662  6.1056338],0
s6,1,0.008553,6.913811,[63 59] ; [ 3 14],[57.92805755 64.07194245] ; [8.07194245 8.92805755],0
v4,1,0.013569,6.093428,[111  11] ; [12  5],[107.95683453  14.04316547] ; [15.04316547  1.95683453],0
p2,1,0.021487,5.286853,[86 38] ; [ 7 10],[81.78723404 42.21276596] ; [11.21276596  5.78723404],0
s2,1,0.025537,4.987094,[49 75] ; [ 2 15],[44.85106383 79.14893617] ; [ 6.14893617 10.85106383],0
a6,1,0.027646,4.850037,[79 46] ; [ 6 11],[74.82394366 50.17605634] ; [10.17605634  6.82394366],0
b1,1,0.029818,4.719775,[40 85] ; [10  7],[44.01408451 80.98591549] ; [ 5.98591549 11.01408451],0
v2,1,0.030772,4.665657,[53 64] ; [ 3 14],[48.89552239 68.10447761] ; [7.10447761 9.89552239],0
s3,1,0.031037,4.650917,[56 68] ; [ 3 14],[51.88652482 72.11347518] ; [7.11347518 9.88652482],0
a5,1,0.043169,4.088758,[62 63] ; [ 4 13],[58.09859155 66.90140845] ; [7.90140845 9.09859155],0
p10,1,0.043274,4.084666,[81 41] ; [ 7 10],[77.23741007 44.76258993] ; [10.76258993  6.23741007],0
a7,1,0.047347,3.933017,[88 36] ; [8 9],[84.42553191 39.57446809] ; [11.57446809  5.42553191],0
s1,1,0.049357,3.86318,[  3 122] ; [ 2 15],[  4.40140845 120.59859155] ; [ 0.59859155 16.40140845],0
s5,1,0.055296,3.673143,[33 88] ; [ 1 16],[29.8115942 91.1884058] ; [ 4.1884058 12.8115942],0
s8,1,0.0776,3.114455,[31 93] ; [ 1 16],[28.14184397 95.85815603] ; [ 3.85815603 13.14184397],0
p1,1,0.101902,2.675522,[  4 120] ; [ 2 15],[  5.27659574 118.72340426] ; [ 0.72340426 16.27659574],0
d3,1,0.104934,2.628909,[76 47] ; [ 7 10],[72.92142857 50.07857143] ; [10.07857143  6.92142857],0
d5,1,0.153187,2.040225,[87 37] ; [9 8],[84.42553191 39.57446809] ; [11.57446809  5.42553191],0
p7,1,0.222512,1.488096,[49 71] ; [ 4 12],[46.76470588 73.23529412] ; [6.23529412 9.76470588],0
d1,1,0.25326,1.305232,[55 70] ; [ 5 12],[52.81690141 72.18309859] ; [7.18309859 9.81690141],0
u3,1,0.283612,1.149702,[29 29] ; [5 2],[30.33846154 27.66153846] ; [3.66153846 3.33846154],0
p6,1,0.313584,1.015518,[ 18 103] ; [ 1 16],[ 16.65942029 104.34057971] ; [ 2.34057971 14.65942029],0
d2,1,0.33988,0.910885,[44 81] ; [ 4 13],[42.25352113 82.74647887] ; [ 5.74647887 11.25352113],0
s7,1,0.395351,0.72242,[28 94] ; [ 2 13],[26.71532847 95.28467153] ; [ 3.28467153 11.71532847],0
n2,1,0.400554,0.706662,[34 18] ; [4 4],[32.93333333 19.06666667] ; [5.06666667 2.93333333],0
n1,1,0.436453,0.60559,[13 39] ; [1 7],[12.13333333 39.86666667] ; [1.86666667 6.13333333],0
v1,1,0.443722,0.586639,[48 75] ; [ 5 12],[46.56428571 76.43571429] ; [ 6.43571429 10.56428571],0
b5,1,0.45257,0.564208,[78 47] ; [9 8],[76.58450704 48.41549296] ; [10.41549296  6.58450704],0
p8,1,0.466359,0.530591,[40 84] ; [ 4 13],[38.69503546 85.30496454] ; [ 5.30496454 11.69503546],0
n3,1,0.491956,0.472246,[32 19] ; [4 4],[31.11864407 19.88135593] ; [4.88135593 3.11864407],0
a1,1,0.573447,0.316948,[  4 121] ; [ 1 16],[  4.40140845 120.59859155] ; [ 0.59859155 16.40140845],0
d4,1,0.586055,0.296547,[95 29] ; [12  5],[94.09929078 29.90070922] ; [12.90070922  4.09929078],0
p3,1,0.588423,0.292814,[ 21 103] ; [ 2 15],[ 20.22695035 103.77304965] ; [ 2.77304965 14.22695035],0
v3,1,0.58864,0.292473,[28 91] ; [ 3 14],[27.125 91.875] ; [ 3.875 13.125],0
s4,1,0.607159,0.264333,[29 96] ; [ 3 14],[28.16901408 96.83098592] ; [ 3.83098592 13.16901408],0
a3,1,0.709818,0.138459,[67 57] ; [10  7],[67.71631206 56.28368794] ; [9.28368794 7.71631206],0
n5,1,0.733554,0.115873,[39 86] ; [ 6 11],[39.61267606 85.38732394] ; [ 5.38732394 11.61267606],0
u2,1,0.754247,0.097997,[28 29] ; [3 4],[27.609375 29.390625] ; [3.390625 3.609375],0
b2,1,0.756389,0.096241,[17 39] ; [2 6],[16.625 39.375] ; [2.375 5.625],0
b3,1,0.756389,0.096241,[17 39] ; [2 6],[16.625 39.375] ; [2.375 5.625],0
a4,1,0.853915,0.033902,[32 93] ; [ 4 13],[31.69014085 93.30985915] ; [ 4.30985915 12.69014085],0
a2,1,0.863628,0.029501,[ 13 112] ; [ 2 15],[ 13.20422535 111.79577465] ; [ 1.79577465 15.20422535],0
b4,1,0.973478,0.001105,[73 52] ; [10  7],[73.06338028 51.93661972] ; [9.93661972 7.06338028],0
