Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,5.1e-05,16.406502,[144 125] ; [ 6 29],[132.73026316 136.26973684] ; [17.26973684 17.73026316],1
s6,1,0.000477,12.203704,[260  20] ; [27  9],[254.30379747  25.69620253] ; [32.69620253  3.30379747],1
p9,1,0.016535,5.745094,[258  26] ; [28  8],[253.825  30.175] ; [32.175  3.825],0
s8,1,0.029401,4.743958,[214  70] ; [21 15],[208.5625  75.4375] ; [26.4375  9.5625],0
v4,1,0.029452,4.741002,[278   6] ; [32  3],[275.98746082   8.01253918] ; [34.01253918  0.98746082],0
d2,1,0.067137,3.351665,[164 120] ; [15 21],[158.8625 125.1375] ; [20.1375 15.8625],0
p4,1,0.069588,3.292706,[193  91] ; [19 17],[188.15  95.85] ; [23.85 12.15],0
p2,1,0.072822,3.218239,[246  39] ; [27  9],[242.38317757  42.61682243] ; [30.61682243  5.38317757],0
d1,1,0.079551,3.074047,[193  93] ; [19 17],[188.29813665  97.70186335] ; [23.70186335 12.29813665],0
n5,1,0.084935,2.967841,[238  46] ; [26 10],[234.3  49.7] ; [29.7  6.3],0
r4,1,0.088451,2.902336,[263  23] ; [30  6],[260.24223602  25.75776398] ; [32.75776398  3.24223602],0
p6,1,0.091802,2.842484,[131 151] ; [11 24],[126.32176656 155.67823344] ; [15.67823344 19.32176656],0
p12,1,0.0969,2.755845,[ 34 251] ; [ 1 35],[ 31.07476636 253.92523364] ; [ 3.92523364 32.07476636],0
v1,1,0.100446,2.698442,[163 114] ; [16 20],[158.41214058 118.58785942] ; [20.58785942 15.41214058],0
s4,1,0.112967,2.512221,[ 74 211] ; [ 5 31],[ 70.14018692 214.85981308] ; [ 8.85981308 27.14018692],0
n6,1,0.140978,2.167247,[251  31] ; [29  7],[248.30188679  33.69811321] ; [31.69811321  4.30188679],0
a4,1,0.145854,2.115087,[148 138] ; [14 22],[143.88819876 142.11180124] ; [18.11180124 17.88819876],0
d5,1,0.151243,2.059666,[239  44] ; [27  9],[235.98119122  47.01880878] ; [30.01880878  5.98119122],0
n3,1,0.15899,1.983806,[42 15] ; [7 6],[39.9 17.1] ; [9.1 3.9],0
u1,1,0.168847,1.893151,[ 69 217] ; [ 5 31],[ 65.72670807 220.27329193] ; [ 8.27329193 27.72670807],0
b5,1,0.18769,1.735659,[168 118] ; [17 19],[164.31677019 121.68322981] ; [20.68322981 15.31677019],0
a6,1,0.190156,1.716408,[181 102] ; [27  9],[184.52664577  98.47335423] ; [23.47335423 12.52664577],0
a5,1,0.19149,1.706118,[226  60] ; [25 11],[222.9378882  63.0621118] ; [28.0621118  7.9378882],0
n2,1,0.193472,1.690979,[49  8] ; [10  4],[47.36619718  9.63380282] ; [11.63380282  2.36619718],0
v2,1,0.195845,1.673092,[169 107] ; [18 18],[165.42307692 110.57692308] ; [21.57692308 14.42307692],0
a3,1,0.227477,1.456565,[237  48] ; [27  9],[234.39252336  50.60747664] ; [29.60747664  6.39252336],0
d4,1,0.328641,0.954244,[245  38] ; [29  7],[243.07836991  39.92163009] ; [30.92163009  5.07836991],0
a2,1,0.370908,0.800622,[ 84 202] ; [ 8 28],[ 81.71428571 204.28571429] ; [10.28571429 25.71428571],0
p5,1,0.3792,0.773293,[ 46 235] ; [ 8 28],[ 47.86750789 233.13249211] ; [ 6.13249211 29.86750789],0
p8,1,0.381892,0.764604,[158 123] ; [23 13],[160.44479495 120.55520505] ; [20.55520505 15.44479495],0
p10,1,0.385064,0.754474,[243  41] ; [28  7],[241.26645768  42.73354232] ; [29.73354232  5.26645768],0
u2,1,0.41814,0.655536,[30 17] ; [7 2],[31.05357143 15.94642857] ; [5.94642857 3.05357143],0
n4,1,0.427931,0.628433,[243  41] ; [29  7],[241.4  42.6] ; [30.6  5.4],0
r1,1,0.459288,0.54763,[243  42] ; [29  7],[241.4953271  43.5046729] ; [30.5046729  5.4953271],0
u4,1,0.5209,0.41211,[ 15 271] ; [ 1 35],[ 14.21118012 271.78881988] ; [ 1.78881988 34.21118012],0
b3,1,0.52821,0.397835,[ 79 120] ; [12 14],[ 80.48444444 118.51555556] ; [10.51555556 15.48444444],0
b2,1,0.52821,0.397835,[ 79 120] ; [12 14],[ 80.48444444 118.51555556] ; [10.51555556 15.48444444],0
p3,1,0.532564,0.389497,[158 126] ; [22 14],[159.75 124.25] ; [20.25 15.75],0
r3,1,0.544988,0.366373,[274  10] ; [34  2],[273.35  10.65] ; [34.65  1.35],0
