Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.02102,5.325123,[13 61] ; [11 17],[17.41176471 56.58823529] ; [ 6.58823529 21.41176471],0
p7,1,0.024801,5.037751,[25 51] ; [16 12],[29.96153846 46.03846154] ; [11.03846154 16.96153846],0
d3,1,0.030793,4.664476,[35 42] ; [20  9],[39.95283019 37.04716981] ; [15.04716981 13.95283019],0
r4,1,0.034519,4.4688,[41 36] ; [22  7],[45.76415094 31.23584906] ; [17.23584906 11.76415094],0
r3,1,0.046658,3.957678,[50 26] ; [24  4],[54.07692308 21.92307692] ; [19.92307692  8.07692308],0
s3,1,0.051411,3.794846,[17 59] ; [12 17],[20.99047619 55.00952381] ; [ 8.00952381 20.99047619],0
v2,1,0.068829,3.310734,[23 52] ; [14 14],[26.94174757 48.05825243] ; [10.05825243 17.94174757],0
r1,1,0.07406,3.190671,[46 31] ; [22  6],[49.86666667 27.13333333] ; [18.13333333  9.86666667],0
s2,1,0.074725,3.176044,[ 8 68] ; [ 7 22],[10.85714286 65.14285714] ; [ 4.14285714 24.85714286],0
b4,1,0.079773,3.069526,[49 28] ; [13 16],[45.03773585 31.96226415] ; [16.96226415 12.03773585],0
p2,1,0.084766,2.971066,[36 41] ; [19 10],[39.95283019 37.04716981] ; [15.04716981 13.95283019],0
a5,1,0.090604,2.86361,[39 38] ; [20  9],[42.85849057 34.14150943] ; [16.14150943 12.85849057],0
r2,1,0.091555,2.846814,[59 16] ; [26  2],[61.89320388 13.10679612] ; [23.10679612  4.89320388],0
n4,1,0.120455,2.411395,[45 32] ; [21  7],[48.4 28.6] ; [17.6 10.4],0
p3,1,0.125616,2.345865,[16 60] ; [10 18],[19. 57.] ; [ 7. 21.],0
s7,1,0.132461,2.263424,[10 62] ; [ 7 19],[12.48979592 59.51020408] ; [ 4.51020408 21.48979592],0
v4,1,0.146474,2.108588,[54 22] ; [23  4],[56.81553398 19.18446602] ; [20.18446602  6.81553398],0
p11,1,0.147241,2.100605,[33 44] ; [17 12],[36.32075472 40.67924528] ; [13.67924528 15.32075472],0
a3,1,0.190707,1.712145,[39 37] ; [19 10],[41.98095238 34.01904762] ; [16.01904762 12.98095238],0
n1,1,0.197428,1.6613,[12 25] ; [5 4],[13.67391304 23.32608696] ; [3.32608696 5.67391304],0
b2,1,0.198837,1.650895,[14 33] ; [8 9],[16.15625 30.84375] ; [ 5.84375 11.15625],0
