Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000239,13.497585,[21 24] ; [22  2],[28.04347826 16.95652174] ; [14.95652174  9.04347826],1
s6,1,0.000534,11.993428,[25 20] ; [23  1],[31.30434783 13.69565217] ; [16.69565217  7.30434783],1
p6,1,0.001156,10.558951,[ 7 36] ; [13 11],[12.8358209 30.1641791] ; [ 7.1641791 16.8358209],0
a5,1,0.002172,9.397969,[25 20] ; [22  2],[30.65217391 14.34782609] ; [16.34782609  7.65217391],0
r4,1,0.009754,6.679228,[31 14] ; [23  1],[35.2173913  9.7826087] ; [18.7826087  5.2173913],0
s8,1,0.012238,6.276125,[15 30] ; [15  8],[19.85294118 25.14705882] ; [10.14705882 12.85294118],0
p5,1,0.013782,6.06585,[ 2 41] ; [ 6 18],[ 5.13432836 37.86567164] ; [ 2.86567164 21.13432836],0
p9,1,0.018055,5.590848,[27 18] ; [21  3],[31.30434783 13.69565217] ; [16.69565217  7.30434783],0
p8,1,0.024278,5.074668,[ 9 36] ; [11 13],[13.04347826 31.95652174] ; [ 6.95652174 17.04347826],0
p10,1,0.034936,4.448278,[24 21] ; [19  5],[28.04347826 16.95652174] ; [14.95652174  9.04347826],0
s4,1,0.043235,4.086184,[ 6 38] ; [ 8 15],[ 9.19402985 34.80597015] ; [ 4.80597015 18.19402985],0
s3,1,0.056684,3.631846,[24 20] ; [18  5],[27.58208955 16.41791045] ; [14.41791045  8.58208955],0
n1,1,0.073691,3.198832,[11  5] ; [2 5],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
p1,1,0.08001,3.064703,[ 3 42] ; [ 5 19],[ 5.2173913 39.7826087] ; [ 2.7826087 21.2173913],0
a8,1,0.086366,2.940833,[ 2 39] ; [ 4 18],[ 3.9047619 37.0952381] ; [ 2.0952381 19.9047619],0
r1,1,0.088469,2.90202,[28 16] ; [20  4],[31.05882353 12.94117647] ; [16.94117647  7.05882353],0
p3,1,0.092498,2.830352,[12 32] ; [11 12],[15.10447761 28.89552239] ; [ 7.89552239 15.10447761],0
d5,1,0.094485,2.796252,[26 19] ; [18  5],[29.11764706 15.88235294] ; [14.88235294  8.11764706],0
u2,1,0.106343,2.607745,[11  6] ; [2 5],[9.20833333 7.79166667] ; [3.79166667 3.20833333],0
p7,1,0.19319,1.693122,[15 25] ; [13 11],[17.5 22.5] ; [10.5 13.5],0
d1,1,0.271732,1.207983,[20 25] ; [14 10],[22.17391304 22.82608696] ; [11.82608696 12.17391304],0
r3,1,0.273155,1.200836,[36  8] ; [22  2],[37.52941176  6.47058824] ; [20.47058824  3.52941176],0
n6,1,0.277686,1.178381,[31 13] ; [19  4],[32.8358209 11.1641791] ; [17.1641791  5.8358209],0
p11,1,0.283549,1.15,[28 17] ; [18  6],[30. 15.] ; [16.  8.],0
s7,1,0.291571,1.112355,[18 24] ; [13 10],[20.03076923 21.96923077] ; [10.96923077 12.03076923],0
p4,1,0.312673,1.019353,[14 31] ; [10 13],[15.88235294 29.11764706] ; [ 8.11764706 14.88235294],0
d4,1,0.320843,0.985507,[30 15] ; [18  5],[31.76470588 13.23529412] ; [16.23529412  6.76470588],0
d3,1,0.348516,0.878853,[24 21] ; [15  8],[25.80882353 19.19117647] ; [13.19117647  9.80882353],0
a2,1,0.433725,0.612829,[ 9 36] ; [ 3 21],[ 7.82608696 37.17391304] ; [ 4.17391304 19.82608696],0
u3,1,0.436661,0.605042,[12  5] ; [6 1],[12.75  4.25] ; [5.25 1.75],0
v2,1,0.459082,0.548132,[24 19] ; [15  8],[25.40909091 17.59090909] ; [13.59090909  9.40909091],0
a4,1,0.49212,0.471888,[20 24] ; [13 11],[21.35294118 22.64705882] ; [11.64705882 12.35294118],0
s1,1,0.49636,0.46271,[ 6 37] ; [ 2 22],[ 5.13432836 37.86567164] ; [ 2.86567164 21.13432836],0
a3,1,0.548861,0.359362,[28 16] ; [17  7],[29.11764706 14.88235294] ; [15.88235294  8.11764706],0
a6,1,0.553755,0.350633,[24 21] ; [14  9],[25.14705882 19.85294118] ; [12.85294118 10.14705882],0
n5,1,0.555402,0.347727,[30 14] ; [18  6],[31.05882353 12.94117647] ; [16.94117647  7.05882353],0
u1,1,0.568409,0.325353,[ 8 37] ; [ 3 21],[ 7.17391304 37.82608696] ; [ 3.82608696 20.17391304],0
b4,1,0.640109,0.218599,[27 18] ; [13 11],[26.08695652 18.91304348] ; [13.91304348 10.08695652],0
a7,1,0.783648,0.075388,[26 18] ; [15  9],[26.52941176 17.47058824] ; [14.47058824  9.52941176],0
n3,1,0.808605,0.058673,[10  6] ; [4 3],[9.73913043 6.26086957] ; [4.26086957 2.73913043],0
b3,1,0.835994,0.042857,[13 19] ; [7 9],[13.33333333 18.66666667] ; [6.66666667 9.33333333],0
b2,1,0.835994,0.042857,[13 19] ; [7 9],[13.33333333 18.66666667] ; [6.66666667 9.33333333],0
v3,1,0.841378,0.040052,[19 23] ; [11 12],[19.38461538 22.61538462] ; [10.61538462 12.38461538],0
b1,1,0.89318,0.018031,[18 27] ; [10 14],[18.26086957 26.73913043] ; [ 9.73913043 14.26086957],0
d2,1,0.933881,0.006883,[22 23] ; [11 12],[21.83823529 23.16176471] ; [11.16176471 11.83823529],0
a1,1,0.937825,0.006085,[ 4 41] ; [ 2 22],[ 3.91304348 41.08695652] ; [ 2.08695652 21.91304348],0
n4,1,0.949685,0.003982,[29 15] ; [16  8],[29.11764706 14.88235294] ; [15.88235294  8.11764706],0
b5,1,0.981907,0.000514,[28 17] ; [15  9],[28.04347826 16.95652174] ; [14.95652174  9.04347826],0
