Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,104.154025,[428 110] ; [ 74 113],[372.51862069 165.48137931] ; [129.48137931  57.51862069],1
d3,1,0.0,75.489913,[446  92] ; [95 92],[401.45931034 136.54068966] ; [139.54068966  47.45931034],1
a2,1,0.0,37.596132,[176 363] ; [ 18 169],[144.03030303 394.96969697] ; [ 49.96969697 137.03030303],1
u1,1,0.0,26.669751,[136 403] ; [ 14 173],[111.36363636 427.63636364] ; [ 38.63636364 148.36363636],1
b5,1,2e-06,22.249596,[356 183] ; [ 87 100],[328.89393939 210.10606061] ; [114.10606061  72.89393939],1
b1,1,0.002548,9.105476,[184 355] ; [ 87 100],[201.1969697 337.8030303] ; [ 69.8030303 117.1969697],0
d1,1,0.003119,8.736359,[396 143] ; [116  71],[380.12121212 158.87878788] ; [131.87878788  55.12121212],0
r4,1,0.008439,6.937841,[503  36] ; [163  24],[494.45454545  44.54545455] ; [171.54545455  15.45454545],0
s5,1,0.0127,6.210483,[166 352] ; [ 75 102],[179.62302158 338.37697842] ; [ 61.37697842 115.62302158],0
r1,1,0.018867,5.513817,[450  85] ; [143  44],[439.41135734  95.58864266] ; [153.58864266  33.41135734],0
p2,1,0.026801,4.903559,[462  75] ; [144  38],[452.60361613  84.39638387] ; [153.39638387  28.60361613],0
s7,1,0.044967,4.01989,[245 268] ; [100  77],[256.5 256.5] ; [88.5 88.5],0
r3,1,0.048586,3.889606,[518  19] ; [173  13],[513.23236515  23.76763485] ; [177.76763485   8.23236515],0
u3,1,0.057668,3.60322,[92 47] ; [21 21],[86.77900552 52.22099448] ; [26.22099448 15.77900552],0
d4,1,0.069866,3.286164,[487  52] ; [160  27],[480.34848485  58.65151515] ; [166.65151515  20.34848485],0
b2,1,0.070084,3.281053,[112 207] ; [53 66],[120.17123288 198.82876712] ; [44.82876712 74.17123288],0
b3,1,0.070084,3.281053,[112 207] ; [53 66],[120.17123288 198.82876712] ; [44.82876712 74.17123288],0
s8,1,0.102157,2.671537,[238 298] ; [95 90],[247.55617198 288.44382802] ; [85.44382802 99.55617198],0
n5,1,0.114434,2.491888,[394 142] ; [146  38],[402. 134.] ; [138.  46.],0
r2,1,0.121294,2.400526,[516  18] ; [173  11],[512.43175487  21.56824513] ; [176.56824513   7.43175487],0
n1,1,0.133981,2.245759,[40 78] ; [26 31],[44.50285714 73.49714286] ; [21.49714286 35.50285714],0
p9,1,0.165025,1.927562,[453  76] ; [148  34],[447.15752461  81.84247539] ; [153.84247539  28.15752461],0
p10,1,0.175508,1.835254,[441  90] ; [143  39],[434.92847125  96.07152875] ; [149.07152875  32.92847125],0
a1,1,0.18058,1.79284,[ 24 515] ; [ 13 174],[ 27.46969697 511.53030303] ; [  9.53030303 177.46969697],0
v3,1,0.192771,1.696311,[200 314] ; [ 80 100],[207.37752161 306.62247839] ; [ 72.62247839 107.37752161],0
b4,1,0.217072,1.523623,[319 220] ; [101  86],[311.81818182 227.18181818] ; [108.18181818  78.81818182],0
p1,1,0.237321,1.396435,[ 43 492] ; [ 10 175],[ 39.38194444 495.61805556] ; [ 13.61805556 171.38194444],0
v2,1,0.246137,1.345099,[305 207] ; [100  83],[298.35971223 213.64028777] ; [106.64028777  76.35971223],0
p4,1,0.259467,1.271597,[338 199] ; [106  76],[331.61057024 205.38942976] ; [112.38942976  69.61057024],0
p12,1,0.266838,1.232931,[ 43 493] ; [ 10 171],[ 39.62064156 496.37935844] ; [ 13.37935844 167.62064156],0
n2,1,0.273981,1.196704,[83 36] ; [45 13],[86.05649718 32.94350282] ; [41.94350282 16.05649718],0
