Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,41.208791,[54  6] ; [11 29],[39. 21.] ; [26. 14.],1
s7,1,0.003327,8.619072,[35 20] ; [12 25],[28.09782609 26.90217391] ; [18.90217391 18.09782609],0
s8,1,0.003981,8.292325,[33 27] ; [10 29],[26.06060606 33.93939394] ; [16.93939394 22.06060606],0
n6,1,0.004174,8.206462,[50  9] ; [23 16],[43.94897959 15.05102041] ; [29.05102041  9.94897959],0
r4,1,0.004717,7.984881,[55  5] ; [28 12],[49.8 10.2] ; [33.2  6.8],0
s2,1,0.005787,7.615385,[40 20] ; [15 24],[33.33333333 26.66666667] ; [21.66666667 17.33333333],0
p6,1,0.012239,6.275898,[30 30] ; [ 9 28],[24.12371134 35.87628866] ; [14.87628866 22.12371134],0
n5,1,0.032865,4.552817,[40 19] ; [18 21],[34.91836735 24.08163265] ; [23.08163265 15.91836735],0
n4,1,0.033712,4.509261,[46 14] ; [22 17],[41.21212121 18.78787879] ; [26.78787879 12.21212121],0
s5,1,0.039924,4.221125,[26 30] ; [10 29],[21.22105263 34.77894737] ; [14.77894737 24.22105263],0
p2,1,0.057962,3.594771,[44 16] ; [22 18],[39.6 20.4] ; [26.4 13.6],0
r2,1,0.06407,3.428763,[58  1] ; [36  4],[56.02020202  2.97979798] ; [37.97979798  2.02020202],0
p7,1,0.069929,3.28469,[34 24] ; [16 24],[29.59183673 28.40816327] ; [20.40816327 19.59183673],0
r1,1,0.071207,3.254973,[51  9] ; [28 12],[47.4 12.6] ; [31.6  8.4],0
v4,1,0.086926,2.930403,[57  3] ; [34  6],[54.6  5.4] ; [36.4  3.6],0
u3,1,0.095547,2.778345,[10  5] ; [5 9],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
s6,1,0.097319,2.748934,[46 12] ; [25 14],[42.45360825 15.54639175] ; [28.54639175 10.45360825],0
u1,1,0.125786,2.34375,[15 45] ; [ 5 35],[12. 48.] ; [ 8. 32.],0
d2,1,0.162069,1.954816,[37 23] ; [19 21],[33.6 26.4] ; [22.4 17.6],0
s4,1,0.252832,1.307587,[15 45] ; [ 6 33],[12.72727273 47.27272727] ; [ 8.27272727 30.72727273],0
b3,1,0.279394,1.170033,[ 8 22] ; [ 9 13],[ 9.80769231 20.19230769] ; [ 7.19230769 14.80769231],0
b2,1,0.279394,1.170033,[ 8 22] ; [ 9 13],[ 9.80769231 20.19230769] ; [ 7.19230769 14.80769231],0
a7,1,0.280304,1.165614,[45 15] ; [26 14],[42.6 17.4] ; [28.4 11.6],0
a3,1,0.280304,1.165614,[45 15] ; [26 14],[42.6 17.4] ; [28.4 11.6],0
v3,1,0.342362,0.901565,[31 29] ; [15 21],[28.75 31.25] ; [17.25 18.75],0
d5,1,0.410175,0.678295,[53  7] ; [33  7],[51.6  8.4] ; [34.4  5.6],0
u2,1,0.46376,0.536805,[6 9] ; [7 6],[6.96428571 8.03571429] ; [6.03571429 6.96428571],0
n1,1,0.465209,0.533333,[ 5 11] ; [7 9],[ 6. 10.] ; [ 6. 10.],0
a6,1,0.496242,0.462963,[40 20] ; [24 16],[38.4 21.6] ; [25.6 14.4],0
a5,1,0.503413,0.447734,[47 13] ; [29 11],[45.6 14.4] ; [30.4  9.6],0
b1,1,0.512276,0.429415,[26 34] ; [20 20],[27.6 32.4] ; [18.4 21.6],0
p5,1,0.531971,0.390625,[ 3 57] ; [ 1 39],[ 2.4 57.6] ; [ 1.6 38.4],0
a1,1,0.531971,0.390625,[ 3 57] ; [ 1 39],[ 2.4 57.6] ; [ 1.6 38.4],0
r3,1,0.547221,0.362319,[56  4] ; [36  4],[55.2  4.8] ; [36.8  3.2],0
b5,1,0.551601,0.354456,[37 23] ; [27 13],[38.4 21.6] ; [25.6 14.4],0
d1,1,0.557941,0.343281,[38 22] ; [23 17],[36.6 23.4] ; [24.4 15.6],0
s3,1,0.653446,0.201584,[32 28] ; [19 20],[30.90909091 29.09090909] ; [20.09090909 18.90909091],0
d3,1,0.656005,0.198413,[43 17] ; [27 13],[42. 18.] ; [28. 12.],0
p8,1,0.662597,0.190385,[19 41] ; [14 25],[20. 40.] ; [13. 26.],0
n2,1,0.694188,0.154589,[12  4] ; [11  5],[11.5  4.5] ; [11.5  4.5],0
n3,1,0.694188,0.154589,[11  5] ; [12  4],[11.5  4.5] ; [11.5  4.5],0
p3,1,0.696669,0.15196,[27 33] ; [16 23],[26.06060606 33.93939394] ; [16.93939394 22.06060606],0
p1,1,0.715738,0.132613,[ 4 55] ; [ 2 38],[ 3.57575758 55.42424242] ; [ 2.42424242 37.57575758],0
a8,1,0.737354,0.112466,[ 5 46] ; [ 4 29],[ 5.46428571 45.53571429] ; [ 3.53571429 29.46428571],0
b4,1,0.740749,0.109469,[34 26] ; [24 16],[34.8 25.2] ; [23.2 16.8],0
a2,1,0.791153,0.070126,[18 42] ; [13 27],[18.6 41.4] ; [12.4 27.6],0
v1,1,0.805886,0.060386,[33 27] ; [21 19],[32.4 27.6] ; [21.6 18.4],0
d4,1,0.823755,0.049603,[50 10] ; [34  6],[50.4  9.6] ; [33.6  6.4],0
p4,1,0.902708,0.014943,[31 28] ; [20 19],[30.70408163 28.29591837] ; [20.29591837 18.70408163],0
s1,1,1.0,0.0,[ 3 57] ; [ 2 38],[ 3. 57.] ; [ 2. 38.],0
a4,1,1.0,0.0,[30 30] ; [20 20],[30. 30.] ; [20. 20.],0
