Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.014676,5.954915,[11  4] ; [28 44],[6.72413793 8.27586207] ; [32.27586207 39.72413793],0
s4,1,0.020071,5.40573,[ 5 11] ; [ 7 67],[ 2.13333333 13.86666667] ; [ 9.86666667 64.13333333],0
s7,1,0.033999,4.494744,[9 7] ; [19 48],[ 5.39759036 10.60240964] ; [22.60240964 44.39759036],0
s8,1,0.04752,3.926891,[7 9] ; [15 59],[ 3.91111111 12.08888889] ; [18.08888889 55.91111111],0
p5,1,0.084646,2.973366,[ 2 14] ; [ 2 72],[ 0.71111111 15.28888889] ; [ 3.28888889 70.71111111],0
n5,1,0.100984,2.689933,[13  3] ; [44 30],[10.13333333  5.86666667] ; [46.86666667 27.13333333],0
b1,1,0.10267,2.663569,[12  4] ; [39 35],[9.06666667 6.93333333] ; [41.93333333 32.06666667],0
p7,1,0.119183,2.428022,[11  5] ; [34 38],[8.18181818 7.81818182] ; [36.81818182 35.18181818],0
s6,1,0.133387,2.252633,[10  6] ; [31 43],[7.28888889 8.71111111] ; [33.71111111 40.28888889],0
s2,1,0.164266,1.934511,[7 8] ; [21 53],[ 4.71910112 10.28089888] ; [23.28089888 50.71910112],0
a6,1,0.196122,1.671023,[8 8] ; [49 24],[10.24719101  5.75280899] ; [46.75280899 26.24719101],0
p2,1,0.214704,1.539418,[13  3] ; [47 25],[10.90909091  5.09090909] ; [49.09090909 22.90909091],0
a5,1,0.228466,1.450387,[9 7] ; [53 21],[11.02222222  4.97777778] ; [50.97777778 23.02222222],0
v2,1,0.236239,1.402896,[9 7] ; [28 42],[6.88372093 9.11627907] ; [30.11627907 39.88372093],0
b4,1,0.282077,1.157056,[11  5] ; [40 34],[9.06666667 6.93333333] ; [41.93333333 32.06666667],0
v4,1,0.328537,0.954657,[14  2] ; [55 17],[12.54545455  3.45454545] ; [56.45454545 15.54545455],0
u2,1,0.34509,0.891429,[4 1] ; [12  9],[3.07692308 1.92307692] ; [12.92307692  8.07692308],0
v3,1,0.345221,0.890945,[ 3 12] ; [22 46],[ 4.51807229 10.48192771] ; [20.48192771 47.51807229],0
p6,1,0.363109,0.827113,[ 4 12] ; [11 60],[ 2.75862069 13.24137931] ; [12.24137931 58.75862069],0
d2,1,0.366922,0.814063,[9 7] ; [32 41],[7.37078652 8.62921348] ; [33.62921348 39.37078652],0
a7,1,0.367881,0.810811,[8 8] ; [46 28],[9.6 6.4] ; [44.4 29.6],0
a4,1,0.376649,0.78161,[ 5 11] ; [32 42],[6.57777778 9.42222222] ; [30.42222222 43.57777778],0
a2,1,0.408171,0.684122,[ 2 14] ; [16 58],[ 3.2 12.8] ; [14.8 59.2],0
b5,1,0.430759,0.620777,[11  5] ; [43 31],[9.6 6.4] ; [44.4 29.6],0
d3,1,0.465269,0.533189,[11  5] ; [43 30],[9.70786517 6.29213483] ; [44.29213483 28.70786517],0
d5,1,0.47425,0.512057,[13  3] ; [53 20],[11.86516854  4.13483146] ; [54.13483146 18.86516854],0
p12,1,0.488738,0.479303,[ 1 15] ; [ 2 70],[ 0.54545455 15.45454545] ; [ 2.45454545 69.54545455],0
p8,1,0.565685,0.329956,[ 6 10] ; [22 51],[ 5.03370787 10.96629213] ; [22.96629213 50.03370787],0
a8,1,0.570593,0.321691,[ 3 13] ; [ 9 59],[ 2.28571429 13.71428571] ; [ 9.71428571 58.28571429],0
s3,1,0.596547,0.280236,[8 7] ; [33 39],[7.06896552 7.93103448] ; [33.93103448 38.06896552],0
r4,1,0.61835,0.248193,[10  6] ; [51 23],[10.84444444  5.15555556] ; [50.15555556 23.84444444],0
u3,1,0.618757,0.247619,[2 3] ; [11 10],[2.5 2.5] ; [10.5 10.5],0
p11,1,0.660029,0.193489,[9 7] ; [46 28],[9.77777778 6.22222222] ; [45.22222222 28.77777778],0
a1,1,0.682502,0.167322,[ 1 15] ; [ 7 67],[ 1.42222222 14.57777778] ; [ 6.57777778 67.42222222],0
p10,1,0.686443,0.162963,[8 8] ; [40 32],[8.72727273 7.27272727] ; [39.27272727 32.72727273],0
p4,1,0.689141,0.160017,[7 9] ; [28 45],[6.29213483 9.70786517] ; [28.70786517 44.29213483],0
b2,1,0.714402,0.13392,[4 8] ; [12 31],[3.49090909 8.50909091] ; [12.50909091 30.49090909],0
b3,1,0.714402,0.13392,[4 8] ; [12 31],[3.49090909 8.50909091] ; [12.50909091 30.49090909],0
p3,1,0.723108,0.125534,[ 6 10] ; [24 49],[ 5.39325843 10.60674157] ; [24.60674157 48.39325843],0
a3,1,0.756146,0.096439,[11  5] ; [53 20],[11.50561798  4.49438202] ; [52.49438202 20.50561798],0
d4,1,0.761398,0.0922,[12  4] ; [52 21],[11.50561798  4.49438202] ; [52.49438202 20.50561798],0
r1,1,0.78441,0.074844,[12  4] ; [53 21],[11.55555556  4.44444444] ; [53.44444444 20.55555556],0
p1,1,0.79101,0.070225,[ 1 15] ; [ 6 67],[ 1.25842697 14.74157303] ; [ 5.74157303 67.25842697],0
r3,1,0.798552,0.065138,[13  3] ; [58 16],[12.62222222  3.37777778] ; [58.37777778 15.62222222],0
u1,1,0.801319,0.063323,[ 1 15] ; [ 6 68],[ 1.24444444 14.75555556] ; [ 5.75555556 68.24444444],0
n3,1,0.924393,0.009006,[3 3] ; [12 11],[3.10344828 2.89655172] ; [11.89655172 11.10344828],0
n1,1,0.92985,0.00775,[3 3] ; [12 13],[2.90322581 3.09677419] ; [12.09677419 12.90322581],0
p9,1,0.949102,0.004075,[10  6] ; [45 28],[9.88764045 6.11235955] ; [45.11235955 27.88764045],0
d1,1,0.950842,0.003801,[7 9] ; [33 41],[7.11111111 8.88888889] ; [32.88888889 41.11111111],0
r2,1,0.954733,0.003222,[13  2] ; [62 10],[12.93103448  2.06896552] ; [62.06896552  9.93103448],0
