Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.003907,8.326513,[21  7] ; [ 8 15],[15.92156863 12.07843137] ; [13.07843137  9.92156863],0
n4,1,0.007811,7.07628,[ 9 19] ; [16  7],[13.7254902 14.2745098] ; [11.2745098 11.7254902],0
v1,1,0.009901,6.652695,[ 6 22] ; [13 10],[10.43137255 17.56862745] ; [ 8.56862745 14.43137255],0
d4,1,0.037576,4.324093,[25  3] ; [15  8],[21.96078431  6.03921569] ; [18.03921569  4.96078431],0
u3,1,0.038867,4.266667,[7 1] ; [3 5],[5. 3.] ; [5. 3.],0
d3,1,0.044025,4.055606,[24  3] ; [15  8],[21.06  5.94] ; [17.94  5.06],0
n6,1,0.051145,3.803505,[16 12] ; [19  4],[19.21568627  8.78431373] ; [15.78431373  7.21568627],0
b4,1,0.07331,3.207298,[18 10] ; [ 9 14],[14.82352941 13.17647059] ; [12.17647059 10.82352941],0
p4,1,0.07331,3.207298,[10 18] ; [14  9],[13.17647059 14.82352941] ; [10.82352941 12.17647059],0
r3,1,0.110149,2.552083,[25  3] ; [15  6],[22.85714286  5.14285714] ; [17.14285714  3.85714286],0
u2,1,0.13057,2.285714,[5 3] ; [2 6],[3.5 4.5] ; [3.5 4.5],0
d2,1,0.14809,2.091815,[19  9] ; [11 12],[16.47058824 11.52941176] ; [13.52941176  9.47058824],0
n2,1,0.182803,1.774691,[7 7] ; [7 2],[8.52173913 5.47826087] ; [5.47826087 3.52173913],0
n1,1,0.189717,1.71981,[5 9] ; [1 8],[ 3.65217391 10.34782609] ; [2.34782609 6.65217391],0
v3,1,0.200243,1.640604,[ 9 18] ; [ 4 19],[ 7.02 19.98] ; [ 5.98 17.02],0
r2,1,0.206571,1.595296,[26  1] ; [19  3],[24.79591837  2.20408163] ; [20.20408163  1.79591837],0
p2,1,0.212391,1.555054,[16 12] ; [17  6],[18.11764706  9.88235294] ; [14.88235294  8.11764706],0
a7,1,0.239405,1.384096,[17 10] ; [18  5],[18.9  8.1] ; [16.1  6.9],0
p8,1,0.242997,1.363121,[ 6 22] ; [ 8 14],[ 7.84 20.16] ; [ 6.16 15.84],0
d5,1,0.278919,1.172352,[25  2] ; [19  4],[23.76  3.24] ; [20.24  2.76],0
s5,1,0.286003,1.13834,[11 14] ; [12  8],[12.77777778 12.22222222] ; [10.22222222  9.77777778],0
