Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.002923,8.854872,[ 9 33] ; [8 4],[13.22222222 28.77777778] ; [3.77777778 8.22222222],0
s8,1,0.002988,8.814829,[ 3 39] ; [5 7],[ 6.22222222 35.77777778] ; [ 1.77777778 10.22222222],0
p7,1,0.005675,7.650706,[16 26] ; [10  2],[20.22222222 21.77777778] ; [5.77777778 6.22222222],0
p11,1,0.006168,7.500609,[13 29] ; [9 3],[17.11111111 24.88888889] ; [4.88888889 7.11111111],0
r3,1,0.009579,6.711648,[21 21] ; [11  1],[24.88888889 17.11111111] ; [7.11111111 4.88888889],0
p2,1,0.01572,5.833929,[15 27] ; [9 3],[18.66666667 23.33333333] ; [5.33333333 6.66666667],0
p8,1,0.015752,5.830357,[ 9 32] ; [7 5],[12.37735849 28.62264151] ; [3.62264151 8.37735849],0
v4,1,0.027201,4.877981,[24 18] ; [11  1],[27.22222222 14.77777778] ; [7.77777778 4.22222222],0
s7,1,0.029638,4.730145,[ 6 34] ; [5 6],[ 8.62745098 31.37254902] ; [2.37254902 8.62745098],0
p4,1,0.117185,2.454545,[14 28] ; [7 5],[16.33333333 25.66666667] ; [4.66666667 7.33333333],0
a7,1,0.145452,2.119309,[18 24] ; [8 4],[20.22222222 21.77777778] ; [5.77777778 6.22222222],0
s5,1,0.154058,2.031602,[ 5 37] ; [3 7],[ 6.46153846 35.53846154] ; [1.53846154 8.46153846],0
n3,1,0.191785,1.703855,[10 11] ; [4 1],[11.30769231  9.69230769] ; [2.69230769 2.30769231],0
a5,1,0.208271,1.583401,[19 23] ; [3 9],[17.11111111 24.88888889] ; [4.88888889 7.11111111],0
p3,1,0.223225,1.483516,[10 32] ; [5 7],[11.66666667 30.33333333] ; [3.33333333 8.66666667],0
b1,1,0.24417,1.356358,[20 22] ; [8 4],[21.77777778 20.22222222] ; [6.22222222 5.77777778],0
u2,1,0.304807,1.053044,[ 7 13] ; [4 3],[ 8.14814815 11.85185185] ; [2.85185185 4.14814815],0
n1,1,0.315286,1.008403,[ 5 15] ; [2 2],[ 5.83333333 14.16666667] ; [1.16666667 2.83333333],0
p10,1,0.379775,0.771429,[ 6 36] ; [3 9],[ 7. 35.] ; [ 2. 10.],0
d1,1,0.402171,0.701826,[16 26] ; [3 9],[14.77777778 27.22222222] ; [4.22222222 7.77777778],0
s3,1,0.418343,0.654966,[12 29] ; [5 7],[13.1509434 27.8490566] ; [3.8490566 8.1509434],0
n5,1,0.423316,0.641091,[23 19] ; [5 7],[21.77777778 20.22222222] ; [6.22222222 5.77777778],0
u3,1,0.48338,0.491228,[ 6 15] ; [3 4],[ 6.75 14.25] ; [2.25 4.75],0
s4,1,0.496157,0.463147,[11 31] ; [ 2 10],[10.11111111 31.88888889] ; [2.88888889 9.11111111],0
b4,1,0.512691,0.428571,[22 20] ; [5 7],[21. 21.] ; [6. 6.],0
b5,1,0.512691,0.428571,[20 22] ; [7 5],[21. 21.] ; [6. 6.],0
d3,1,0.512691,0.428571,[22 20] ; [5 7],[21. 21.] ; [6. 6.],0
r2,1,0.550491,0.356438,[27 14] ; [9 3],[27.8490566 13.1509434] ; [8.1509434 3.8490566],0
d2,1,0.560421,0.338976,[21 20] ; [5 7],[20.11320755 20.88679245] ; [5.88679245 6.11320755],0
s6,1,0.593955,0.284211,[14 28] ; [5 7],[14.77777778 27.22222222] ; [4.22222222 7.77777778],0
a3,1,0.610385,0.259615,[21 21] ; [5 7],[20.22222222 21.77777778] ; [5.77777778 6.22222222],0
u1,1,0.633839,0.226891,[ 2 40] ; [ 1 11],[ 2.33333333 39.66666667] ; [ 0.66666667 11.33333333],0
b2,1,0.707677,0.140609,[ 8 17] ; [2 6],[ 7.57575758 17.42424242] ; [2.42424242 5.57575758],0
b3,1,0.707677,0.140609,[ 8 17] ; [2 6],[ 7.57575758 17.42424242] ; [2.42424242 5.57575758],0
v3,1,0.717941,0.130474,[ 9 33] ; [ 2 10],[ 8.55555556 33.44444444] ; [2.44444444 9.55555556],0
n2,1,0.758742,0.094331,[11 10] ; [3 2],[11.30769231  9.69230769] ; [2.69230769 2.30769231],0
a4,1,0.772816,0.083344,[12 29] ; [3 9],[11.60377358 29.39622642] ; [3.39622642 8.60377358],0
v1,1,0.792978,0.068878,[ 9 33] ; [3 9],[ 9.33333333 32.66666667] ; [2.66666667 9.33333333],0
d4,1,0.822902,0.050093,[26 16] ; [7 5],[25.66666667 16.33333333] ; [7.33333333 4.66666667],0
d5,1,0.822902,0.050093,[26 16] ; [7 5],[25.66666667 16.33333333] ; [7.33333333 4.66666667],0
s1,1,0.827634,0.047409,[ 3 39] ; [ 1 10],[ 3.16981132 38.83018868] ; [ 0.83018868 10.16981132],0
n4,1,0.884254,0.021193,[22 20] ; [6 6],[21.77777778 20.22222222] ; [6.22222222 5.77777778],0
a2,1,0.900149,0.015743,[ 4 38] ; [ 1 11],[ 3.88888889 38.11111111] ; [ 1.11111111 10.88888889],0
s2,1,0.933858,0.006888,[11 31] ; [3 9],[10.88888889 31.11111111] ; [3.11111111 8.88888889],0
a6,1,0.941368,0.00541,[24 18] ; [7 5],[24.11111111 17.88888889] ; [6.88888889 5.11111111],0
n6,1,0.989973,0.000158,[24 17] ; [7 5],[23.98113208 17.01886792] ; [7.01886792 4.98113208],0
v2,1,1.0,0.0,[14 28] ; [4 8],[14. 28.] ; [4. 8.],0
