Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.020137,5.4,[7 2] ; [ 9 18],[4. 5.] ; [12. 15.],0
b4,1,0.02846,4.8,[2 8] ; [18 12],[5. 5.] ; [15. 15.],0
p7,1,0.031922,4.602672,[9 1] ; [15 14],[6.15384615 3.84615385] ; [17.84615385 11.15384615],0
s3,1,0.140596,2.171429,[7 3] ; [12 16],[5. 5.] ; [14. 14.],0
n6,1,0.140758,2.169655,[6 4] ; [24  5],[7.69230769 2.30769231] ; [22.30769231  6.69230769],0
p8,1,0.144127,2.133333,[7 3] ; [13 17],[5. 5.] ; [15. 15.],0
s2,1,0.16966,1.885944,[7 3] ; [13 16],[5.12820513 4.87179487] ; [14.87179487 14.12820513],0
b1,1,0.186858,1.742222,[8 2] ; [17 13],[6.25 3.75] ; [18.75 11.25],0
a3,1,0.196134,1.670929,[4 6] ; [19 11],[5.75 4.25] ; [17.25 12.75],0
v3,1,0.205903,1.6,[1 9] ; [ 9 21],[2.5 7.5] ; [ 7.5 22.5],0
s1,1,0.223543,1.481481,[2 8] ; [ 2 28],[1. 9.] ; [ 3. 27.],0
d4,1,0.229654,1.443001,[7 3] ; [26  4],[8.25 1.75] ; [24.75  5.25],0
p11,1,0.250829,1.318681,[8 2] ; [18 12],[6.5 3.5] ; [19.5 10.5],0
n1,1,0.263552,1.25,[3 2] ; [3 7],[2. 3.] ; [4. 6.],0
d1,1,0.270912,1.212121,[3 7] ; [15 15],[4.5 5.5] ; [13.5 16.5],0
a7,1,0.360709,0.835422,[4 6] ; [17 13],[5.25 4.75] ; [15.75 14.25],0
u3,1,0.423711,0.64,[3 3] ; [3 7],[2.25 3.75] ; [3.75 6.25],0
u2,1,0.423711,0.64,[3 3] ; [3 7],[2.25 3.75] ; [3.75 6.25],0
p4,1,0.425556,0.634921,[8 2] ; [20 10],[7. 3.] ; [21.  9.],0
r2,1,0.427576,0.6294,[5 5] ; [18 10],[6.05263158 3.94736842] ; [16.94736842 11.05263158],0
p6,1,0.503445,0.447667,[5 5] ; [11 18],[4.1025641 5.8974359] ; [11.8974359 17.1025641],0
p2,1,0.511936,0.430108,[7 3] ; [24  6],[7.75 2.25] ; [23.25  6.75],0
s6,1,0.522421,0.409111,[6 4] ; [14 15],[5.12820513 4.87179487] ; [14.87179487 14.12820513],0
n5,1,0.523593,0.40681,[7 3] ; [17 12],[6.15384615 3.84615385] ; [17.84615385 11.15384615],0
a6,1,0.571608,0.32,[7 3] ; [18 12],[6.25 3.75] ; [18.75 11.25],0
p10,1,0.601297,0.273044,[7 3] ; [17 11],[6.31578947 3.68421053] ; [17.68421053 10.31578947],0
v4,1,0.652101,0.203261,[7 3] ; [18 11],[6.41025641 3.58974359] ; [18.58974359 10.41025641],0
r3,1,0.652101,0.203261,[7 3] ; [18 11],[6.41025641 3.58974359] ; [18.58974359 10.41025641],0
d5,1,0.67329,0.177778,[7 3] ; [23  7],[7.5 2.5] ; [22.5  7.5],0
n2,1,0.679708,0.170455,[4 1] ; [7 3],[3.66666667 1.33333333] ; [7.33333333 2.66666667],0
d2,1,0.701883,0.14652,[3 7] ; [11 19],[3.5 6.5] ; [10.5 19.5],0
a5,1,0.701883,0.14652,[6 4] ; [20 10],[6.5 3.5] ; [19.5 10.5],0
a4,1,0.701883,0.14652,[4 6] ; [10 20],[3.5 6.5] ; [10.5 19.5],0
d3,1,0.701883,0.14652,[6 4] ; [20 10],[6.5 3.5] ; [19.5 10.5],0
v1,1,0.713628,0.13468,[5 5] ; [13 17],[4.5 5.5] ; [13.5 16.5],0
b5,1,0.713628,0.13468,[5 5] ; [17 13],[5.5 4.5] ; [16.5 13.5],0
r1,1,0.826955,0.04779,[2 8] ; [ 7 23],[2.25 7.75] ; [ 6.75 23.25],0
p9,1,0.838007,0.041797,[7 3] ; [22  8],[7.25 2.75] ; [21.75  8.25],0
n4,1,0.84547,0.037987,[7 3] ; [20 10],[6.75 3.25] ; [20.25  9.75],0
s8,1,0.951264,0.003736,[3 7] ; [ 9 20],[3.07692308 6.92307692] ; [ 8.92307692 20.07692308],0
v2,1,1.0,0.0,[4 6] ; [12 18],[4. 6.] ; [12. 18.],0
s5,1,1.0,0.0,[2 6] ; [ 7 21],[2. 6.] ; [ 7. 21.],0
n3,1,1.0,0.0,[3 2] ; [6 4],[3. 2.] ; [6. 4.],0
