Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,63.803089,[294  16] ; [31 22],[277.54820937  32.45179063] ; [47.45179063  5.54820937],1
p11,1,0.0,29.953421,[264  46] ; [30 26],[249.01639344  60.98360656] ; [44.98360656 11.01639344],1
p7,1,3e-06,21.583987,[222  77] ; [23 31],[207.52124646  91.47875354] ; [37.47875354 16.52124646],1
a3,1,0.001001,10.825128,[268  40] ; [39 17],[259.76923077  48.23076923] ; [47.23076923  8.76923077],0
n5,1,0.001096,10.658639,[255  53] ; [35 20],[246.06060606  61.93939394] ; [43.93939394 11.06060606],0
p3,1,0.001824,9.719141,[191 119] ; [22 34],[180.40983607 129.59016393] ; [32.59016393 23.40983607],0
p2,1,0.002142,9.424105,[270  39] ; [40 16],[262.43835616  46.56164384] ; [47.56164384  8.43835616],0
s8,1,0.004085,8.245487,[224  84] ; [30 26],[214.92307692  93.07692308] ; [39.07692308 16.92307692],0
p12,1,0.018852,5.515152,[ 38 270] ; [ 1 55],[ 33. 275.] ; [ 6. 50.],0
p8,1,0.025915,4.961669,[177 128] ; [23 32],[169.44444444 135.55555556] ; [30.55555556 24.44444444],0
p4,1,0.028251,4.812696,[217  92] ; [31 25],[209.95068493  99.04931507] ; [38.04931507 17.95068493],0
a5,1,0.028845,4.77683,[255  55] ; [39 17],[249.01639344  60.98360656] ; [44.98360656 11.01639344],0
n6,1,0.035584,4.416949,[275  31] ; [44 11],[270.39889197  35.60110803] ; [48.60110803  6.39889197],0
s5,1,0.053631,3.724132,[143 153] ; [18 35],[136.55014327 159.44985673] ; [24.44985673 28.55014327],0
r4,1,0.088661,2.898522,[283  27] ; [47  9],[279.50819672  30.49180328] ; [50.49180328  5.50819672],0
r1,1,0.088702,2.897769,[265  44] ; [43 13],[260.74520548  48.25479452] ; [47.25479452  8.74520548],0
v3,1,0.092366,2.832653,[147 152] ; [19 33],[141.40740741 157.59259259] ; [24.59259259 27.40740741],0
s2,1,0.092441,2.83135,[232  77] ; [36 20],[226.88219178  82.11780822] ; [41.11780822 14.88219178],0
b4,1,0.111259,2.536242,[175 135] ; [38 18],[180.40983607 129.59016393] ; [32.59016393 23.40983607],0
p5,1,0.113538,2.504271,[ 53 252] ; [ 5 51],[ 49.00277008 255.99722992] ; [ 8.99722992 47.00277008],0
v4,1,0.163134,1.944935,[298  10] ; [52  4],[296.15384615  11.84615385] ; [53.84615385  2.15384615],0
v1,1,0.163924,1.937647,[181 120] ; [27 27],[176.36056338 124.63943662] ; [31.63943662 22.36056338],0
n4,1,0.169192,1.890086,[265  45] ; [43 12],[261.5890411  48.4109589] ; [46.4109589  8.5890411],0
n3,1,0.19533,1.676951,[40 18] ; [10  9],[37.66233766 20.33766234] ; [12.33766234  6.66233766],0
d1,1,0.20794,1.585708,[230  80] ; [37 19],[226.14754098  83.85245902] ; [40.85245902 15.14754098],0
b5,1,0.20973,1.57329,[177 133] ; [37 19],[181.2568306 128.7431694] ; [32.7431694 23.2568306],0
u4,1,0.211782,1.559201,[ 11 299] ; [ 4 52],[ 12.70491803 297.29508197] ; [ 2.29508197 53.70491803],0
v2,1,0.32698,0.960822,[190 110] ; [31 24],[186.76056338 113.23943662] ; [34.23943662 20.76056338],0
a6,1,0.387767,0.745933,[206 103] ; [34 22],[203.17808219 105.82191781] ; [36.82191781 19.17808219],0
n2,1,0.399231,0.710642,[46 13] ; [13  6],[44.62820513 14.37179487] ; [14.37179487  4.62820513],0
b1,1,0.403462,0.697984,[120 190] ; [25 31],[122.81420765 187.18579235] ; [22.18579235 33.81420765],0
s4,1,0.409476,0.680323,[ 62 246] ; [14 42],[ 64.30769231 243.69230769] ; [11.69230769 44.30769231],0
n1,1,0.428743,0.626227,[28 31] ; [11  8],[29.5 29.5] ; [9.5 9.5],0
u2,1,0.428782,0.626121,[30 11] ; [10  6],[28.77192982 12.22807018] ; [11.22807018  4.77192982],0
a2,1,0.443758,0.586545,[ 99 211] ; [15 41],[ 96.55737705 213.44262295] ; [17.44262295 38.55737705],0
p6,1,0.472965,0.515041,[144 162] ; [23 32],[141.5567867 164.4432133] ; [25.4432133 29.5567867],0
s6,1,0.508622,0.436902,[256  49] ; [45 11],[254.30747922  50.69252078] ; [46.69252078  9.30747922],0
a8,1,0.528471,0.397331,[ 48 233] ; [10 38],[ 49.53799392 231.46200608] ; [ 8.46200608 39.53799392],0
r2,1,0.576026,0.312704,[295  12] ; [51  3],[294.24376731  12.75623269] ; [51.75623269  2.24376731],0
u1,1,0.579749,0.306641,[ 83 227] ; [17 39],[ 84.69945355 225.30054645] ; [15.30054645 40.69945355],0
d3,1,0.612725,0.256226,[242  68] ; [42 14],[240.54644809  69.45355191] ; [43.45355191 12.54644809],0
p1,1,0.761701,0.091959,[ 29 279] ; [ 6 50],[ 29.61538462 278.38461538] ; [ 5.38461538 50.61538462],0
a7,1,0.764201,0.089982,[222  88] ; [39 17],[221.06557377  88.93442623] ; [39.93442623 16.06557377],0
d5,1,0.793792,0.068324,[275  35] ; [49  7],[274.42622951  35.57377049] ; [49.57377049  6.42622951],0
b2,1,0.802327,0.062669,[ 98 120] ; [18 24],[ 97.26153846 120.73846154] ; [18.73846154 23.26153846],0
b3,1,0.802327,0.062669,[ 98 120] ; [18 24],[ 97.26153846 120.73846154] ; [18.73846154 23.26153846],0
d2,1,0.813596,0.055597,[183 127] ; [34 22],[183.79781421 126.20218579] ; [33.20218579 22.79781421],0
s1,1,0.818654,0.052568,[ 13 294] ; [ 2 54],[ 12.68595041 294.31404959] ; [ 2.31404959 53.68595041],0
a1,1,0.84749,0.036988,[ 20 290] ; [ 4 52],[ 20.32786885 289.67213115] ; [ 3.67213115 52.32786885],0
a4,1,0.858911,0.031599,[164 145] ; [29 27],[163.3890411 145.6109589] ; [29.6109589 26.3890411],0
s3,1,0.91207,0.012194,[231  76] ; [41 14],[230.67403315  76.32596685] ; [41.32596685 13.67403315],0
u3,1,0.981726,0.000525,[32 10] ; [13  4],[32.03389831  9.96610169] ; [12.96610169  4.03389831],0
r3,1,0.996574,1.8e-05,[298  11] ; [54  2],[297.99452055  11.00547945] ; [54.00547945  1.99452055],0
