Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.709423,0.138854,[28 49] ; [26 40],[29.07692308 47.92307692] ; [24.92307692 41.07692308],0
b1,1,0.736203,0.113492,[41 36] ; [37 29],[42. 35.] ; [36. 30.],0
a7,1,0.745399,0.105438,[51 26] ; [42 24],[50.07692308 26.92307692] ; [42.92307692 23.07692308],0
s8,1,0.778069,0.079431,[16 61] ; [15 51],[16.69230769 60.30769231] ; [14.30769231 51.69230769],0
p4,1,0.796783,0.066313,[28 49] ; [25 40],[28.73943662 48.26056338] ; [24.26056338 40.73943662],0
d2,1,0.796783,0.066313,[28 49] ; [25 40],[28.73943662 48.26056338] ; [24.26056338 40.73943662],0
p11,1,0.834993,0.04339,[43 34] ; [38 28],[43.61538462 33.38461538] ; [37.38461538 28.61538462],0
v4,1,0.905962,0.013955,[60 16] ; [50 14],[59.71428571 16.28571429] ; [50.28571429 13.71428571],0
p12,1,0.911252,0.012423,[ 1 75] ; [ 1 64],[ 1.07801418 74.92198582] ; [ 0.92198582 64.07801418],0
u1,1,0.961378,0.002345,[ 6 71] ; [ 5 61],[ 5.92307692 71.07692308] ; [ 5.07692308 60.92307692],0
v3,1,0.963093,0.002141,[20 52] ; [17 45],[19.88059701 52.11940299] ; [17.11940299 44.88059701],0
b2,1,0.969757,0.001437,[12 34] ; [ 9 26],[11.92592593 34.07407407] ; [ 9.07407407 25.92592593],0
b3,1,0.969757,0.001437,[12 34] ; [ 9 26],[11.92592593 34.07407407] ; [ 9.07407407 25.92592593],0
